trainingSize	meanSquaredLoss	meanAccuracy	sd	se	meanPrecision	meanRecall	f1	mle_meanAccuracy	mle_sd	mle_se	mple_meanAccuracy	mple_sd	mple_se	i2_initialEstimate_meanAccuracy	i2_initialEstimate_sd	i2_initialEstimate_se	initialEstimate_meanAccuracy	initialEstimate_sd	initialEstimate_se

0.05	0.2259	0.6306	0.0999	0.0316	0.5004	0.5241	0.512	0.6671	0.008	0.0025	0.5566	0.1187	0.0375	0.6578	0.027	0.0085	0.0	0.0	0.0
0.1	0.1985	0.6843	0.0508	0.0161	0.5468	0.5444	0.5456	0.6688	0.0067	0.0021	0.6487	0.0904	0.0286	0.6823	0.0118	0.0037	0.0	0.0	0.0
0.2	0.1758	0.7307	0.0052	0.0016	0.6027	0.5382	0.5686	0.6667	0.0065	0.0021	0.7321	0.0149	0.0047	0.703	0.0124	0.0039	0.0	0.0	0.0
0.3	0.1708	0.7449	0.0025	0.0008	0.6205	0.5646	0.5913	0.6712	0.007	0.0022	0.7446	0.0102	0.0032	0.7097	0.0117	0.0037	0.0	0.0	0.0
0.4	0.1685	0.7478	0.0073	0.0023	0.632	0.5521	0.5894	0.6697	0.0096	0.003	0.7486	0.0087	0.0028	0.7177	0.0129	0.0041	0.0	0.0	0.0
0.5	0.1677	0.747	0.0034	0.0011	0.639	0.5276	0.578	0.6701	0.0057	0.0018	0.747	0.0032	0.001	0.7212	0.0106	0.0033	0.0	0.0	0.0
0.6	0.1678	0.7472	0.0059	0.0019	0.6418	0.5057	0.5657	0.6696	0.007	0.0022	0.7485	0.0065	0.002	0.7312	0.0143	0.0045	0.0	0.0	0.0
0.7	0.1689	0.7462	0.0073	0.0023	0.66	0.4912	0.5632	0.667	0.0055	0.0017	0.7466	0.0077	0.0024	0.7329	0.0093	0.0029	0.0	0.0	0.0
0.8	0.1721	0.7422	0.004	0.0013	0.6448	0.4511	0.5309	0.6767	0.0065	0.002	0.7421	0.0044	0.0014	0.7287	0.0088	0.0028	0.0	0.0	0.0
0.9	0.1705	0.7441	0.0237	0.0075	0.669	0.4392	0.5302	0.6719	0.0223	0.0071	0.7441	0.0235	0.0074	0.7377	0.0203	0.0064	0.0	0.0	0.0

0.05	0.2098	0.6544	0.0314	0.0099	0.482	0.3033	0.3723	0.6648	0.0072	0.0023	0.5975	0.1413	0.0447	0.6602	0.0317	0.01	0.0	0.0	0.0
