Label	trainingSize	meanSquaredLoss	averageLearningBias	averageLearningVariance	averageTotalBias	averageTotalVariance	averageInferenceBias	averageInferenceVariance
original	0.9	0.1832	0.1276	0.0552	0.1275	0.0553	-0.0001	0.0
50perc_2repeat	0.9	0.1968	0.1807	0.0156	0.1805	0.0158	-0.0001	0.0001
original	0.8	0.1706	0.1185	0.0516	0.1185	0.0515	-0.0	-0.0
original	0.7	0.1743	0.1201	0.0536	0.1201	0.0536	0.0	-0.0001
50perc_2repeat	0.8	0.1949	0.1786	0.0158	0.1784	0.0159	-0.0002	0.0001
original	0.6	0.1695	0.1153	0.0534	0.1153	0.0534	-0.0	-0.0001
50perc_2repeat	0.7	0.193	0.1748	0.0177	0.1746	0.0178	-0.0002	0.0001
original	0.5	0.1672	0.1096	0.0566	0.1096	0.0566	0.0001	-0.0001
50perc_2repeat	0.6	0.1965	0.1826	0.0133	0.1823	0.0134	-0.0003	0.0001
original	0.45	0.1731	0.1123	0.0598	0.1123	0.0597	0.0	-0.0001
original	0.4	0.1694	0.1118	0.0563	0.1118	0.0561	-0.0	-0.0002
50perc_2repeat	0.5	0.1971	0.1825	0.014	0.1822	0.014	-0.0002	0.0001
original	0.35	0.1777	0.1153	0.061	0.1153	0.0608	-0.0	-0.0002
50perc_2repeat	0.45	0.1936	0.168	0.0251	0.1678	0.0252	-0.0002	0.0
50perc_2repeat	0.4	0.1951	0.1796	0.0148	0.1793	0.0149	-0.0003	0.0
50perc_2repeat	0.35	0.1912	0.1684	0.0222	0.1683	0.0222	-0.0001	0.0
original	0.3	0.1794	0.1165	0.0604	0.1165	0.0602	-0.0001	-0.0002
original	0.25	0.1846	0.1215	0.0584	0.1214	0.0581	-0.0001	-0.0003
original	0.2	0.1897	0.1202	0.0638	0.1202	0.0634	0.0	-0.0003
50perc_2repeat	0.2	0.1995	0.1776	0.0179	0.1774	0.0179	-0.0002	-0.0
50perc_2repeat	0.25	0.2054	0.19	0.0137	0.1897	0.0136	-0.0003	-0.0001
original	0.1	0.2284	0.1377	0.0633	0.1377	0.0629	-0.0001	-0.0004
50perc_2repeat	0.1	0.2247	0.1923	0.0251	0.192	0.0249	-0.0002	-0.0002
original	0.05	0.3653	0.2208	0.0847	0.2205	0.0838	-0.0003	-0.0009
50perc_2repeat	0.05	0.2193	0.1417	0.045	0.1416	0.0451	-0.0001	0.0001
50perc_2repeat	0.3	0.1885	0.1588	0.0289	0.1587	0.0289	-0.0001	0.0
