Label	trainingSize	meanSquaredLoss	averageLearningBias	averageLearningVariance	averageTotalBias	averageTotalVariance	averageInferenceBias	averageInferenceVariance
original	0.5	0.196	0.1421	0.0501	0.1426	0.05	0.0005	-0.0001
original	0.9	0.1912	0.1393	0.051	0.1395	0.051	0.0001	0.0
50perc_2repeat	0.9	0.2149	0.2101	0.0049	0.2093	0.005	-0.0008	0.0001
original	0.8	0.1915	0.1383	0.0514	0.1387	0.0514	0.0004	-0.0
50perc_2repeat	0.8	0.2107	0.2034	0.007	0.2029	0.007	-0.0004	-0.0
original	0.7	0.181	0.1324	0.0471	0.1328	0.047	0.0003	-0.0001
50perc_2repeat	0.7	0.2235	0.2134	0.008	0.2144	0.0081	0.001	0.0001
original	0.6	0.1946	0.1415	0.0506	0.1417	0.0502	0.0002	-0.0004
50perc_2repeat	0.6	0.2202	0.2064	0.0122	0.2065	0.0123	0.0001	0.0001
original	0.5	0.1924	0.1349	0.0533	0.1351	0.0534	0.0002	0.0001
50perc_2repeat	0.5	0.216	0.2087	0.0056	0.2089	0.0056	0.0002	-0.0
original	0.4	0.2099	0.1481	0.0461	0.1485	0.0459	0.0003	-0.0002
original	0.45	0.1934	0.1358	0.0513	0.1359	0.0512	0.0	-0.0002
50perc_2repeat	0.45	0.2289	0.2043	0.0236	0.2042	0.0235	-0.0001	-0.0001
original	0.35	0.2154	0.1474	0.054	0.1477	0.054	0.0003	0.0
50perc_2repeat	0.35	0.2224	0.2115	0.0084	0.2117	0.0084	0.0002	-0.0
50perc_2repeat	0.4	0.2273	0.2155	0.0092	0.2153	0.0092	-0.0002	-0.0
original	0.3	0.2148	0.1409	0.0505	0.1411	0.0504	0.0002	-0.0001
50perc_2repeat	0.2	0.2366	0.2079	0.0147	0.208	0.0147	0.0001	0.0001
50perc_2repeat	0.25	0.2345	0.205	0.0216	0.2049	0.0214	-0.0001	-0.0001
original	0.25	0.2393	0.1457	0.05	0.1458	0.05	0.0001	-0.0
original	0.2	0.2646	0.1581	0.0366	0.1582	0.0366	0.0001	0.0
50perc_2repeat	0.3	0.2354	0.2113	0.0207	0.2114	0.0206	0.0001	-0.0001
50perc_2repeat	0.1	0.4001	0.2501	0.14	0.25	0.1385	-0.0	-0.0015
original	0.1	0.3714	0.1897	0.029	0.1899	0.0291	0.0001	0.0001
