Label	trainingSize	meanSquaredLoss	meanAccuracy	sd	se	meanPrecision	meanRecall	f1

originalPMLE	0.9	0.3114	0	0	0	0	0	0
originalPMLE	0.8	0.3127	0	0	0	0	0	0
originalPMLE	0.7	0.3111	0	0	0	0	0	0
originalPMLE	0.6	0.3128	0	0	0	0	0	0
originalPMLE	0.5	0.3124	0	0	0	0	0	0
originalPMLE	0.3	0.3161	0	0	0	0	0	0
originalPMLE	0.4	0.3134	0	0	0	0	0	0
originalPMLE	0.35	0.316	0	0	0	0	0	0
originalPMLE	0.2	0.3162	0	0	0	0	0	0
originalPMLE	0.1	0.3182	0	0	0	0	0	0
originalPMLE	0.45	0.3153	0	0	0	0	0	0
originalPMLE	0.25	0.3158	0	0	0	0	0	0
originalPMLE	0.05	0.3143	0	0	0	0	0	0
rongjingAlgo	0.05	0.2	0	0	0	0	0	0
rongjingAlgo	0.1	0.1947	0	0	0	0	0	0
rongjingAlgo	0.2	0.1738	0	0	0	0	0	0
rongjingAlgo	0.3	0.1715	0	0	0	0	0	0
rongjingAlgo	0.4	0.1669	0	0	0	0	0	0
rongjingAlgo	0.5	0.1673	0	0	0	0	0	0
rongjingAlgo	0.6	0.1677	0	0	0	0	0	0
rongjingAlgo	0.7	0.172	0	0	0	0	0	0
rongjingAlgo	0.8	0.1704	0	0	0	0	0	0
rongjingAlgo	0.9	0.1774	0	0	0	0	0	0
rongjingPMLE	0.9	0.1724	0	0	0	0	0	0
rongjingPMLE	0.8	0.1713	0	0	0	0	0	0
rongjingPMLE	0.7	0.1706	0	0	0	0	0	0
rongjingPMLE	0.6	0.1715	0	0	0	0	0	0
rongjingPMLE	0.5	0.1721	0	0	0	0	0	0
rongjingPMLE	0.4	0.1741	0	0	0	0	0	0
rongjingPMLE	0.3	0.1796	0	0	0	0	0	0
rongjingPMLE	0.2	0.1943	0	0	0	0	0	0
rongjingPMLE	0.1	0.235	0	0	0	0	0	0
rongjingPMLE	0.05	0.307	0	0	0	0	0	0

40perc_2repeat	0.4	0.1873	0.7369	0.0049	0.0003	0.6299	0.5294	0.5753
50perc_2repeat	0.4	0.1968	0.7311	0.0069	0.0005	0.6231	0.5236	0.5691
40perc_5repeat	0.4	0.1943	0.7351	0.0046	0.0003	0.6325	0.5097	0.5645
50perc_5repeat	0.4	0.2143	0.722	0.0089	0.0006	0.6073	0.5131	0.5562
15perc_2repeat	0.4	0.1772	0.7449	0.0043	0.0003	0.6278	0.568	0.5964
5perc_2repeat	0.4	0.1757	0.7472	0.0046	0.0003	0.6239	0.5887	0.6058
30perc_2repeat	0.4	0.1814	0.7406	0.0044	0.0003	0.6315	0.54	0.5822
