Label	trainingSize	meanSquaredLoss	meanAccuracy	sd	se	meanPrecision	meanRecall	f1

originalPMLE	0.9	0.2459	0	0	0	0	0	0
originalPMLE	0.8	0.2587	0	0	0	0	0	0
originalPMLE	0.35	0.3607	0	0	0	0	0	0
originalPMLE	0.7	0.2759	0	0	0	0	0	0
originalPMLE	0.6	0.2942	0	0	0	0	0	0
originalPMLE	0.5	0.3216	0	0	0	0	0	0
originalPMLE	0.45	0.3295	0	0	0	0	0	0
originalPMLE	0.4	0.337	0	0	0	0	0	0
originalPMLE	0.3	0.3801	0	0	0	0	0	0
originalPMLE	0.25	0.3822	0	0	0	0	0	0
originalPMLE	0.2	0.3995	0	0	0	0	0	0
originalPMLE	0.1	0.4193	0	0	0	0	0	0
originalPMLE	0.05	0.42	0	0	0	0	0	0
rongjingAlgo	0.1	0.2501	0	0	0	0	0	0
rongjingAlgo	0.2	0.217	0	0	0	0	0	0
rongjingAlgo	0.3	0.2072	0	0	0	0	0	0
rongjingAlgo	0.4	0.1993	0	0	0	0	0	0
rongjingAlgo	0.5	0.1887	0	0	0	0	0	0
rongjingAlgo	0.6	0.1888	0	0	0	0	0	0
rongjingAlgo	0.7	0.187	0	0	0	0	0	0
rongjingAlgo	0.8	0.1818	0	0	0	0	0	0
rongjingAlgo	0.9	0.1971	0	0	0	0	0	0
rongjingPMLE	0.9	0.185	0	0	0	0	0	0
rongjingPMLE	0.8	0.1873	0	0	0	0	0	0
rongjingPMLE	0.7	0.19	0	0	0	0	0	0
rongjingPMLE	0.6	0.1914	0	0	0	0	0	0
rongjingPMLE	0.5	0.1957	0	0	0	0	0	0
rongjingPMLE	0.4	0.2017	0	0	0	0	0	0
rongjingPMLE	0.3	0.222	0	0	0	0	0	0
rongjingPMLE	0.2	0.2567	0	0	0	0	0	0


15perc_5repeat	0.25	0.2299	0.6636	0.0583	0.0041	0.6909	0.5895	0.6362
30perc_10repeat	0.25	0.2277	0.6543	0.0611	0.0043	0.6869	0.5619	0.6182
5perc_5repeat	0.2	0.2578	0.6414	0.0638	0.0045	0.6779	0.5805	0.6254
30perc_5repeat	0.2	0.2449	0.6316	0.067	0.0047	0.6657	0.5684	0.6132
15perc_5repeat	0.2	0.2477	0.6433	0.0654	0.0046	0.6747	0.5881	0.6284
15perc_10repeat	0.2	0.2463	0.6444	0.0652	0.0046	0.6766	0.5824	0.626
5perc_10repeat	0.2	0.256	0.643	0.0644	0.0046	0.6787	0.5819	0.6265
5perc_2repeat	0.2	0.2614	0.6404	0.0662	0.0047	0.6761	0.5839	0.6267
80perc_2repeat	0.2	0.2777	0.4704	0.0562	0.004	0.4342	0.4558	0.4447
15perc_2repeat	0.25	0.2286	0.6686	0.0574	0.0041	0.6897	0.6071	0.6458
5perc_2repeat	0.25	0.2325	0.6707	0.0585	0.0041	0.6939	0.6097	0.6491
30perc_2repeat	0.25	0.2304	0.6564	0.0638	0.0045	0.6802	0.5945	0.6345
100perc_5repeat	0.2	0.3852	0.3498	0.0606	0.0043	0.3219	0.4084	0.36
100perc_10repeat	0.2	0.419	0.3531	0.0615	0.0044	0.3239	0.4127	0.3629
30perc_5repeat	0.25	0.2256	0.6593	0.0582	0.0041	0.6817	0.598	0.6371
5perc_5repeat	0.25	0.2311	0.6713	0.0585	0.0041	0.6958	0.6068	0.6482
80perc_5repeat	0.2	0.3209	0.3767	0.0647	0.0046	0.3417	0.432	0.3816
80perc_10repeat	0.2	0.3445	0.3558	0.0653	0.0046	0.3304	0.4256	0.372
15perc_10repeat	0.25	0.2245	0.6704	0.058	0.0041	0.6941	0.5997	0.6435
5perc_10repeat	0.25	0.2295	0.6735	0.0588	0.0042	0.6968	0.6096	0.6503
50perc_2repeat	0.2	0.254	0.5982	0.0648	0.0046	0.6304	0.5498	0.5874
40perc_2repeat	0.2	0.2505	0.6189	0.0651	0.0046	0.6503	0.5731	0.6092
40perc_10repeat	0.2	0.2436	0.6099	0.0611	0.0043	0.6451	0.5396	0.5876
40perc_5repeat	0.2	0.2439	0.6183	0.0644	0.0046	0.6474	0.5523	0.5961
30perc_2repeat	0.2	0.2483	0.6382	0.0655	0.0046	0.6709	0.5822	0.6234
60perc_5repeat	0.2	0.2699	0.5017	0.0554	0.0039	0.4914	0.4806	0.486
90perc_2repeat	0.2	0.2916	0.3936	0.0647	0.0046	0.3607	0.4453	0.3985
70perc_2repeat	0.2	0.2666	0.535	0.057	0.004	0.5365	0.5168	0.5264
100perc_2repeat	0.2	0.3108	0.3477	0.0577	0.0041	0.3214	0.4044	0.3582
70perc_10repeat	0.2	0.3073	0.3764	0.0631	0.0045	0.3484	0.4573	0.3955
90perc_5repeat	0.2	0.3493	0.3554	0.0631	0.0045	0.3273	0.4184	0.3673
90perc_10repeat	0.2	0.3804	0.3587	0.0655	0.0046	0.3281	0.4152	0.3665
60perc_10repeat	0.2	0.2774	0.4394	0.0578	0.0041	0.4087	0.4902	0.4458
70perc_5repeat	0.2	0.2886	0.4278	0.0593	0.0042	0.3822	0.4376	0.408
60perc_5repeat	0.1	0.3207	0.505	0.0531	0.0038	0.497	0.4742	0.4853
100perc_5repeat	0.1	0.4228	0.42	0.0681	0.0048	0.3485	0.4285	0.3844
60perc_2repeat	0.1	0.3344	0.5335	0.0561	0.004	0.5579	0.5235	0.5401
60perc_10repeat	0.1	0.3173	0.4721	0.0511	0.0036	0.4375	0.5	0.4667
100perc_10repeat	0.1	0.4522	0.423	0.0671	0.0047	0.3506	0.4343	0.388
