Label	trainingSize	meanSquaredLoss	meanAccuracy	sd	se	meanPrecision	meanRecall	f1	mle_meanAccuracy	mle_sd	mle_se	mple_meanAccuracy	mple_sd	mple_se	i2_initialEstimate_meanAccuracy	i2_initialEstimate_sd	i2_initialEstimate_se	initialEstimate_meanAccuracy	initialEstimate_sd	i2_initialEstimate_se	i1_meanSquaredLoss	i2_meanSquaredLoss

100perc_2repeat	0.05	0.27	0.5398	0.091	0.0407	0.1471	0.0815	0.1049	0.3262	0.0014	0.0006	0.5488	0.077	0.0345	0.3647	0.0123	0.0055	0.0	0.0	0.0	0.3057	0.2966
40perc_2repeat	0.05	0.2234	0.658	0.1114	0.0498	0.55	0.562	0.5559	0.6666	0.0065	0.0029	0.6541	0.1165	0.0521	0.6559	0.0229	0.0102	0.0	0.0	0.0	0.2143	0.2465
30perc_2repeat	0.05	0.225	0.651	0.1268	0.0567	0.5306	0.612	0.5684	0.663	0.0089	0.004	0.6435	0.1347	0.0602	0.672	0.0322	0.0144	0.0	0.0	0.0	0.1399	0.2656
70perc_2repeat	0.05	0.2793	0.4876	0.181	0.0809	0.4117	0.709	0.5209	0.5979	0.1358	0.0607	0.4869	0.183	0.0818	0.5645	0.1167	0.0522	0.0	0.0	0.0	0.2366	0.3025
5perc_2repeat	0.05	0.1948	0.6972	0.0227	0.0101	0.5559	0.4894	0.5205	0.6698	0.0027	0.0012	0.6642	0.0969	0.0434	0.6777	0.0086	0.0038	0.0	0.0	0.0	0.1689	0.2496
60perc_2repeat	0.05	0.2198	0.6701	0.0587	0.0262	0.527	0.6156	0.5679	0.6705	0.0012	0.0005	0.6584	0.0659	0.0295	0.6418	0.0227	0.0101	0.0	0.0	0.0	0.2208	0.2321
90perc_2repeat	0.05	0.2665	0.5101	0.071	0.0317	0.1406	0.0894	0.1093	0.3312	0.0063	0.0028	0.5239	0.0601	0.0269	0.3511	0.0522	0.0233	0.0	0.0	0.0	0.2869	0.2914
15perc_2repeat	0.05	0.2039	0.6689	0.0809	0.0362	0.5349	0.5269	0.5309	0.6674	0.0057	0.0026	0.6485	0.1076	0.0481	0.6523	0.0274	0.0122	0.0	0.0	0.0	0.134	0.2563
50perc_2repeat	0.05	0.2502	0.6328	0.1161	0.0519	0.5114	0.6071	0.5552	0.6698	0.0078	0.0035	0.6201	0.1148	0.0513	0.6503	0.023	0.0103	0.0	0.0	0.0	0.2141	0.2721
