Label	trainingSize	meanSquaredLoss	meanAccuracy	sd	se	meanPrecision	meanRecall	f1	mle_meanAccuracy	mle_sd	mle_se	mple_meanAccuracy	mple_sd	mple_se	i2_initialEstimate_meanAccuracy	i2_initialEstimate_sd	i2_initialEstimate_se	initialEstimate_meanAccuracy	initialEstimate_sd	i2_initialEstimate_se	i1_meanSquaredLoss	i2_meanSquaredLoss


90perc_2repeat	0.05	0.2839	0.477	0.1247	0.0558	0.5088	0.3114	0.3863	0.4129	0.1197	0.0535	0.5203	0.0851	0.038	0.4663	0.1605	0.0718	0.0	0.0	0.0	0.2531	0.3649
80perc_2repeat	0.05	0.3047	0.4225	0.0928	0.0415	0.4131	0.4372	0.4248	0.4343	0.1277	0.0571	0.4228	0.0933	0.0417	0.3596	0.1045	0.0468	0.0	0.0	0.0	0.251	0.3717
70perc_2repeat	0.1	0.258	0.5416	0.0323	0.0144	0.5375	0.6357	0.5825	0.6978	0.0557	0.0249	0.5323	0.0344	0.0154	0.5431	0.0517	0.0231	0.0	0.0	0.0	0.2524	0.3107
100perc_2repeat	0.1	0.3316	0.3879	0.0513	0.0229	0.3548	0.5172	0.4209	0.2599	0.0068	0.003	0.3977	0.0543	0.0243	0.2696	0.0144	0.0064	0.0	0.0	0.0	0.2577	0.3462
60perc_2repeat	0.1	0.2551	0.5633	0.038	0.017	0.6589	0.3544	0.4609	0.7265	0.0296	0.0132	0.5582	0.0363	0.0162	0.6116	0.0953	0.0426	0.0	0.0	0.0	0.261	0.2937
50perc_2repeat	0.1	0.2397	0.5881	0.0355	0.0159	0.6144	0.5386	0.574	0.7247	0.0274	0.0123	0.5663	0.0401	0.018	0.6902	0.0462	0.0207	0.0	0.0	0.0	0.2667	0.2929
15perc_2repeat	0.1	0.2147	0.6911	0.0284	0.0127	0.7418	0.5514	0.6326	0.7398	0.0062	0.0028	0.6239	0.0716	0.032	0.7052	0.029	0.013	0.0	0.0	0.0	0.3231	0.3076
40perc_2repeat	0.1	0.246	0.587	0.0565	0.0252	0.6345	0.5686	0.5997	0.7401	0.0063	0.0028	0.5424	0.0388	0.0173	0.6763	0.0401	0.0179	0.0	0.0	0.0	0.2809	0.3409
90perc_2repeat	0.1	0.2924	0.4761	0.0374	0.0167	0.4487	0.4425	0.4456	0.2742	0.0295	0.0132	0.4847	0.0348	0.0156	0.3734	0.0698	0.0312	0.0	0.0	0.0	0.2518	0.3129
30perc_2repeat	0.1	0.2301	0.6324	0.0525	0.0235	0.6557	0.6062	0.6299	0.7401	0.0068	0.003	0.5709	0.038	0.017	0.7058	0.0342	0.0153	0.0	0.0	0.0	0.293	0.3282
80perc_2repeat	0.1	0.2801	0.4968	0.0563	0.0252	0.4673	0.43	0.4479	0.4487	0.1217	0.0544	0.4963	0.0589	0.0263	0.4737	0.1553	0.0695	0.0	0.0	0.0	0.2505	0.3069
100perc_5repeat	0.1	0.3964	0.364	0.0544	0.0243	0.347	0.5154	0.4148	0.2599	0.0068	0.003	0.3992	0.0686	0.0307	0.276	0.0227	0.0102	0.0	0.0	0.0	0.289	0.429
