trainingSize	meanSquaredLoss	meanAccuracy	sd	se	meanPrecision	meanRecall	f1	mle_meanAccuracy	mle_sd	mle_se	mple_meanAccuracy	mple_sd	mple_se	i2_initialEstimate_meanAccuracy	i2_initialEstimate_sd	i2_initialEstimate_se	initialEstimate_meanAccuracy	initialEstimate_sd	initialEstimate_se

0.1	0.2501	0.6337	0.0742	0.0235	0.6485	0.5966	0.6215	0.7233	0.0324	0.0102	0.5604	0.0654	0.0207	0.6967	0.0535	0.0169	0.0	0.0	0.0
0.2	0.217	0.6728	0.0698	0.0221	0.7013	0.6318	0.6647	0.729	0.0329	0.0104	0.6518	0.0604	0.0191	0.7189	0.0214	0.0068	0.0	0.0	0.0
0.3	0.2072	0.7007	0.0417	0.0132	0.6966	0.6915	0.694	0.7419	0.0089	0.0028	0.6923	0.0447	0.0141	0.7241	0.0195	0.0062	0.0	0.0	0.0
0.4	0.1993	0.7181	0.0287	0.0091	0.7088	0.6922	0.7004	0.7344	0.0173	0.0055	0.7145	0.0323	0.0102	0.7289	0.0136	0.0043	0.0	0.0	0.0
0.5	0.1887	0.7345	0.0227	0.0072	0.7334	0.6777	0.7044	0.7503	0.022	0.007	0.7336	0.0233	0.0074	0.7418	0.0186	0.0059	0.0	0.0	0.0
0.6	0.1888	0.7342	0.0202	0.0064	0.7349	0.6878	0.7105	0.7387	0.0187	0.0059	0.7352	0.021	0.0066	0.7378	0.0255	0.0081	0.0	0.0	0.0
0.7	0.187	0.7336	0.0198	0.0063	0.7235	0.6881	0.7054	0.7414	0.0195	0.0062	0.7341	0.0201	0.0063	0.7382	0.0231	0.0073	0.0	0.0	0.0
0.8	0.1818	0.7457	0.0262	0.0083	0.7275	0.7383	0.7329	0.7545	0.0279	0.0088	0.7454	0.0266	0.0084	0.7521	0.0308	0.0097	0.0	0.0	0.0
0.9	0.1971	0.7151	0.033	0.0104	0.6857	0.6824	0.684	0.7213	0.0352	0.0111	0.7156	0.0321	0.0101	0.7187	0.0318	0.01	0.0	0.0	0.0
