trainingSize	meanSquaredLoss	meanAccuracy	sd	se	meanPrecision	meanRecall	f1	mle_meanAccuracy	mle_sd	mle_se	mple_meanAccuracy	mple_sd	mple_se	i2_initialEstimate_meanAccuracy	i2_initialEstimate_sd	i2_initialEstimate_se	initialEstimate_meanAccuracy	initialEstimate_sd	i2_initialEstimate_se	i1_meanSquaredLoss	i2_meanSquaredLoss

0.05	0.2202	0.6706	0.1041	0.0329	0.5385	0.4252	0.4752	0.6643	0.0082	0.0026	0.6417	0.1116	0.0353	0.6113	0.0856	0.0271	0.0	0.0	0.0	0.1965	0.2625
0.1	0.2012	0.6923	0.0726	0.023	0.5654	0.5231	0.5434	0.6614	0.0083	0.0026	0.6486	0.0878	0.0278	0.651	0.0142	0.0045	0.0	0.0	0.0	0.196	0.2588
0.2	0.1841	0.7281	0.0079	0.0025	0.625	0.457	0.528	0.6707	0.0027	0.0009	0.7079	0.0352	0.0111	0.6859	0.0198	0.0063	0.0	0.0	0.0	0.2961	0.2133
0.3	0.1768	0.7396	0.0034	0.0011	0.6428	0.4521	0.5308	0.6699	0.0056	0.0018	0.7358	0.0064	0.002	0.6912	0.0087	0.0028	0.0	0.0	0.0	0.261	0.1885
0.4	0.1768	0.7375	0.0067	0.0021	0.6396	0.4502	0.5284	0.6725	0.0031	0.001	0.733	0.0124	0.0039	0.6991	0.0159	0.005	0.0	0.0	0.0	0.2941	0.1876
0.5	0.1766	0.736	0.0063	0.002	0.6372	0.4424	0.5222	0.6693	0.0078	0.0025	0.7355	0.0064	0.002	0.705	0.0077	0.0024	0.0	0.0	0.0	0.3259	0.1834
0.6	0.1785	0.734	0.0071	0.0022	0.6471	0.4166	0.5069	0.672	0.0062	0.0019	0.7353	0.0072	0.0023	0.7092	0.0067	0.0021	0.0	0.0	0.0	0.328	0.1826
0.7	0.1807	0.7334	0.0078	0.0025	0.6486	0.3937	0.49	0.6748	0.0088	0.0028	0.7342	0.0079	0.0025	0.7158	0.0126	0.004	0.0	0.0	0.0	0.3252	0.182
0.8	0.1841	0.7272	0.0119	0.0037	0.6599	0.3658	0.4707	0.6682	0.0095	0.003	0.7275	0.0114	0.0036	0.7148	0.013	0.0041	0.0	0.0	0.0	0.3318	0.1843
0.9	0.1866	0.7222	0.0091	0.0029	0.6542	0.3236	0.433	0.6717	0.0158	0.005	0.7225	0.0091	0.0029	0.7138	0.0107	0.0034	0.0	0.0	0.0	0.3283	0.1867
