trainingSize	meanSquaredLoss	meanAccuracy	sd	se	meanPrecision	meanRecall	f1	mle_meanAccuracy	mle_sd	mle_se	mple_meanAccuracy	mple_sd	mple_se	i2_initialEstimate_meanAccuracy	i2_initialEstimate_sd	i2_initialEstimate_se	initialEstimate_meanAccuracy	initialEstimate_sd	i2_initialEstimate_se	i1_meanSquaredLoss	i2_meanSquaredLoss

0.1	0.2805	0.5595	0.0757	0.0239	0.5758	0.6319	0.6025	0.7244	0.0297	0.0094	0.4936	0.0324	0.0102	0.5458	0.0364	0.0115	0.0	0.0	0.0	0.5269	0.4044
0.2	0.2651	0.5232	0.052	0.0164	0.5267	0.5535	0.5398	0.7417	0.0059	0.0019	0.5044	0.0383	0.0121	0.5114	0.035	0.0111	0.0	0.0	0.0	0.576	0.2997
0.3	0.2605	0.518	0.0391	0.0124	0.5046	0.4054	0.4496	0.7442	0.01	0.0032	0.507	0.0338	0.0107	0.5283	0.0499	0.0158	0.0	0.0	0.0	0.6249	0.2821
0.4	0.2592	0.5202	0.0395	0.0125	0.5153	0.3922	0.4454	0.7417	0.0178	0.0056	0.5075	0.0324	0.0102	0.5368	0.0406	0.0128	0.0	0.0	0.0	0.6737	0.2686
0.5	0.2626	0.5169	0.0295	0.0093	0.5051	0.3343	0.4023	0.7429	0.0172	0.0054	0.5152	0.0297	0.0094	0.5316	0.0258	0.0082	0.0	0.0	0.0	0.6103	0.265
0.6	0.2499	0.5307	0.0197	0.0062	0.5143	0.3535	0.419	0.7484	0.0139	0.0044	0.5305	0.0221	0.007	0.532	0.0196	0.0062	0.0	0.0	0.0	0.5605	0.2503
0.7	0.252	0.5322	0.0257	0.0081	0.5371	0.3164	0.3982	0.7387	0.0228	0.0072	0.5314	0.0249	0.0079	0.5468	0.018	0.0057	0.0	0.0	0.0	0.6091	0.2517
0.8	0.2516	0.5196	0.0562	0.0178	0.4957	0.3574	0.4154	0.7569	0.0353	0.0112	0.5217	0.0592	0.0187	0.5166	0.0278	0.0088	0.0	0.0	0.0	0.5195	0.2517
0.9	0.2531	0.5037	0.0601	0.019	0.4878	0.3655	0.4179	0.7279	0.0514	0.0163	0.5028	0.0547	0.0173	0.5055	0.0597	0.0189	0.0	0.0	0.0	0.659	0.253
0.2	0.257	0.5534	0.0414	0.0131	0.5652	0.3884	0.4604	0.7431	0.0119	0.0038	0.5188	0.0288	0.0091	0.5423	0.0384	0.0121	0.0	0.0	0.0	0.571	0.3151
0.3	0.2553	0.5213	0.0285	0.009	0.4978	0.3171	0.3874	0.7373	0.008	0.0025	0.5118	0.0296	0.0094	0.5361	0.0343	0.0109	0.0	0.0	0.0	0.673	0.2764
0.4	0.2598	0.5244	0.0362	0.0114	0.504	0.4167	0.4562	0.7371	0.0105	0.0033	0.5182	0.031	0.0098	0.5044	0.0282	0.0089	0.0	0.0	0.0	0.6667	0.2649
0.5	0.2584	0.5225	0.0172	0.0054	0.5014	0.3024	0.3773	0.7435	0.0129	0.0041	0.5171	0.0156	0.0049	0.5265	0.0349	0.011	0.0	0.0	0.0	0.7145	0.261
0.6	0.2518	0.5177	0.0263	0.0083	0.5101	0.3576	0.4204	0.7532	0.0161	0.0051	0.5167	0.0249	0.0079	0.5307	0.0395	0.0125	0.0	0.0	0.0	0.5206	0.2523
0.7	0.253	0.5217	0.0164	0.0052	0.492	0.3358	0.3992	0.7581	0.0246	0.0078	0.5184	0.0166	0.0052	0.52	0.0401	0.0127	0.0	0.0	0.0	0.5516	0.2532
0.8	0.2482	0.535	0.0232	0.0073	0.5392	0.328	0.4078	0.7528	0.0382	0.0121	0.5339	0.0198	0.0063	0.5235	0.025	0.0079	0.0	0.0	0.0	0.5512	0.2482
0.9	0.2474	0.521	0.0376	0.0119	0.4857	0.3843	0.4291	0.7443	0.0519	0.0164	0.5277	0.0406	0.0129	0.5295	0.0485	0.0153	0.0	0.0	0.0	0.5164	0.2469
