Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE

original	0.9	0.0563	0.9352	0.0064	0.0009	0.9327	0.9003	0.9162	0.9362	0.6084	0.0014	0.0002	0.9406	0.0003	0.0	0.8973	0.0005	0.0
original	0.8	0.059	0.9315	0.0045	0.0006	0.9303	0.8921	0.9108	0.9308	0.6084	0.0022	0.0003	0.9402	0.0004	0.0	0.8974	0.0006	0.0
original	0.7	0.0622	0.9277	0.0042	0.0006	0.9309	0.881	0.9053	0.9281	0.6084	0.0033	0.0005	0.9404	0.0005	0.0	0.8972	0.0007	0.0
original	0.6	0.0642	0.9252	0.0036	0.0005	0.9347	0.8697	0.9011	0.9244	0.6081	0.004	0.0006	0.9392	0.0007	0.0	0.8955	0.0009	0.0
original	0.5	0.0707	0.918	0.0041	0.0006	0.9346	0.8502	0.8904	0.9181	0.6079	0.0047	0.0007	0.9407	0.0009	0.0	0.8971	0.0013	0.0
original	0.45	0.0737	0.9146	0.0046	0.0006	0.9344	0.8408	0.8851	0.914	0.6076	0.0052	0.0007	0.9405	0.001	0.0	0.8986	0.0016	0.0
original	0.4	0.0774	0.9106	0.0048	0.0007	0.9369	0.8273	0.8787	0.9106	0.6074	0.0057	0.0008	0.9411	0.0009	0.0	0.8984	0.0015	0.0
original	0.35	0.0837	0.9032	0.0073	0.001	0.937	0.8071	0.8673	0.9049	0.6073	0.0056	0.0008	0.9405	0.0012	0.0	0.898	0.0017	0.0
original	0.3	0.0923	0.8937	0.011	0.0016	0.9398	0.7789	0.8518	0.8955	0.6078	0.007	0.001	0.94	0.0013	0.0	0.8974	0.0021	0.0
original	0.1	0.2698	0.7112	0.0877	0.0124	0.9377	0.278	0.4289	0.6785	0.607	0.0136	0.0019	0.9402	0.0025	0.0	0.8925	0.0039	0.0
original	0.25	0.105	0.8802	0.0149	0.0021	0.942	0.7402	0.829	0.8846	0.6077	0.0079	0.0011	0.9401	0.0016	0.0	0.8982	0.0025	0.0
original	0.2	0.1305	0.8533	0.0249	0.0035	0.9509	0.6616	0.7803	0.8541	0.6111	0.0081	0.0011	0.9418	0.0016	0.0	0.8975	0.0022	0.0
original	0.05	0.3293	0.6557	0.068	0.0096	0.8951	0.1343	0.2336	0.6205	0.6137	0.0173	0.0025	0.9322	0.004	0.0	0.8791	0.0084	0.0

40perc_2repeat	0.1	0.2663	0.7132	0.0889	0.0126	0.9262	0.2863	0.4374	0.6827	0.61	0.0128	0.0018	0.9358	0.0033	0.0	0.8901	0.0048	0.0
60perc_2repeat	0.1	0.2355	0.7446	0.088	0.0124	0.9282	0.3694	0.5285	0.7565	0.6069	0.013	0.0018	0.9373	0.0029	0.0	0.8941	0.0048	0.0
15perc_2repeat	0.1	0.2692	0.7131	0.0944	0.0134	0.9326	0.2861	0.4379	0.6716	0.6107	0.0131	0.0019	0.9455	0.0022	0.0	0.902	0.0034	0.0
30perc_2repeat	0.1	0.2534	0.7275	0.0816	0.0115	0.9395	0.3219	0.4796	0.7371	0.6082	0.014	0.002	0.942	0.0023	0.0	0.8962	0.0038	0.0
90perc_2repeat	0.05	0.3332	0.6527	0.0797	0.0113	0.8923	0.1295	0.2261	0.6158	0.6123	0.02	0.0028	0.9316	0.0047	0.0	0.8769	0.0085	0.0
15perc_2repeat	0.05	0.3249	0.6621	0.0835	0.0118	0.8964	0.1631	0.2759	0.6156	0.6114	0.0165	0.0023	0.9395	0.0047	0.0	0.891	0.0074	0.0
15perc_5repeat	0.1	0.2617	0.7195	0.0873	0.0123	0.9342	0.302	0.4564	0.7174	0.6122	0.0127	0.0018	0.9382	0.0036	0.0	0.8934	0.0046	0.0
30perc_2repeat	0.05	0.3209	0.663	0.0772	0.0109	0.8821	0.1545	0.2629	0.6204	0.6075	0.0171	0.0024	0.9309	0.0042	0.0	0.8863	0.0065	0.0
40perc_2repeat	0.05	0.3246	0.6611	0.0773	0.0109	0.8986	0.1487	0.2551	0.6161	0.6083	0.0207	0.0029	0.9354	0.0042	0.0	0.8796	0.0069	0.0
40perc_5repeat	0.1	0.2368	0.7452	0.0971	0.0137	0.9328	0.3733	0.5332	0.7593	0.6076	0.013	0.0018	0.938	0.0027	0.0	0.8962	0.0041	0.0
