Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE

original	0.9	0.0563	0.9352	0.0064	0.0009	0.9327	0.9003	0.9162	0.9362	0.6084	0.0014	0.0002	0.9406	0.0003	0.0	0.8973	0.0005	0.0
original	0.8	0.059	0.9315	0.0045	0.0006	0.9303	0.8921	0.9108	0.9308	0.6084	0.0022	0.0003	0.9402	0.0004	0.0	0.8974	0.0006	0.0
original	0.7	0.0622	0.9277	0.0042	0.0006	0.9309	0.881	0.9053	0.9281	0.6084	0.0033	0.0005	0.9404	0.0005	0.0	0.8972	0.0007	0.0
original	0.6	0.0642	0.9252	0.0036	0.0005	0.9347	0.8697	0.9011	0.9244	0.6081	0.004	0.0006	0.9392	0.0007	0.0	0.8955	0.0009	0.0
original	0.5	0.0707	0.918	0.0041	0.0006	0.9346	0.8502	0.8904	0.9181	0.6079	0.0047	0.0007	0.9407	0.0009	0.0	0.8971	0.0013	0.0
original	0.45	0.0737	0.9146	0.0046	0.0006	0.9344	0.8408	0.8851	0.914	0.6076	0.0052	0.0007	0.9405	0.001	0.0	0.8986	0.0016	0.0
original	0.4	0.0774	0.9106	0.0048	0.0007	0.9369	0.8273	0.8787	0.9106	0.6074	0.0057	0.0008	0.9411	0.0009	0.0	0.8984	0.0015	0.0
original	0.35	0.0837	0.9032	0.0073	0.001	0.937	0.8071	0.8673	0.9049	0.6073	0.0056	0.0008	0.9405	0.0012	0.0	0.898	0.0017	0.0
original	0.3	0.0923	0.8937	0.011	0.0016	0.9398	0.7789	0.8518	0.8955	0.6078	0.007	0.001	0.94	0.0013	0.0	0.8974	0.0021	0.0
original	0.1	0.2698	0.7112	0.0877	0.0124	0.9377	0.278	0.4289	0.6785	0.607	0.0136	0.0019	0.9402	0.0025	0.0	0.8925	0.0039	0.0
original	0.25	0.105	0.8802	0.0149	0.0021	0.942	0.7402	0.829	0.8846	0.6077	0.0079	0.0011	0.9401	0.0016	0.0	0.8982	0.0025	0.0
original	0.2	0.1305	0.8533	0.0249	0.0035	0.9509	0.6616	0.7803	0.8541	0.6111	0.0081	0.0011	0.9418	0.0016	0.0	0.8975	0.0022	0.0
original	0.05	0.3293	0.6557	0.068	0.0096	0.8951	0.1343	0.2336	0.6205	0.6137	0.0173	0.0025	0.9322	0.004	0.0	0.8791	0.0084	0.0

50perc_2repeat	0.1	0.2425	0.7391	0.0915	0.0129	0.9347	0.3541	0.5137	0.775	0.6061	0.0169	0.0024	0.938	0.0025	0.0	0.8959	0.004	0.0
5perc_2repeat	0.1	0.2603	0.7217	0.0895	0.0127	0.9311	0.3082	0.4632	0.7167	0.6088	0.0124	0.0018	0.9428	0.0025	0.0	0.8977	0.0045	0.0
40perc_2repeat	0.1	0.243	0.738	0.0911	0.0129	0.9372	0.3514	0.5111	0.7644	0.6062	0.0121	0.0017	0.9375	0.0035	0.0	0.8947	0.0046	0.0
70perc_5repeat	0.1	0.2677	0.7136	0.0845	0.012	0.935	0.2841	0.4358	0.7128	0.606	0.0133	0.0019	0.9406	0.0023	0.0	0.8901	0.0043	0.0
90perc_10repeat	0.05	0.3147	0.67	0.0856	0.0121	0.8914	0.1773	0.2958	0.6197	0.6026	0.0234	0.0033	0.9317	0.0046	0.0	0.8885	0.0067	0.0
30perc_2repeat	0.05	0.3261	0.6584	0.0705	0.01	0.893	0.1405	0.2427	0.6227	0.6143	0.0212	0.003	0.9294	0.0056	0.0	0.8861	0.0075	0.0
90perc_2repeat	0.05	0.2992	0.6845	0.0926	0.0131	0.897	0.2227	0.3568	0.6247	0.602	0.0194	0.0027	0.9305	0.0041	0.0	0.8893	0.0062	0.0
50perc_5repeat	0.05	0.3073	0.6778	0.0912	0.0129	0.888	0.2006	0.3272	0.6232	0.6029	0.0249	0.0035	0.9372	0.0054	0.0	0.8934	0.0092	0.0
15perc_2repeat	0.1	0.2584	0.7224	0.0773	0.0109	0.9426	0.3072	0.4634	0.74	0.6085	0.0138	0.002	0.9446	0.0026	0.0	0.8988	0.004	0.0
40perc_2repeat	0.05	0.3236	0.6616	0.0682	0.0096	0.9028	0.1482	0.2546	0.627	0.6116	0.0193	0.0027	0.9364	0.0049	0.0	0.8876	0.0086	0.0
