Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE

original	0.9	0.0563	0.9352	0.0064	0.0009	0.9327	0.9003	0.9162	0.9362	0.6084	0.0014	0.0002	0.9406	0.0003	0.0	0.8973	0.0005	0.0
original	0.8	0.059	0.9315	0.0045	0.0006	0.9303	0.8921	0.9108	0.9308	0.6084	0.0022	0.0003	0.9402	0.0004	0.0	0.8974	0.0006	0.0
original	0.7	0.0622	0.9277	0.0042	0.0006	0.9309	0.881	0.9053	0.9281	0.6084	0.0033	0.0005	0.9404	0.0005	0.0	0.8972	0.0007	0.0
original	0.6	0.0642	0.9252	0.0036	0.0005	0.9347	0.8697	0.9011	0.9244	0.6081	0.004	0.0006	0.9392	0.0007	0.0	0.8955	0.0009	0.0
original	0.5	0.0707	0.918	0.0041	0.0006	0.9346	0.8502	0.8904	0.9181	0.6079	0.0047	0.0007	0.9407	0.0009	0.0	0.8971	0.0013	0.0
original	0.45	0.0737	0.9146	0.0046	0.0006	0.9344	0.8408	0.8851	0.914	0.6076	0.0052	0.0007	0.9405	0.001	0.0	0.8986	0.0016	0.0
original	0.4	0.0774	0.9106	0.0048	0.0007	0.9369	0.8273	0.8787	0.9106	0.6074	0.0057	0.0008	0.9411	0.0009	0.0	0.8984	0.0015	0.0
original	0.35	0.0837	0.9032	0.0073	0.001	0.937	0.8071	0.8673	0.9049	0.6073	0.0056	0.0008	0.9405	0.0012	0.0	0.898	0.0017	0.0
original	0.3	0.0923	0.8937	0.011	0.0016	0.9398	0.7789	0.8518	0.8955	0.6078	0.007	0.001	0.94	0.0013	0.0	0.8974	0.0021	0.0
original	0.1	0.2698	0.7112	0.0877	0.0124	0.9377	0.278	0.4289	0.6785	0.607	0.0136	0.0019	0.9402	0.0025	0.0	0.8925	0.0039	0.0
original	0.25	0.105	0.8802	0.0149	0.0021	0.942	0.7402	0.829	0.8846	0.6077	0.0079	0.0011	0.9401	0.0016	0.0	0.8982	0.0025	0.0
original	0.2	0.1305	0.8533	0.0249	0.0035	0.9509	0.6616	0.7803	0.8541	0.6111	0.0081	0.0011	0.9418	0.0016	0.0	0.8975	0.0022	0.0
original	0.05	0.3293	0.6557	0.068	0.0096	0.8951	0.1343	0.2336	0.6205	0.6137	0.0173	0.0025	0.9322	0.004	0.0	0.8791	0.0084	0.0

30perc_2repeat	0.1	0.3272	0.62	0.0301	0.0043	0.8794	0.0339	0.0653	0.6148	0.5656	0.0098	0.0014	0.7317	0.0029	0.0	0.6235	0.0052	0.0
05perc_2repeat	0.1	0.3051	0.6719	0.0768	0.0109	0.9163	0.173	0.2911	0.6263	0.6015	0.0128	0.0018	0.8959	0.0031	0.0	0.8317	0.0038	0.0
70perc_2repeat	0.05	0.2272	0.7139	0.1101	0.0156	0.8201	0.4236	0.5586	0.7113	0.5083	0.0087	0.0012	0.6877	0.0044	0.0	0.6701	0.0055	0.0
15perc_2repeat	0.05	0.3481	0.6216	0.0385	0.0054	0.8846	0.0389	0.0745	0.6121	0.5831	0.0159	0.0023	0.8111	0.0051	0.0	0.7103	0.0075	0.0
15perc_5repeat	0.1	0.3424	0.6175	0.0074	0.001	0.8725	0.0271	0.0526	0.6162	0.5801	0.0091	0.0013	0.7823	0.0031	0.0	0.6806	0.0038	0.0
90perc_2repeat	0.05	0.155	0.8096	0.0592	0.0084	0.7065	0.925	0.8011	0.8224	0.4785	0.0075	0.0011	0.8081	0.0053	0.0	0.8246	0.0053	0.0
70perc_5repeat	0.05	0.3684	0.4991	0.1592	0.0225	0.4811	0.9224	0.6324	0.4028	0.4807	0.0091	0.0013	0.6023	0.0038	0.0	0.639	0.0041	0.0
40perc_5repeat	0.1	0.2797	0.6193	0.0375	0.0053	0.8582	0.0363	0.0696	0.611	0.5374	0.0065	0.0009	0.6193	0.0024	0.0	0.5425	0.0029	0.0
30perc_5repeat	0.1	0.3079	0.6139	0.0054	0.0008	0.8629	0.0163	0.032	0.6129	0.5533	0.0078	0.0011	0.6662	0.003	0.0	0.5709	0.0038	0.0
30perc_5repeat	0.05	0.3121	0.622	0.0449	0.0064	0.7648	0.0387	0.0737	0.6105	0.5534	0.0131	0.0019	0.674	0.0048	0.0	0.566	0.0055	0.0
