Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1
0perc_0repeat	0.4	0.5586	0.0551	0.0055	0.6326	0.1705	0.2687
Median_0perc_0repeat	0.4	0.5479	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5534	0.0505	0.005	0.6388	0.1977	0.3019
Median_0perc_0repeat	0.4	0.5397	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5595	0.0549	0.0055	0.6558	0.2038	0.311
Median_0perc_0repeat	0.4	0.5473	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5542	0.0556	0.0056	0.6226	0.28	0.3863
Median_0perc_0repeat	0.4	0.5447	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5555	0.0504	0.005	0.6547	0.216	0.3248
Median_0perc_0repeat	0.4	0.5398	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5456	0.048	0.0048	0.6468	0.1583	0.2544
Median_0perc_0repeat	0.4	0.5339	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5598	0.0513	0.0051	0.6422	0.2373	0.3466
Median_0perc_0repeat	0.4	0.5502	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5623	0.0538	0.0054	0.6436	0.2074	0.3137
Median_0perc_0repeat	0.4	0.5465	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.55	0.0504	0.005	0.66	0.2361	0.3477
Median_0perc_0repeat	0.4	0.5396	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5524	0.05	0.005	0.6446	0.2096	0.3163
Median_0perc_0repeat	0.4	0.5424	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5523	0.0485	0.0049	0.6593	0.1768	0.2788
Median_0perc_0repeat	0.4	0.5406	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5516	0.0466	0.0047	0.6119	0.1615	0.2556
Median_0perc_0repeat	0.4	0.5377	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5543	0.047	0.0047	0.6735	0.1887	0.2948
Median_0perc_0repeat	0.4	0.5443	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5517	0.054	0.0054	0.6333	0.2128	0.3186
