Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1
0perc_0repeat	0.4	0.5554	0.0523	0.0105	0.6209	0.2968	0.4017
Median_0perc_0repeat	0.4	0.5531	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5491	0.0526	0.0105	0.6615	0.294	0.4071
Median_0perc_0repeat	0.4	0.54	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5538	0.0502	0.01	0.6603	0.284	0.3972
Median_0perc_0repeat	0.4	0.5396	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.558	0.0481	0.0096	0.6791	0.1911	0.2982
Median_0perc_0repeat	0.4	0.5522	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5697	0.0566	0.0113	0.7072	0.2472	0.3663
Median_0perc_0repeat	0.4	0.5534	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5685	0.062	0.0124	0.6628	0.2627	0.3763
Median_0perc_0repeat	0.4	0.5414	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5606	0.0429	0.0086	0.6507	0.1916	0.2961
Median_0perc_0repeat	0.4	0.5565	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5615	0.0558	0.0112	0.6672	0.2309	0.3431
Median_0perc_0repeat	0.4	0.5392	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5559	0.0501	0.01	0.647	0.2164	0.3243
Median_0perc_0repeat	0.4	0.5329	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5308	0.0364	0.0073	0.6231	0.2014	0.3044
Median_0perc_0repeat	0.4	0.5272	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5698	0.0569	0.0114	0.6156	0.3375	0.436
Median_0perc_0repeat	0.4	0.5678	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5729	0.048	0.0096	0.678	0.2645	0.3806
Median_0perc_0repeat	0.4	0.5625	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.562	0.0583	0.0117	0.7201	0.2158	0.332
Median_0perc_0repeat	0.4	0.5622	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5475	0.0427	0.0085	0.648	0.1457	0.2378
Median_0perc_0repeat	0.4	0.5362	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5659	0.0555	0.0111	0.6608	0.2326	0.3441
Median_0perc_0repeat	0.4	0.5585	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5379	0.0367	0.0073	0.6053	0.2157	0.318
Median_0perc_0repeat	0.4	0.5359	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5558	0.0609	0.0122	0.5961	0.3586	0.4478
Median_0perc_0repeat	0.4	0.5367	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5506	0.0486	0.0097	0.6312	0.1626	0.2586
Median_0perc_0repeat	0.4	0.5419	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5655	0.0509	0.0102	0.6868	0.2877	0.4055
Median_0perc_0repeat	0.4	0.5485	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5522	0.0515	0.0103	0.6068	0.2241	0.3273
Median_0perc_0repeat	0.4	0.5456	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5563	0.0513	0.0103	0.623	0.1947	0.2967
Median_0perc_0repeat	0.4	0.5354	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5585	0.0535	0.0107	0.6906	0.2184	0.3319
Median_0perc_0repeat	0.4	0.5458	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5513	0.0559	0.0112	0.5446	0.195	0.2872
Median_0perc_0repeat	0.4	0.5283	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5607	0.0437	0.0087	0.6961	0.1906	0.2993
Median_0perc_0repeat	0.4	0.5566	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5735	0.057	0.0114	0.7071	0.1942	0.3047
Median_0perc_0repeat	0.4	0.5481	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5507	0.0396	0.0079	0.6682	0.0934	0.164
Median_0perc_0repeat	0.4	0.5354	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5573	0.055	0.011	0.6634	0.2195	0.3299
Median_0perc_0repeat	0.4	0.5551	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5507	0.0464	0.0093	0.6682	0.1714	0.2729
Median_0perc_0repeat	0.4	0.548	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5505	0.0452	0.009	0.6543	0.2053	0.3126
Median_0perc_0repeat	0.4	0.5473	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5422	0.0516	0.0103	0.6228	0.2078	0.3117
Median_0perc_0repeat	0.4	0.5334	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5527	0.0592	0.0118	0.6345	0.3236	0.4286
Median_0perc_0repeat	0.4	0.5551	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5413	0.0522	0.0104	0.577	0.28	0.377
Median_0perc_0repeat	0.4	0.5361	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5358	0.0502	0.01	0.647	0.313	0.4219
Median_0perc_0repeat	0.4	0.5312	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.554	0.0487	0.0097	0.6206	0.1895	0.2903
Median_0perc_0repeat	0.4	0.5482	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5513	0.054	0.0108	0.6147	0.2907	0.3948
