Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1
0perc_0repeat	0.4	0.5405	0.0532	0.0106	0.5801	0.2623	0.3613
0perc_0repeat	0.4	0.5312	0.0377	0.0075	0.6577	0.1773	0.2793
0perc_0repeat	0.4	0.5384	0.0471	0.0094	0.6165	0.192	0.2928
0perc_0repeat	0.4	0.5435	0.0538	0.0108	0.6566	0.1973	0.3034
0perc_0repeat	0.4	0.5501	0.0507	0.0101	0.6354	0.2374	0.3457
0perc_0repeat	0.4	0.5679	0.0562	0.0112	0.669	0.185	0.2898
0perc_0repeat	0.4	0.5577	0.0501	0.01	0.6726	0.1745	0.2771
0perc_0repeat	0.4	0.5669	0.045	0.009	0.6658	0.2585	0.3724
0perc_0repeat	0.4	0.5362	0.0357	0.0071	0.6475	0.132	0.2193
0perc_0repeat	0.4	0.5717	0.0542	0.0108	0.662	0.2496	0.3625
0perc_0repeat	0.4	0.5556	0.0523	0.0105	0.6886	0.2487	0.3654
0perc_0repeat	0.4	0.5694	0.0523	0.0105	0.7048	0.1708	0.2749
0perc_0repeat	0.4	0.5562	0.044	0.0088	0.6875	0.2036	0.3141
0perc_0repeat	0.4	0.5505	0.0479	0.0096	0.6477	0.19	0.2938
0perc_0repeat	0.4	0.559	0.0587	0.0117	0.667	0.3532	0.4619
0perc_0repeat	0.4	0.5459	0.0539	0.0108	0.6145	0.174	0.2712
0perc_0repeat	0.4	0.5496	0.0402	0.008	0.7257	0.1245	0.2125
0perc_0repeat	0.4	0.5439	0.0497	0.0099	0.5966	0.2551	0.3574
0perc_0repeat	0.4	0.5511	0.0508	0.0102	0.6074	0.3402	0.4362
0perc_0repeat	0.4	0.5608	0.0562	0.0112	0.6425	0.248	0.3578
0perc_0repeat	0.4	0.5525	0.0605	0.0121	0.6785	0.2713	0.3876
0perc_0repeat	0.4	0.561	0.0583	0.0117	0.6298	0.3074	0.4131
0perc_0repeat	0.4	0.5447	0.0416	0.0083	0.5999	0.1821	0.2794
0perc_0repeat	0.4	0.5469	0.0528	0.0106	0.595	0.1542	0.2449
0perc_0repeat	0.4	0.5646	0.0623	0.0125	0.6729	0.2632	0.3784
0perc_0repeat	0.4	0.5511	0.0473	0.0095	0.6577	0.1828	0.2861
0perc_0repeat	0.4	0.5354	0.0496	0.0099	0.644	0.2986	0.408
0perc_0repeat	0.4	0.5721	0.0502	0.01	0.7011	0.2407	0.3584
0perc_0repeat	0.4	0.5714	0.0654	0.0131	0.6685	0.3127	0.4261
0perc_0repeat	0.4	0.5546	0.0517	0.0103	0.6277	0.2013	0.3048
0perc_0repeat	0.4	0.5509	0.0394	0.0079	0.6697	0.2254	0.3373
0perc_0repeat	0.4	0.5461	0.0484	0.0097	0.663	0.2304	0.3419
0perc_0repeat	0.4	0.54	0.0569	0.0114	0.6231	0.2199	0.325
0perc_0repeat	0.4	0.5596	0.0505	0.0101	0.6343	0.2	0.3041
0perc_0repeat	0.4	0.5457	0.0464	0.0093	0.6198	0.1461	0.2365
0perc_0repeat	0.4	0.5536	0.0599	0.012	0.6404	0.3009	0.4095
0perc_0repeat	0.4	0.5416	0.0426	0.0085	0.6316	0.1368	0.225
0perc_0repeat	0.4	0.5475	0.0363	0.0073	0.6646	0.1686	0.269
0perc_0repeat	0.4	0.5529	0.0448	0.009	0.6885	0.1455	0.2402
0perc_0repeat	0.4	0.5608	0.0558	0.0112	0.6953	0.2531	0.3711
0perc_0repeat	0.4	0.5651	0.0537	0.0107	0.705	0.1669	0.2699
0perc_0repeat	0.4	0.5554	0.0606	0.0121	0.6211	0.269	0.3754
0perc_0repeat	0.4	0.5411	0.0351	0.007	0.6932	0.1156	0.1982
0perc_0repeat	0.4	0.5649	0.0611	0.0122	0.6487	0.1577	0.2537
0perc_0repeat	0.4	0.5527	0.0405	0.0081	0.6511	0.2	0.306
0perc_0repeat	0.4	0.5496	0.0355	0.0071	0.6314	0.2377	0.3454
0perc_0repeat	0.4	0.5541	0.0442	0.0088	0.6894	0.1893	0.2971
0perc_0repeat	0.4	0.5557	0.0488	0.0098	0.6281	0.199	0.3022
0perc_0repeat	0.4	0.5576	0.05	0.01	0.6799	0.2002	0.3093
0perc_0repeat	0.4	0.541	0.0393	0.0079	0.6433	0.1939	0.298
0perc_0repeat	0.4	0.566	0.0516	0.0103	0.6446	0.1666	0.2648
0perc_0repeat	0.4	0.5678	0.0682	0.0136	0.6384	0.3603	0.4606
0perc_0repeat	0.4	0.5557	0.0515	0.0103	0.6754	0.2822	0.3981
0perc_0repeat	0.4	0.563	0.0542	0.0108	0.6667	0.1633	0.2624
0perc_0repeat	0.4	0.5568	0.0522	0.0104	0.6326	0.305	0.4116
0perc_0repeat	0.4	0.5475	0.0396	0.0079	0.6015	0.2047	0.3054
0perc_0repeat	0.4	0.5567	0.0477	0.0095	0.6548	0.2306	0.3411
0perc_0repeat	0.4	0.5495	0.0543	0.0109	0.6131	0.2503	0.3555
0perc_0repeat	0.4	0.5487	0.048	0.0096	0.6705	0.2286	0.341
0perc_0repeat	0.4	0.5657	0.0573	0.0115	0.601	0.1796	0.2765
0perc_0repeat	0.4	0.5727	0.0464	0.0093	0.727	0.1726	0.2789
0perc_0repeat	0.4	0.5368	0.0544	0.0109	0.5756	0.2096	0.3074
0perc_0repeat	0.4	0.5474	0.0558	0.0112	0.6298	0.2913	0.3983
0perc_0repeat	0.4	0.5503	0.0507	0.0101	0.5685	0.3688	0.4474
0perc_0repeat	0.4	0.5589	0.0555	0.0111	0.6744	0.2751	0.3908
0perc_0repeat	0.4	0.5466	0.0382	0.0076	0.6679	0.0893	0.1575
0perc_0repeat	0.4	0.5552	0.0607	0.0121	0.7191	0.2851	0.4084
0perc_0repeat	0.4	0.5692	0.0544	0.0109	0.6995	0.3051	0.4249
0perc_0repeat	0.4	0.5654	0.0604	0.0121	0.65	0.2359	0.3462
0perc_0repeat	0.4	0.5396	0.0542	0.0108	0.5415	0.3672	0.4377
0perc_0repeat	0.4	0.5458	0.06	0.012	0.5963	0.2824	0.3833
0perc_0repeat	0.4	0.533	0.0445	0.0089	0.6214	0.2641	0.3707
0perc_0repeat	0.4	0.5463	0.052	0.0104	0.6231	0.2466	0.3533
0perc_0repeat	0.4	0.5589	0.0458	0.0092	0.6614	0.1342	0.2232
0perc_0repeat	0.4	0.5332	0.0376	0.0075	0.627	0.2449	0.3523
0perc_0repeat	0.4	0.5738	0.0481	0.0096	0.6977	0.306	0.4254
0perc_0repeat	0.4	0.554	0.0476	0.0095	0.6142	0.2149	0.3184
0perc_0repeat	0.4	0.5502	0.0466	0.0093	0.6157	0.2545	0.3601
0perc_0repeat	0.4	0.5491	0.0497	0.0099	0.6536	0.2666	0.3787
0perc_0repeat	0.4	0.5376	0.0491	0.0098	0.6274	0.1887	0.2901
0perc_0repeat	0.4	0.5421	0.0676	0.0135	0.6429	0.2997	0.4088
0perc_0repeat	0.4	0.5763	0.0561	0.0112	0.6823	0.3236	0.439
0perc_0repeat	0.4	0.5517	0.0452	0.009	0.6367	0.2062	0.3115
0perc_0repeat	0.4	0.563	0.0432	0.0086	0.6791	0.2505	0.366
0perc_0repeat	0.4	0.5458	0.0631	0.0126	0.5921	0.2664	0.3675
0perc_0repeat	0.4	0.5445	0.0512	0.0102	0.5869	0.2427	0.3434
0perc_0repeat	0.4	0.5541	0.0483	0.0097	0.6336	0.1893	0.2915
0perc_0repeat	0.4	0.5535	0.0428	0.0086	0.6261	0.2059	0.3098
0perc_0repeat	0.4	0.5495	0.035	0.007	0.6805	0.1228	0.208
0perc_0repeat	0.4	0.5419	0.0565	0.0113	0.5388	0.2894	0.3765
0perc_0repeat	0.4	0.5456	0.0528	0.0106	0.5732	0.2408	0.3391
0perc_0repeat	0.4	0.5674	0.0575	0.0115	0.6833	0.2636	0.3804
0perc_0repeat	0.4	0.5495	0.0612	0.0122	0.602	0.2879	0.3895
0perc_0repeat	0.4	0.5603	0.0615	0.0123	0.7054	0.2273	0.3438
0perc_0repeat	0.4	0.5443	0.039	0.0078	0.6613	0.1374	0.2275
0perc_0repeat	0.4	0.5612	0.0555	0.0111	0.6141	0.1872	0.2869
0perc_0repeat	0.4	0.5606	0.0563	0.0113	0.6966	0.2397	0.3566
0perc_0repeat	0.4	0.5812	0.0588	0.0118	0.673	0.2618	0.3769
