Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1
0perc_0repeat	0.4	0.5569	0.0538	0.0017	0.6619	0.2232	0.3338
Median_0perc_0repeat	0.4	0.5433	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5537	0.0529	0.0017	0.6486	0.2385	0.3487
Median_0perc_0repeat	0.4	0.5405	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5542	0.0543	0.0017	0.6381	0.2371	0.3458
Median_0perc_0repeat	0.4	0.5415	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5565	0.0521	0.0016	0.651	0.2271	0.3368
Median_0perc_0repeat	0.4	0.5456	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5543	0.053	0.0017	0.6568	0.2196	0.3292
Median_0perc_0repeat	0.4	0.5402	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5581	0.0525	0.0017	0.6615	0.2257	0.3365
Median_0perc_0repeat	0.4	0.5462	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5512	0.0497	0.0016	0.6597	0.2182	0.328
Median_0perc_0repeat	0.4	0.5397	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5557	0.0531	0.0017	0.6596	0.2182	0.3279
Median_0perc_0repeat	0.4	0.543	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5539	0.0516	0.0016	0.6443	0.2317	0.3408
Median_0perc_0repeat	0.4	0.5426	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5562	0.0532	0.0017	0.6532	0.2272	0.3371
Median_0perc_0repeat	0.4	0.5434	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5544	0.0541	0.0017	0.6488	0.2283	0.3377
Median_0perc_0repeat	0.4	0.541	0.0	0.0	0.0	0.0	0.0
