Label	trainingSize	Accuracy_Mean	Accuracy_SD	Precision_Mean	Recall_Mean	F1

original 	0.01	0.5099	0.0274 	0 	0 	0
original	0.05	0.5051	0.0264 	0.3537	0.4722	0.4045
original	0.1	0.5063	0.0259 	0.3293	0.4738	0.3885
original	0.2	0.5202	0.0416 	0.3478	0.4719	0.4004
original	0.25	0.5214	0.0317 	0.2634	0.4739	0.3386
original	0.3	0.5204	0.0292 	0.1703	0.4759	0.2508
original	0.35	0.5577	0.0506 	0.1651	0.4709	0.2444
original	0.4	0.5626	0.059 	0.1793	0.4719	0.2599
original	0.45 	0.5699	0.0546 	0.1195	0.4746	0.1909
original	0.5 0.5698	0.0645 	0.1368	0.4748	0.2124
original	0.6	0.5922	0.0678 	0.1606	0.4768	0.2403
original	0.7	0.6231	0.0566 	0.2143	0.4652	0.2934
original	0.8	0.6242	0.0549	0.2162	0.4754	0.2972
original	0.9	0.6699	0.0613 	0.2619	0.4728	0.3371

5perc_2repeat	0.05	0.4968	0.0268	0.4545	0.4721	0.4632
5perc_5repeat	0.05	0.4975	0.0272	0.4878	0.4722	0.4799
5perc_10repeat	0.05	0.5082	0.0259	0.3216	0.4719	0.3825















5perc_2repeat	0.1	0.5024	0.0277	0.3666	0.4734	0.4132
5perc_5repeat	0.1	0.5056	0.0296	0.3613	0.4712	0.409
5perc_10repeat	0.1	0.5064	0.0265	0.3337	0.4734	0.3915















5perc_2repeat	0.2	0.5263	0.0306	0.1779	0.4718	0.2583
5perc_5repeat	0.2	0.506	0.0311	0.3247	0.474	0.3854
5perc_10repeat	0.2	0.5154	0.0302	0.2432	0.4735	0.3213















5perc_2repeat	0.25	0.5275	0.035	0.1902	0.4727	0.2713
5perc_5repeat	0.25	0.521	0.0358	0.1736	0.4711	0.2537
5perc_10repeat	0.25	0.5225	0.03	0.172	0.4743	0.2525















5perc_2repeat	0.3	0.5396	0.0401	0.1983	0.4733	0.2795
5perc_5repeat	0.3	0.5411	0.0439	0.1825	0.4735	0.2634
5perc_10repeat	0.3	0.5462	0.0459	0.1492	0.4716	0.2267















5perc_2repeat	0.35	0.548	0.0545	0.254	0.4701	0.3298
5perc_5repeat	0.35	0.5443	0.0408	0.2176	0.4736	0.2982
5perc_10repeat	0.35	0.5506	0.0472	0.1733	0.4678	0.2529















5perc_2repeat	0.4	0.5603	0.046	0.1475	0.4734	0.225
5perc_5repeat	0.4	0.5723	0.0479	0.1683	0.4702	0.2479
5perc_10repeat	0.4	0.5472	0.0414	0.1823	0.4748	0.2634















5perc_2repeat	0.45	0.5662	0.061	0.1456	0.4787	0.2233
5perc_5repeat	0.45	0.5736	0.0526	0.1471	0.4726	0.2243
5perc_10repeat	0.45	0.6104	0.0476	0.2053	0.4622	0.2843















5perc_2repeat	0.5	0.5827	0.0601	0.1792	0.4697	0.2594
5perc_5repeat	0.5	0.5779	0.0589	0.1529	0.4711	0.2309
5perc_10repeat	0.5	0.5811	0.0688	0.249	0.4692	0.3254















5perc_2repeat	0.6	0.5933	0.0597	0.1826	0.47	0.263
5perc_5repeat	0.6	0.5988	0.0646	0.164	0.4721	0.2434
5perc_10repeat	0.6	0.5826	0.0682	0.1846	0.474	0.2657















5perc_2repeat	0.7	0.5957	0.0463	0.1315	0.4798	0.2064
5perc_5repeat	0.7	0.6153	0.0605	0.1854	0.4772	0.267
5perc_10repeat	0.7	0.6213	0.0448	0.1856	0.4647	0.2653















5perc_2repeat	0.8	0.645	0.0644	0.2274	0.4709	0.3067
5perc_5repeat	0.8	0.6225	0.0511	0.212	0.4751	0.2932
5perc_10repeat	0.8	0.6264	0.0558	0.2133	0.4797	0.2953















5perc_2repeat	0.9	0.6395	0.0531	0.2392	0.4767	0.3186
5perc_5repeat	0.9	0.6598	0.0625	0.2617	0.4741	0.3373
5perc_10repeat	0.9	0.6438	0.0668	0.2372	0.48	0.3175










5perc_2flips	0.05	0.4966	0.0276	0.5033	0.4717	0.487
5perc_5flips	0.05	0.5022	0.0258	0.3734	0.474	0.4178
5perc_10flips	0.05	0.5091	0.0245	0.3256	0.4718	0.3853

5perc_2flips	0.1	0.5005	0.029	0.4276	0.4724	0.4489
5perc_5flips	0.1	0.4995	0.0299	0.4355	0.4706	0.4524
5perc_10flips	0.1	0.507	0.0285	0.3467	0.4718	0.3996

5perc_2flips	0.2	0.5198	0.0294	0.1698	0.474	0.25
5perc_5flips	0.2	0.5111	0.0341	0.3346	0.4703	0.391
5perc_10flips	0.2	0.519	0.0299	0.2488	0.4735	0.3262















5perc_2flips	0.25	0.5238	0.0342	0.2488	0.4715	0.3257
5perc_5flips	0.25	0.5332	0.0351	0.1719	0.4722	0.2521
5perc_10flips	0.25	0.5306	0.0415	0.1897	0.4722	0.2706















5perc_2flips	0.3	0.5326	0.0277	0.0669	0.4787	0.1174
5perc_5flips	0.3	0.514	0.0361	0.2142	0.4789	0.296
5perc_10flips	0.3	0.5305	0.0406	0.2255	0.4689	0.3046















5perc_2flips	0.35	0.5338	0.0433	0.1563	0.4743	0.2351
5perc_5flips	0.35	0.5263	0.0355	0.2118	0.471	0.2922
5perc_10flips	0.35	0.5343	0.0443	0.164	0.4753	0.2439















