Label	trainingSize	meanSquaredLoss	averageLearningBias	averageLearningVariance	averageTotalBias	averageTotalVariance	averageInferenceBias	averageInferenceVariance
original	0.9	0.3131	0.1114	0.2218	0.1236	0.1894	0.0122	-0.0324
60perc_2repeat	0.9	0.2411	0.1068	0.2194	0.1594	0.0813	0.0526	-0.1381
original	0.8	0.3078	0.1058	0.2193	0.118	0.1897	0.0122	-0.0296
60perc_2repeat	0.8	0.2492	0.1093	0.2212	0.1628	0.0859	0.0535	-0.1353
original	0.7	0.3108	0.1067	0.2198	0.1187	0.1921	0.012	-0.0277
60perc_2repeat	0.7	0.2538	0.1062	0.2195	0.1608	0.0925	0.0546	-0.127
original	0.6	0.3124	0.1065	0.2198	0.1182	0.1941	0.0117	-0.0257
original	0.5	0.3146	0.1075	0.2203	0.1189	0.1956	0.0113	-0.0247
60perc_2repeat	0.6	0.2607	0.1063	0.2197	0.162	0.0982	0.0556	-0.1215
original	0.45	0.3155	0.1076	0.2204	0.1188	0.1966	0.0112	-0.0238
original	0.4	0.3147	0.1068	0.22	0.1176	0.197	0.0109	-0.023
60perc_2repeat	0.5	0.2659	0.1076	0.2203	0.1636	0.1016	0.056	-0.1188
60perc_2repeat	0.45	0.2683	0.1054	0.2192	0.161	0.1064	0.0556	-0.1128
original	0.35	0.3142	0.1061	0.2196	0.117	0.1971	0.0108	-0.0225
60perc_2repeat	0.4	0.2709	0.1069	0.22	0.1637	0.1064	0.0568	-0.1136
original	0.3	0.3151	0.1065	0.2198	0.1173	0.1977	0.0108	-0.0221
60perc_2repeat	0.35	0.2727	0.1072	0.2202	0.1643	0.1076	0.0571	-0.1126
original	0.25	0.3156	0.1064	0.2198	0.1171	0.1983	0.0107	-0.0215
60perc_2repeat	0.25	0.2755	0.107	0.2201	0.1658	0.106	0.0588	-0.114
original	0.2	0.3169	0.1071	0.2201	0.1176	0.1991	0.0105	-0.0211
60perc_2repeat	0.2	0.2815	0.1067	0.2199	0.1666	0.1071	0.06	-0.1128
original	0.1	0.3164	0.1068	0.22	0.1178	0.1981	0.011	-0.0219
60perc_2repeat	0.1	0.2926	0.106	0.2195	0.1762	0.0908	0.0703	-0.1287
60perc_2repeat	0.05	0.3199	0.1053	0.2191	0.1944	0.0835	0.0891	-0.1357
original	0.05	0.3187	0.1068	0.22	0.1226	0.1832	0.0158	-0.0368
60perc_2repeat	0.3	0.275	0.1066	0.2199	0.1623	0.1107	0.0557	-0.1092
