Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE



original	0.9	0.2973	0.6591	0.0171	0.0024	0.3063	0.0311	0.0564	0.6603	0.6733	0.0018	0.0003	0.6747	0.0004	0.0	0.5005	0.0006	0.0
original	0.8	0.2977	0.6584	0.0108	0.0015	0.3109	0.0339	0.0611	0.6573	0.6735	0.0028	0.0004	0.6747	0.0007	0.0	0.4987	0.0009	0.0
original	0.7	0.2945	0.658	0.008	0.0011	0.2983	0.0395	0.0698	0.6577	0.6723	0.0036	0.0005	0.6738	0.0007	0.0	0.5009	0.0012	0.0
original	0.6	0.2972	0.6535	0.006	0.0008	0.3028	0.0424	0.0744	0.653	0.6745	0.0043	0.0006	0.6747	0.001	0.0	0.4992	0.0016	0.0
original	0.5	0.2921	0.6512	0.0051	0.0007	0.2971	0.0584	0.0977	0.6523	0.6716	0.0056	0.0008	0.6721	0.0014	0.0	0.5021	0.0021	0.0
original	0.45	0.294	0.6481	0.0041	0.0006	0.2882	0.0592	0.0983	0.6478	0.6727	0.0071	0.001	0.6748	0.0018	0.0	0.5001	0.0024	0.0
original	0.4	0.2933	0.6449	0.0047	0.0007	0.2923	0.0658	0.1075	0.6454	0.6736	0.0071	0.001	0.6736	0.0017	0.0	0.5015	0.0023	0.0
original	0.35	0.294	0.6427	0.0075	0.0011	0.2782	0.0691	0.1106	0.6434	0.6734	0.0075	0.0011	0.6722	0.0019	0.0	0.4966	0.0026	0.0
original	0.3	0.2937	0.6393	0.0121	0.0017	0.2817	0.0858	0.1316	0.6407	0.6744	0.0082	0.0012	0.675	0.0019	0.0	0.4973	0.0033	0.0
original	0.25	0.2914	0.6336	0.0185	0.0026	0.2866	0.1059	0.1546	0.6361	0.6725	0.0117	0.0017	0.6709	0.0029	0.0	0.4983	0.0033	0.0
original	0.2	0.2937	0.6286	0.0308	0.0043	0.2833	0.1248	0.1733	0.6324	0.6735	0.0117	0.0017	0.6776	0.0031	0.0	0.4953	0.0043	0.0
original	0.1	0.3106	0.5891	0.0863	0.0122	0.2818	0.2549	0.2677	0.6171	0.6736	0.0184	0.0026	0.6676	0.0054	0.0	0.4931	0.0073	0.0
original	0.05	0.3586	0.5467	0.1316	0.0186	0.2483	0.3771	0.2995	0.6134	0.6737	0.0299	0.0042	0.6567	0.0099	0.0	0.4913	0.0145	0.0
