Label	trainingSize	squaredLoss
originalPMLE	0.9	0.3114
originalPMLE	0.8	0.3127
originalPMLE	0.7	0.3111
originalPMLE	0.6	0.3128
originalPMLE	0.5	0.3124
originalPMLE	0.3	0.3161
originalPMLE	0.4	0.3134
originalPMLE	0.35	0.316
originalPMLE	0.2	0.3162
originalPMLE	0.1	0.3182
originalPMLE	0.45	0.3153
originalPMLE	0.25	0.3158
originalPMLE	0.05	0.3143
rongjingAlgo	0.05	0.2
rongjingAlgo	0.1	0.1947
rongjingAlgo	0.2	0.1738
rongjingAlgo	0.3	0.1715
rongjingAlgo	0.4	0.1669
rongjingAlgo	0.5	0.1673
rongjingAlgo	0.6	0.1677
rongjingAlgo	0.7	0.172
rongjingAlgo	0.8	0.1704
rongjingAlgo	0.9	0.1774
rongjingPMLE	0.9	0.1724
rongjingPMLE	0.8	0.1713
rongjingPMLE	0.7	0.1706
rongjingPMLE	0.6	0.1715
rongjingPMLE	0.5	0.1721
rongjingPMLE	0.4	0.1741
rongjingPMLE	0.3	0.1796
rongjingPMLE	0.2	0.1943
rongjingPMLE	0.1	0.235
rongjingPMLE	0.05	0.307










