Label	trainingSize	Accuracy_Mean	Accuracy_SD
Baseline_0	0.01	0.4797	0.0041
Baseline_1	0.01	0.5203	0.0041
original	0.01	0.5736	0.1617
Baseline_0	0.05	0.4793	0.006
Baseline_1	0.05	0.5207	0.006
original	0.05	0.8661	0.1634
Baseline_0	0.1	0.4786	0.01
Baseline_1	0.1	0.5214	0.01
original	0.1	0.9438	0.0075
Baseline_0	0.2	0.4821	0.0092
Baseline_1	0.2	0.5179	0.0092
original	0.2	0.948	0.0056
Baseline_0	0.3	0.4836	0.024
Baseline_1	0.3	0.5164	0.024
original	0.3	0.9477	0.0059
Baseline_0	0.4	0.4795	0.0211
Baseline_1	0.4	0.5205	0.0211
original	0.4	0.9477	0.0069
Baseline_0	0.5	0.4689	0.0303
Baseline_1	0.5	0.5311	0.0303
original	0.5	0.9494	0.0062
Baseline_0	0.6	0.4795	0.043
Baseline_1	0.6	0.5205	0.043
original	0.6	0.9472	0.0087
Baseline_0	0.7	0.4686	0.0396
Baseline_1	0.7	0.5314	0.0396
original	0.7	0.9498	0.01
Baseline_0	0.8	0.4959	0.0533
Baseline_1	0.8	0.5041	0.0533
original	0.8	0.9461	0.0129
Baseline_0	0.9	0.4549	0.0615
Baseline_1	0.9	0.5451	0.0615
original	0.9	0.9476	0.0166
0perc_0flips_Baseline_0	0.02	0.4795	0.0033
0perc_0flips_Baseline_1	0.02	0.5205	0.0033
0perc_0flips	0.02	0.6202	0.1977
0perc_0flips_Baseline_0	0.03	0.4797	0.0055
0perc_0flips_Baseline_1	0.03	0.5203	0.0055
0perc_0flips	0.03	0.7376	0.2124
0perc_0flips_Baseline_0	0.04	0.4778	0.0047
0perc_0flips_Baseline_1	0.04	0.5222	0.0047
0perc_0flips	0.04	0.7891	0.209
