Label	trainingSize	Accuracy_Mean	Accuracy_SD
0.05perc_2flips_0.2trainSize_Baseline_0	0.2	0.5272	0.0232
0.05perc_2flips_0.2trainSize_Baseline_1	0.2	0.4728	0.0232
0.05perc_2flips_0.2trainSize	0.2	0.4728	0.0232
0.05perc_5flips_0.2trainSize_Baseline_0	0.2	0.5202	0.0181
0.05perc_5flips_0.2trainSize_Baseline_1	0.2	0.4798	0.0181
0.05perc_5flips_0.2trainSize	0.2	0.4798	0.0181
0.05perc_10flips_0.2trainSize_Baseline_0	0.2	0.5282	0.0181
0.05perc_10flips_0.2trainSize_Baseline_1	0.2	0.4718	0.0181
0.05perc_10flips_0.2trainSize	0.2	0.4718	0.0181
0.05perc_2flips_0.05trainSize_Baseline_0	0.05	0.5255	0.0093
0.05perc_2flips_0.05trainSize_Baseline_1	0.05	0.4745	0.0093
0.05perc_2flips_0.05trainSize	0.05	0.4745	0.0093
0.05perc_5flips_0.05trainSize_Baseline_0	0.05	0.528	0.0085
0.05perc_5flips_0.05trainSize_Baseline_1	0.05	0.472	0.0085
0.05perc_5flips_0.05trainSize	0.05	0.472	0.0085
0.05perc_10flips_0.05trainSize_Baseline_0	0.05	0.5289	0.0093
0.05perc_10flips_0.05trainSize_Baseline_1	0.05	0.4711	0.0093
0.05perc_10flips_0.05trainSize	0.05	0.4711	0.0093
0.15perc_2flips_0.05trainSize_Baseline_0	0.05	0.5246	0.0102
0.15perc_2flips_0.05trainSize_Baseline_1	0.05	0.4754	0.0102
0.15perc_2flips_0.05trainSize	0.05	0.4754	0.0102
0.15perc_5flips_0.05trainSize_Baseline_0	0.05	0.5246	0.0085
0.15perc_5flips_0.05trainSize_Baseline_1	0.05	0.4754	0.0085
0.15perc_5flips_0.05trainSize	0.05	0.4754	0.0085
0.15perc_10flips_0.05trainSize_Baseline_0	0.05	0.528	0.0085
0.15perc_10flips_0.05trainSize_Baseline_1	0.05	0.472	0.0085
0.15perc_10flips_0.05trainSize	0.05	0.472	0.0085
0.3perc_2flips_0.05trainSize_Baseline_0	0.05	0.5297	0.0068
0.3perc_2flips_0.05trainSize_Baseline_1	0.05	0.4703	0.0068
0.3perc_2flips_0.05trainSize	0.05	0.4703	0.0068
0.3perc_5flips_0.05trainSize_Baseline_0	0.05	0.528	0.0085
0.3perc_5flips_0.05trainSize_Baseline_1	0.05	0.472	0.0085
0.3perc_5flips_0.05trainSize	0.05	0.472	0.0085
0.3perc_10flips_0.05trainSize_Baseline_0	0.05	0.5297	0.0136
0.3perc_10flips_0.05trainSize_Baseline_1	0.05	0.4703	0.0136
0.3perc_10flips_0.05trainSize	0.05	0.4703	0.0136
0.05perc_2flips_0.01trainSize_Baseline_0	0.01	0.5277	0.0041
0.05perc_2flips_0.01trainSize_Baseline_1	0.01	0.4723	0.0041
0.05perc_2flips_0.01trainSize	0.01	0.4723	0.0041
0.05perc_5flips_0.01trainSize_Baseline_0	0.01	0.5277	0.0041
0.05perc_5flips_0.01trainSize_Baseline_1	0.01	0.4723	0.0041
0.05perc_5flips_0.01trainSize	0.01	0.4723	0.0041
0.05perc_10flips_0.01trainSize_Baseline_0	0.01	0.5277	0.0041
0.05perc_10flips_0.01trainSize_Baseline_1	0.01	0.4723	0.0041
0.05perc_10flips_0.01trainSize	0.01	0.4723	0.0041
0.15perc_2flips_0.01trainSize_Baseline_0	0.01	0.5285	0.0033
0.15perc_2flips_0.01trainSize_Baseline_1	0.01	0.4715	0.0033
0.15perc_2flips_0.01trainSize	0.01	0.4715	0.0033
0.15perc_5flips_0.01trainSize_Baseline_0	0.01	0.5261	0.0041
0.15perc_5flips_0.01trainSize_Baseline_1	0.01	0.4739	0.0041
0.15perc_5flips_0.01trainSize	0.01	0.4739	0.0041
0.15perc_10flips_0.01trainSize_Baseline_0	0.01	0.5277	0.0041
0.15perc_10flips_0.01trainSize_Baseline_1	0.01	0.4723	0.0041
0.15perc_10flips_0.01trainSize	0.01	0.4723	0.0041
0.3perc_2flips_0.01trainSize_Baseline_0	0.01	0.5269	0.0033
0.3perc_2flips_0.01trainSize_Baseline_1	0.01	0.4731	0.0033
0.3perc_2flips_0.01trainSize	0.01	0.4731	0.0033
0.3perc_5flips_0.01trainSize_Baseline_0	0.01	0.5277	0.0041
0.3perc_5flips_0.01trainSize_Baseline_1	0.01	0.4723	0.0041
0.3perc_5flips_0.01trainSize	0.01	0.4723	0.0041
0.3perc_10flips_0.01trainSize_Baseline_0	0.01	0.5269	0.0033
0.3perc_10flips_0.01trainSize_Baseline_1	0.01	0.4731	0.0033
0.3perc_10flips_0.01trainSize	0.01	0.4731	0.0033

0.05perc_2flips_0.7trainSize_Baseline_0	0.7	0.5376	0.0699
0.05perc_2flips_0.7trainSize_Baseline_1	0.7	0.4624	0.0699
0.05perc_2flips_0.7trainSize	0.7	0.4624	0.0699

0.05perc_5flips_0.7trainSize_Baseline_0	0.7	0.5081	0.0457
0.05perc_5flips_0.7trainSize_Baseline_1	0.7	0.4919	0.0457
0.05perc_5flips_0.7trainSize	0.7	0.4919	0.0457

0.05perc_2flips_0.4trainSize_Baseline_0	0.4	0.5323	0.0242
0.05perc_2flips_0.4trainSize_Baseline_1	0.4	0.4677	0.0242
0.05perc_2flips_0.4trainSize	0.4	0.4677	0.0242

0.05perc_10flips_0.7trainSize_Baseline_0	0.7	0.5188	0.0565
0.05perc_10flips_0.7trainSize_Baseline_1	0.7	0.4812	0.0565
0.05perc_10flips_0.7trainSize	0.7	0.4812	0.0565

0.05perc_2flips_0.1trainSize_Baseline_0	0.1	0.5242	0.0116
0.05perc_2flips_0.1trainSize_Baseline_1	0.1	0.4758	0.0116
0.05perc_2flips_0.1trainSize	0.1	0.4758	0.0116

0.05perc_5flips_0.4trainSize_Baseline_0	0.4	0.5282	0.0282
0.05perc_5flips_0.4trainSize_Baseline_1	0.4	0.4718	0.0282
0.05perc_5flips_0.4trainSize	0.4	0.4718	0.0282

0.05perc_5flips_0.1trainSize_Baseline_0	0.1	0.5287	0.0161
0.05perc_5flips_0.1trainSize_Baseline_1	0.1	0.4713	0.0161
0.05perc_5flips_0.1trainSize	0.1	0.4713	0.0161

0.15perc_2flips_0.1trainSize_Baseline_0	0.1	0.526	0.0116
0.15perc_2flips_0.1trainSize_Baseline_1	0.1	0.474	0.0116
0.15perc_2flips_0.1trainSize	0.1	0.474	0.0116

0.15perc_2flips_0.7trainSize_Baseline_0	0.7	0.5269	0.0753
0.15perc_2flips_0.7trainSize_Baseline_1	0.7	0.4731	0.0753
0.15perc_2flips_0.7trainSize	0.7	0.4731	0.0753

0.05perc_10flips_0.1trainSize_Baseline_0	0.1	0.5287	0.0108
0.05perc_10flips_0.1trainSize_Baseline_1	0.1	0.4713	0.0108
0.05perc_10flips_0.1trainSize	0.1	0.4713	0.0108

0.15perc_5flips_0.1trainSize_Baseline_0	0.1	0.5278	0.0152
0.15perc_5flips_0.1trainSize_Baseline_1	0.1	0.4722	0.0152
0.15perc_5flips_0.1trainSize	0.1	0.4722	0.0152

0.15perc_5flips_0.7trainSize_Baseline_0	0.7	0.5323	0.0484
0.15perc_5flips_0.7trainSize_Baseline_1	0.7	0.4677	0.0484
0.15perc_5flips_0.7trainSize	0.7	0.4677	0.0484

0.15perc_10flips_0.1trainSize_Baseline_0	0.1	0.5269	0.0108
0.15perc_10flips_0.1trainSize_Baseline_1	0.1	0.4731	0.0108
0.15perc_10flips_0.1trainSize	0.1	0.4731	0.0108
0.15perc_2flips_0.7trainSize_Baseline_0	0.7	0.5108	0.0753
0.15perc_2flips_0.7trainSize_Baseline_1	0.7	0.4892	0.0753
0.15perc_2flips_0.7trainSize	0.7	0.4892	0.0753
0.15perc_5flips_0.7trainSize_Baseline_0	0.7	0.5215	0.043
0.15perc_5flips_0.7trainSize_Baseline_1	0.7	0.4785	0.043
0.15perc_5flips_0.7trainSize	0.7	0.4785	0.043
0.15perc_2flips_0.4trainSize_Baseline_0	0.4	0.5242	0.0296
0.15perc_2flips_0.4trainSize_Baseline_1	0.4	0.4758	0.0296
0.15perc_2flips_0.4trainSize	0.4	0.4758	0.0296
0.15perc_10flips_0.7trainSize_Baseline_0	0.7	0.5242	0.0726
0.15perc_10flips_0.7trainSize_Baseline_1	0.7	0.4758	0.0726
0.15perc_10flips_0.7trainSize	0.7	0.4758	0.0726
0.3perc_2flips_0.4trainSize_Baseline_0	0.4	0.5202	0.0336
0.3perc_2flips_0.4trainSize_Baseline_1	0.4	0.4798	0.0336
0.3perc_2flips_0.4trainSize	0.4	0.4798	0.0336
0.15perc_5flips_0.4trainSize_Baseline_0	0.4	0.5269	0.0242
0.15perc_5flips_0.4trainSize_Baseline_1	0.4	0.4731	0.0242
0.15perc_5flips_0.4trainSize	0.4	0.4731	0.0242
0.3perc_5flips_0.4trainSize_Baseline_0	0.4	0.5349	0.0403
0.3perc_5flips_0.4trainSize_Baseline_1	0.4	0.4651	0.0403
0.3perc_5flips_0.4trainSize	0.4	0.4651	0.0403
0.3perc_2flips_0.4trainSize_Baseline_0	0.4	0.5282	0.0255
0.3perc_2flips_0.4trainSize_Baseline_1	0.4	0.4718	0.0255
0.3perc_2flips_0.4trainSize	0.4	0.4718	0.0255
0.15perc_10flips_0.4trainSize_Baseline_0	0.4	0.5309	0.0255
0.15perc_10flips_0.4trainSize_Baseline_1	0.4	0.4691	0.0255
0.15perc_10flips_0.4trainSize	0.4	0.4691	0.0255
0.3perc_2flips_0.1trainSize_Baseline_0	0.1	0.5296	0.0081
0.3perc_2flips_0.1trainSize_Baseline_1	0.1	0.4704	0.0081
0.3perc_2flips_0.1trainSize	0.1	0.4704	0.0081
0.3perc_5flips_0.4trainSize_Baseline_0	0.4	0.5282	0.0336
0.3perc_5flips_0.4trainSize_Baseline_1	0.4	0.4718	0.0336
0.3perc_5flips_0.4trainSize	0.4	0.4718	0.0336
0.3perc_10flips_0.4trainSize_Baseline_0	0.4	0.5269	0.0323
0.3perc_10flips_0.4trainSize_Baseline_1	0.4	0.4731	0.0323
0.3perc_10flips_0.4trainSize	0.4	0.4731	0.0323
0.3perc_5flips_0.1trainSize_Baseline_0	0.1	0.5305	0.0125
0.3perc_5flips_0.1trainSize_Baseline_1	0.1	0.4695	0.0125
0.3perc_5flips_0.1trainSize	0.1	0.4695	0.0125
0.3perc_10flips_0.4trainSize_Baseline_0	0.4	0.5282	0.0309
0.3perc_10flips_0.4trainSize_Baseline_1	0.4	0.4718	0.0309
0.3perc_10flips_0.4trainSize	0.4	0.4718	0.0309
0.3perc_2flips_0.2trainSize_Baseline_0	0.2	0.5252	0.0192
0.3perc_2flips_0.2trainSize_Baseline_1	0.2	0.4748	0.0192
0.3perc_2flips_0.2trainSize	0.2	0.4748	0.0192
0.3perc_10flips_0.1trainSize_Baseline_0	0.1	0.526	0.0099
0.3perc_10flips_0.1trainSize_Baseline_1	0.1	0.474	0.0099
0.3perc_10flips_0.1trainSize	0.1	0.474	0.0099
0.15perc_2flips_0.2trainSize_Baseline_0	0.2	0.5252	0.0131
0.15perc_2flips_0.2trainSize_Baseline_1	0.2	0.4748	0.0131
0.15perc_2flips_0.2trainSize	0.2	0.4748	0.0131
0.3perc_5flips_0.2trainSize_Baseline_0	0.2	0.5292	0.0192
0.3perc_5flips_0.2trainSize_Baseline_1	0.2	0.4708	0.0192
0.3perc_5flips_0.2trainSize	0.2	0.4708	0.0192
0.15perc_5flips_0.2trainSize_Baseline_0	0.2	0.5242	0.0242
0.15perc_5flips_0.2trainSize_Baseline_1	0.2	0.4758	0.0242
0.15perc_5flips_0.2trainSize	0.2	0.4758	0.0242
0.3perc_10flips_0.2trainSize_Baseline_0	0.2	0.5272	0.0272
0.3perc_10flips_0.2trainSize_Baseline_1	0.2	0.4728	0.0272
0.3perc_10flips_0.2trainSize	0.2	0.4728	0.0272
0.15perc_10flips_0.2trainSize_Baseline_0	0.2	0.5242	0.0181
0.15perc_10flips_0.2trainSize_Baseline_1	0.2	0.4758	0.0181
0.15perc_10flips_0.2trainSize	0.2	0.4758	0.0181
0.3perc_2flips_Baseline_0	0.7	0.5296	0.0565
0.3perc_2flips_Baseline_1	0.7	0.4704	0.0565
0.3perc_2flips	0.7	0.4704	0.0565
0.3perc_5flips_Baseline_0	0.7	0.5108	0.0538
0.3perc_5flips_Baseline_1	0.7	0.4892	0.0538
0.3perc_5flips	0.7	0.4892	0.0538

0.3perc_10flips_Baseline_0	0.7	0.5188	0.0511
0.3perc_10flips_Baseline_1	0.7	0.4812	0.0511
0.3perc_10flips	0.7	0.4812	0.0511
0.05perc_10flips_Baseline_0	0.4	0.5282	0.0336
0.05perc_10flips_Baseline_1	0.4	0.4718	0.0336
0.05perc_10flips	0.4	0.5605	0.0448
0.05perc_2flips_Baseline_0	0.5	0.5339	0.0435
0.05perc_2flips_Baseline_1	0.5	0.4661	0.0435
0.05perc_2flips	0.5	0.572	0.0604
0.05perc_5flips_Baseline_0	0.5	0.5435	0.0371
0.05perc_5flips_Baseline_1	0.5	0.4565	0.0371
0.05perc_5flips	0.5	0.5533	0.0466
0.05perc_10flips_Baseline_0	0.5	0.5323	0.0258
0.05perc_10flips_Baseline_1	0.5	0.4677	0.0258
0.05perc_10flips	0.5	0.5756	0.0529
0.15perc_2flips_Baseline_0	0.5	0.521	0.0274
0.15perc_2flips_Baseline_1	0.5	0.479	0.0274
0.15perc_2flips	0.5	0.5713	0.0595
0.15perc_5flips_Baseline_0	0.5	0.521	0.0435
0.15perc_5flips_Baseline_1	0.5	0.479	0.0435
0.15perc_5flips	0.5	0.5717	0.0598
0.15perc_10flips_Baseline_0	0.5	0.529	0.0419
0.15perc_10flips_Baseline_1	0.5	0.471	0.0419
0.15perc_10flips	0.5	0.5817	0.0661
0.3perc_2flips_Baseline_0	0.5	0.5226	0.0355
0.3perc_2flips_Baseline_1	0.5	0.4774	0.0355
0.3perc_2flips	0.5	0.5475	0.0595
0.3perc_5flips_Baseline_0	0.5	0.5226	0.0355
0.3perc_5flips_Baseline_1	0.5	0.4774	0.0355
0.3perc_5flips	0.5	0.564	0.0582
0.3perc_10flips_Baseline_0	0.5	0.5194	0.0484
0.3perc_10flips_Baseline_1	0.5	0.4806	0.0484
0.3perc_10flips	0.5	0.5342	0.0485
0.05perc_2flips_Baseline_0	0.6	0.5282	0.0565
0.05perc_2flips_Baseline_1	0.6	0.4718	0.0565
