Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1
original 	0.01	0.5099	0.0274	0 	0 	0 	0
original	0.05	0.5051	0.0264	0.0053	0.3537	0.4722	0.4045
original	0.1	0.5063	0.0259	0.0052	0.3293	0.4738	0.3885
original	0.2	0.5202	0.0416	0.0083	0.3478	0.4719	0.4004
original	0.25	0.5214	0.0317	0.0063	0.2634	0.4739	0.3386
original	0.3	0.5204	0.0292	0.0058	0.1703	0.4759	0.2508
original	0.35	0.5577	0.0506	0.0101	0.1651	0.4709	0.2444
original	0.4	0.5626	0.059	0.0118	0.1793	0.4719	0.2599
original	0.45	0.5699	0.0546	0.0109	0.1195	0.4746	0.1909
original	0.5	0.5698	0.0645	0.0129	0.1368	0.4748	0.2124
original	0.6	0.5922	0.0678	0.0136	0.1606	0.4768	0.2403
original	0.7	0.6231	0.0566	0.0113	0.2143	0.4652	0.2934
original	0.8	0.6242	0.0549	0.011	0.2162	0.4754	0.2972
original	0.9	0.6699	0.0613	0.0123	0.2619	0.4728	0.3371
