Label	trainingSize	Accuracy_Mean	Accuracy_SD
Original 	0.01	0.5099	0.0274
Baseline_0 	0.01 	0.5269	0.0033
Baseline_1 	0.01 	0.4731	0.0033
Original 	0.05	0.5071	0.0261
Baseline_0 	0.05 	0.5271	0.0110
Baseline_1 	0.05 	0.4728	0.0110
Original 	0.10	0.4994	0.0292
Baseline_0 	0.10 	0.5296	0.0134
Baseline_1 	0.10 	0.4704	0.0134
Original 	0.20	0.5243	0.0454
Baseline_0 	0.20 	0.5272	0.0252
Baseline_1 	0.20 	0.4728	0.0252
Original 	0.30	0.5260	0.0370
Baseline_0 	0.30 	0.5311	0.0265
Baseline_1 	0.30 	0.4689	0.0265
Original 	0.40	0.5371	0.0338
Baseline_0 	0.40 	0.5255	0.0282
Baseline_1 	0.40 	0.4744	0.0282
Original 	0.50	0.5789	0.0652
Baseline_0 	0.50 	0.5210	0.0565
Baseline_1 	0.50 	0.4790	0.0565
Original 	0.60	0.6052	0.0540
Baseline_0 	0.60 	0.5282	0.0403
Baseline_1 	0.60 	0.4718	0.0403
Original 	0.70	0.6106	0.0481
Baseline_0 	0.70 	0.5215	0.0538
Baseline_1 	0.70 	0.4784	0.0538
Original 	0.80	0.6295	0.0599
Baseline_0 	0.80 	0.5162	0.0691
Baseline_1 	0.80 	0.4837	0.0691
Original 	0.90	0.6667	0.0618
Baseline_0 	0.90 	0.5656	0.0901
Baseline_1 	0.90 	0.4344	0.0901
