Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE

Original	0.9	0.0425	0.9495	0.0177	0.0013	0.9304	0.9774	0.9533	0.9507	0.4802	0.0047	0.0003	0.9029	0.0004	0.0	0.9083	0.0003	0.0
Original	0.8	0.0441	0.948	0.0133	0.0009	0.9272	0.9769	0.9514	0.9475	0.4796	0.0067	0.0005	0.9023	0.0005	0.0	0.9083	0.0004	0.0
Original	0.7	0.0428	0.9497	0.0096	0.0007	0.9311	0.9758	0.9529	0.9507	0.4798	0.0091	0.0006	0.9012	0.0007	0.0	0.9075	0.0006	0.0
Original	0.5	0.044	0.9491	0.0069	0.0005	0.9306	0.9752	0.9524	0.9494	0.481	0.0147	0.001	0.9016	0.0011	0.0	0.9072	0.001	0.0
Original	0.4	0.0448	0.9482	0.0065	0.0005	0.928	0.976	0.9514	0.9479	0.4781	0.0175	0.0012	0.9009	0.0012	0.0	0.9081	0.0011	0.0
Original	0.1	0.0776	0.9156	0.1081	0.0076	0.8962	0.9639	0.9288	0.9468	0.4815	0.0433	0.0031	0.8831	0.0041	0.0	0.8962	0.0033	0.0
Original	0.2	0.0467	0.9469	0.0058	0.0004	0.9267	0.9752	0.9504	0.9471	0.4776	0.0262	0.0019	0.8953	0.0025	0.0	0.9072	0.002	0.0
Original	0.05	0.1605	0.832	0.1876	0.0133	0.8162	0.8878	0.8505	0.9437	0.4857	0.0662	0.0047	0.8573	0.0071	0.0	0.8774	0.0056	0.0


Best	0.5	0.0424	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		90perc_5repeat
Best	0.4	0.0429	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		90perc_2repeat
Best	0.2	0.0437	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		90perc_2repeat
Best	0.1	0.0442	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		100perc_2repeat
Best	0.05	0.0501	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		100perc_2repeat
Best	0.9	0.0413	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		100perc_10repeat
Best	0.7	0.0418	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		90perc_5repeat
Best	0.8	0.0409	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		100perc_10repeat



0.8_best_100perc_10repeat	0.9	0.0395	0.9567	0.0167	0.0012	0.9465	0.9723	0.9592	0.9577	0.5165	0.0	0.0	0.9076	0.0	0.0	0.9026	0.0	0.0
0.8_best_100perc_10repeat	0.8	0.0428	0.9531	0.0118	0.0008	0.942	0.9701	0.9558	0.9536	0.5165	0.0	0.0	0.9076	0.0	0.0	0.9026	0.0	0.0
0.8_best_100perc_10repeat	0.7	0.0417	0.954	0.0093	0.0007	0.9428	0.9708	0.9566	0.9545	0.5165	0.0	0.0	0.9076	0.0	0.0	0.9026	0.0	0.0
0.8_best_100perc_10repeat	0.6	0.0425	0.9531	0.0069	0.0005	0.941	0.9709	0.9557	0.9529	0.5165	0.0	0.0	0.9076	0.0	0.0	0.9026	0.0	0.0
0.8_best_100perc_10repeat	0.5	0.0427	0.9529	0.006	0.0004	0.9408	0.9708	0.9556	0.9535	0.5165	0.0	0.0	0.9076	0.0	0.0	0.9026	0.0	0.0
0.8_best_100perc_10repeat	0.45	0.0432	0.9519	0.0055	0.0004	0.9402	0.9696	0.9547	0.9521	0.5165	0.0	0.0	0.9076	0.0	0.0	0.9026	0.0	0.0
0.8_best_100perc_10repeat	0.4	0.0436	0.9516	0.0052	0.0004	0.9383	0.9709	0.9543	0.9512	0.5165	0.0	0.0	0.9076	0.0	0.0	0.9026	0.0	0.0
0.8_best_100perc_10repeat	0.35	0.0429	0.9524	0.0051	0.0004	0.9391	0.9716	0.9551	0.9519	0.5165	0.0	0.0	0.9076	0.0	0.0	0.9026	0.0	0.0
0.8_best_100perc_10repeat	0.3	0.0429	0.9522	0.004	0.0003	0.9395	0.9706	0.9548	0.9523	0.5165	0.0	0.0	0.9076	0.0	0.0	0.9026	0.0	0.0
0.8_best_100perc_10repeat	0.25	0.0433	0.9518	0.0037	0.0003	0.9383	0.9712	0.9545	0.9517	0.5165	0.0	0.0	0.9076	0.0	0.0	0.9026	0.0	0.0
0.8_best_100perc_10repeat	0.2	0.0437	0.9515	0.0033	0.0002	0.9377	0.9711	0.9541	0.9515	0.5165	0.0	0.0	0.9076	0.0	0.0	0.9026	0.0	0.0
0.8_best_100perc_10repeat	0.1	0.0436	0.9515	0.0025	0.0002	0.9371	0.972	0.9542	0.9515	0.5165	0.0	0.0	0.9076	0.0	0.0	0.9026	0.0	0.0
0.8_best_100perc_10repeat	0.05	0.0438	0.9513	0.0017	0.0001	0.9369	0.9719	0.9541	0.9514	0.5165	0.0	0.0	0.9076	0.0	0.0	0.9026	0.0	0.0
