Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE

original	0.9	0.0425	0.9495	0.0177	0.0013	0.9304	0.9774	0.9533	0.9507	0.4802	0.0047	0.0003	0.9029	0.0004	0.0	0.9083	0.0003	0.0
original	0.8	0.0441	0.948	0.0133	0.0009	0.9272	0.9769	0.9514	0.9475	0.4796	0.0067	0.0005	0.9023	0.0005	0.0	0.9083	0.0004	0.0
original	0.7	0.0428	0.9497	0.0096	0.0007	0.9311	0.9758	0.9529	0.9507	0.4798	0.0091	0.0006	0.9012	0.0007	0.0	0.9075	0.0006	0.0
original	0.5	0.044	0.9491	0.0069	0.0005	0.9306	0.9752	0.9524	0.9494	0.481	0.0147	0.001	0.9016	0.0011	0.0	0.9072	0.001	0.0
original	0.4	0.0448	0.9482	0.0065	0.0005	0.928	0.976	0.9514	0.9479	0.4781	0.0175	0.0012	0.9009	0.0012	0.0	0.9081	0.0011	0.0
original	0.1	0.0776	0.9156	0.1081	0.0076	0.8962	0.9639	0.9288	0.9468	0.4815	0.0433	0.0031	0.8831	0.0041	0.0	0.8962	0.0033	0.0
original	0.2	0.0467	0.9469	0.0058	0.0004	0.9267	0.9752	0.9504	0.9471	0.4776	0.0262	0.0019	0.8953	0.0025	0.0	0.9072	0.002	0.0
original	0.05	0.1605	0.832	0.1876	0.0133	0.8162	0.8878	0.8505	0.9437	0.4857	0.0662	0.0047	0.8573	0.0071	0.0	0.8774	0.0056	0.0

15perc_2repeat	0.1	0.1371	0.8532	0.1742	0.0123	0.86	0.8814	0.8706	0.9439	0.487	0.0385	0.0027	0.7541	0.0052	0.0	0.7562	0.0046	0.0
40perc_5repeat	0.1	0.2829	0.6777	0.2048	0.0145	0.6953	0.7649	0.7285	0.5282	0.4893	0.0196	0.0014	0.5688	0.0032	0.0	0.5844	0.0031	0.0
40perc_2repeat	0.1	0.2325	0.7475	0.2093	0.0148	0.7605	0.8304	0.794	0.8976	0.4878	0.0308	0.0022	0.6239	0.0042	0.0	0.6493	0.0039	0.0
30perc_2repeat	0.1	0.2121	0.7717	0.2095	0.0148	0.7844	0.8161	0.8	0.9337	0.4849	0.0299	0.0021	0.6617	0.0049	0.0	0.6759	0.0046	0.0
50perc_5repeat	0.1	0.2609	0.7006	0.2061	0.0146	0.7101	0.7994	0.7521	0.5338	0.4944	0.0177	0.0013	0.5552	0.0026	0.0	0.5718	0.0024	0.0
60perc_2repeat	0.1	0.1571	0.8309	0.1865	0.0132	0.8475	0.821	0.8341	0.9417	0.4968	0.023	0.0016	0.6416	0.0029	0.0	0.6359	0.0029	0.0
15perc_5repeat	0.1	0.1712	0.8168	0.1957	0.0138	0.832	0.8488	0.8403	0.9405	0.4821	0.0347	0.0025	0.717	0.0054	0.0	0.7286	0.0046	0.0
05perc_5repeat	0.1	0.0887	0.9037	0.1238	0.0088	0.8888	0.9284	0.9081	0.9462	0.4773	0.04	0.0028	0.8295	0.0042	0.0	0.8331	0.0043	0.0
70perc_10repeat	0.1	0.226	0.7501	0.208	0.0147	0.8087	0.7417	0.7738	0.894	0.5064	0.0162	0.0011	0.5944	0.0027	0.0	0.5882	0.0026	0.0
30perc_2repeat	0.05	0.3149	0.6607	0.2046	0.0145	0.6093	0.7179	0.6592	0.5227	0.4884	0.0453	0.0032	0.6438	0.008	0.0	0.6666	0.0079	0.0
05perc_10repeat	0.1	0.0929	0.8991	0.1305	0.0092	0.8804	0.9261	0.9027	0.9443	0.4806	0.0393	0.0028	0.8193	0.0045	0.0	0.8304	0.004	0.0
40perc_2repeat	0.05	0.3314	0.6372	0.1985	0.014	0.6232	0.6834	0.6519	0.5206	0.4874	0.0409	0.0029	0.6213	0.0072	0.0	0.6409	0.0063	0.0
15perc_2repeat	0.05	0.2334	0.7544	0.2178	0.0154	0.7301	0.7834	0.7558	0.9325	0.4885	0.0597	0.0042	0.7332	0.0091	0.0	0.7482	0.0073	0.0
90perc_2repeat	0.05	0.0542	0.9389	0.0622	0.0044	0.9176	0.9587	0.9377	0.9489	0.5053	0.0212	0.0015	0.7839	0.0046	0.0	0.7793	0.0047	0.0
30perc_5repeat	0.05	0.3602	0.6018	0.1771	0.0125	0.537	0.6487	0.5876	0.5196	0.4923	0.0403	0.0029	0.5942	0.0069	0.0	0.6051	0.0069	0.0
50perc_5repeat	0.05	0.3502	0.5883	0.1681	0.0119	0.5447	0.6236	0.5815	0.519	0.4951	0.0253	0.0018	0.5506	0.0041	0.0	0.5576	0.0042	0.0
40perc_5repeat	0.05	0.383	0.5619	0.1494	0.0106	0.5007	0.5756	0.5355	0.5172	0.4935	0.033	0.0023	0.5655	0.0056	0.0	0.5717	0.0055	0.0
100perc_5repeat	0.05	0.0573	0.9363	0.0688	0.0049	0.9236	0.9517	0.9375	0.9484	0.5162	0.0449	0.0032	0.8954	0.005	0.0	0.8897	0.0054	0.0
90perc_10repeat	0.05	0.1598	0.8282	0.1907	0.0135	0.8191	0.8423	0.8306	0.944	0.511	0.0369	0.0026	0.7432	0.0058	0.0	0.7403	0.0061	0.0
