Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE

original	0.9	0.0425	0.9495	0.0177	0.0013	0.9304	0.9774	0.9533	0.9507	0.4802	0.0047	0.0003	0.9029	0.0004	0.0	0.9083	0.0003	0.0
original	0.8	0.0441	0.948	0.0133	0.0009	0.9272	0.9769	0.9514	0.9475	0.4796	0.0067	0.0005	0.9023	0.0005	0.0	0.9083	0.0004	0.0
original	0.7	0.0428	0.9497	0.0096	0.0007	0.9311	0.9758	0.9529	0.9507	0.4798	0.0091	0.0006	0.9012	0.0007	0.0	0.9075	0.0006	0.0
original	0.5	0.044	0.9491	0.0069	0.0005	0.9306	0.9752	0.9524	0.9494	0.481	0.0147	0.001	0.9016	0.0011	0.0	0.9072	0.001	0.0
original	0.4	0.0448	0.9482	0.0065	0.0005	0.928	0.976	0.9514	0.9479	0.4781	0.0175	0.0012	0.9009	0.0012	0.0	0.9081	0.0011	0.0
original	0.1	0.0776	0.9156	0.1081	0.0076	0.8962	0.9639	0.9288	0.9468	0.4815	0.0433	0.0031	0.8831	0.0041	0.0	0.8962	0.0033	0.0
original	0.2	0.0467	0.9469	0.0058	0.0004	0.9267	0.9752	0.9504	0.9471	0.4776	0.0262	0.0019	0.8953	0.0025	0.0	0.9072	0.002	0.0
original	0.05	0.1605	0.832	0.1876	0.0133	0.8162	0.8878	0.8505	0.9437	0.4857	0.0662	0.0047	0.8573	0.0071	0.0	0.8774	0.0056	0.0

40perc_2repeat	0.1	0.1305	0.8603	0.1612	0.0114	0.8625	0.923	0.8917	0.9421	0.4808	0.0415	0.0029	0.767	0.005	0.0	0.7977	0.004	0.0
30perc_2repeat	0.1	0.1041	0.8875	0.1444	0.0102	0.8847	0.9216	0.9028	0.9463	0.4854	0.0427	0.003	0.8117	0.0045	0.0	0.8198	0.0039	0.0
60perc_2repeat	0.1	0.1763	0.8121	0.1959	0.0138	0.8083	0.8589	0.8328	0.9408	0.4791	0.0448	0.0032	0.7259	0.005	0.0	0.7354	0.0047	0.0
15perc_2repeat	0.1	0.0746	0.9182	0.1056	0.0075	0.9055	0.9391	0.922	0.9469	0.4833	0.0415	0.0029	0.8546	0.0039	0.0	0.8604	0.0037	0.0
40perc_5repeat	0.1	0.1583	0.8308	0.1855	0.0131	0.8441	0.8815	0.8624	0.9416	0.4775	0.0444	0.0031	0.7429	0.0056	0.0	0.7659	0.0046	0.0
50perc_5repeat	0.1	0.1675	0.8213	0.1932	0.0137	0.8116	0.8482	0.8295	0.9399	0.4824	0.045	0.0032	0.7183	0.0051	0.0	0.7314	0.0051	0.0
05perc_5repeat	0.1	0.0641	0.929	0.0793	0.0056	0.9115	0.9551	0.9328	0.9463	0.4784	0.0388	0.0027	0.8787	0.0034	0.0	0.8854	0.0035	0.0
15perc_5repeat	0.1	0.0805	0.9117	0.111	0.0078	0.8915	0.9486	0.9192	0.9459	0.4749	0.0421	0.003	0.8393	0.004	0.0	0.8564	0.0037	0.0
70perc_10repeat	0.1	0.3102	0.6639	0.2099	0.0148	0.6553	0.6935	0.6739	0.5234	0.4815	0.0453	0.0032	0.6285	0.0058	0.0	0.6403	0.0059	0.0
40perc_2repeat	0.05	0.2209	0.7671	0.2133	0.0151	0.7702	0.8091	0.7891	0.9357	0.4815	0.0586	0.0041	0.7675	0.0083	0.0	0.7896	0.0068	0.0
30perc_2repeat	0.05	0.2066	0.7836	0.209	0.0148	0.7693	0.8028	0.7857	0.9366	0.4842	0.0628	0.0044	0.7808	0.0098	0.0	0.8002	0.0072	0.0
05perc_10repeat	0.1	0.0764	0.9166	0.1001	0.0071	0.9013	0.9631	0.9312	0.9462	0.4766	0.0426	0.003	0.8646	0.0043	0.0	0.8888	0.0032	0.0
90perc_2repeat	0.05	0.3705	0.6022	0.1819	0.0129	0.5554	0.6508	0.5993	0.5187	0.4864	0.0657	0.0046	0.6219	0.0091	0.0	0.6415	0.0094	0.0
15perc_2repeat	0.05	0.1691	0.8228	0.1916	0.0135	0.8049	0.8779	0.8398	0.9431	0.4788	0.0641	0.0045	0.8353	0.0078	0.0	0.8552	0.0066	0.0
40perc_5repeat	0.05	0.2581	0.7286	0.214	0.0151	0.7159	0.8017	0.7564	0.7633	0.4732	0.0591	0.0042	0.7225	0.0089	0.0	0.7567	0.0087	0.0
30perc_5repeat	0.05	0.2505	0.738	0.2156	0.0152	0.7448	0.7689	0.7567	0.8757	0.4922	0.0598	0.0042	0.77	0.0088	0.0	0.7758	0.0091	0.0
50perc_5repeat	0.05	0.3162	0.6666	0.2109	0.0149	0.6431	0.7222	0.6803	0.5207	0.4789	0.0632	0.0045	0.6892	0.0093	0.0	0.7173	0.0083	0.0
100perc_5repeat	0.05	0.4103	0.5342	0.1113	0.0079	0.4147	0.598	0.4897	0.5164	0.4796	0.0626	0.0044	0.5356	0.0084	0.0	0.5633	0.0086	0.0
90perc_10repeat	0.05	0.4102	0.5412	0.1231	0.0087	0.4088	0.5965	0.4851	0.5155	0.4819	0.069	0.0049	0.5439	0.009	0.0	0.5662	0.0088	0.0
