Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median
original	0.9	0.6511	0.0618	0.0044	0.0371	0.003	0.0055	0.6481
original	0.8	0.6501	0.0419	0.003	0.1208	0.0047	0.0091	0.6481
original	0.7	0.6439	0.0328	0.0023	0.0637	0.0014	0.0028	0.6442
original	0.6	0.6491	0.0245	0.0017	0.1105	0.0023	0.0046	0.6514
original	0.5	0.6469	0.0202	0.0014	0.0612	0.0011	0.0021	0.6471
original	0.45	0.6483	0.0173	0.0012	0.0712	0.0012	0.0023	0.6488
original	0.4	0.6496	0.0177	0.0012	0.0632	0.0016	0.0032	0.6483
original	0.35	0.6491	0.0159	0.0011	0.0774	0.0017	0.0034	0.6497
original	0.3	0.6456	0.0148	0.001	0.0411	0.0009	0.0018	0.6457
original	0.25	0.6475	0.0118	0.0008	0.0659	0.0011	0.0021	0.6471
original	0.2	0.6448	0.0231	0.0016	0.049	0.0062	0.0111	0.6468
original	0.05	0.5905	0.1099	0.0078	0.1079	0.193	0.1384	0.6441
original	0.1	0.6187	0.0844	0.006	0.0932	0.1001	0.0965	0.6449

15perc_2repeat	0.9	0.6409	0.0605	0.0043	0.0	0.0	nan	0.6481
15perc_5repeat	0.9	0.6438	0.0622	0.0044	0.0	0.0	nan	0.6481
15perc_10repeat	0.9	0.659	0.0614	0.0043	0.0	0.0	nan	0.6481
5perc_2repeat	0.9	0.6491	0.0633	0.0045	0.0096	0.0009	0.0017	0.6481
5perc_5repeat	0.9	0.6501	0.0583	0.0041	0.003	0.0003	0.0005	0.6481
5perc_10repeat	0.9	0.6538	0.0601	0.0043	0.0008	0.0001	0.0001	0.6481
15perc_2repeat	0.8	0.6496	0.0361	0.0026	0.0015	0.0001	0.0001	0.6481
15perc_5repeat	0.8	0.6476	0.0412	0.0029	0.0002	0.0	0.0	0.6481
15perc_10repeat	0.8	0.6477	0.0426	0.003	0.0	0.0	nan	0.6481
5perc_2repeat	0.8	0.6494	0.0397	0.0028	0.0294	0.0013	0.0025	0.6389
5perc_5repeat	0.8	0.6485	0.0418	0.003	0.0282	0.0016	0.003	0.6481
5perc_10repeat	0.8	0.6492	0.0416	0.0029	0.0281	0.0009	0.0017	0.6481
5perc_2repeat	0.7	0.6528	0.0316	0.0022	0.0483	0.0015	0.0029	0.6503
5perc_5repeat	0.7	0.6456	0.0296	0.0021	0.0292	0.0007	0.0014	0.6442
5perc_10repeat	0.7	0.652	0.0342	0.0024	0.027	0.001	0.0018	0.6503
15perc_2repeat	0.7	0.6459	0.0334	0.0024	0.0171	0.0005	0.0009	0.6442
15perc_5repeat	0.7	0.6475	0.0291	0.0021	0.0073	0.0003	0.0007	0.6442
15perc_10repeat	0.7	0.6475	0.0297	0.0021	0.0004	0.0	0.0	0.6503
5perc_2repeat	0.6	0.6445	0.0239	0.0017	0.0338	0.0008	0.0016	0.6422
5perc_5repeat	0.6	0.6472	0.0257	0.0018	0.052	0.0014	0.0027	0.6468
5perc_10repeat	0.6	0.65	0.0262	0.0019	0.054	0.001	0.0019	0.6514
15perc_2repeat	0.6	0.6533	0.0216	0.0015	0.0135	0.0003	0.0006	0.6514
15perc_5repeat	0.6	0.6471	0.0239	0.0017	0.0029	0.0001	0.0001	0.6468
15perc_10repeat	0.6	0.6461	0.0255	0.0018	0.0045	0.0001	0.0002	0.6468
15perc_2repeat	0.5	0.6518	0.0202	0.0014	0.0333	0.0008	0.0016	0.6507
15perc_5repeat	0.5	0.6479	0.021	0.0015	0.0151	0.0003	0.0006	0.6471
15perc_10repeat	0.5	0.6467	0.0209	0.0015	0.0122	0.0002	0.0004	0.6452
5perc_2repeat	0.5	0.6478	0.0209	0.0015	0.061	0.0011	0.0021	0.6471
5perc_5repeat	0.5	0.6497	0.019	0.0013	0.0737	0.0011	0.0022	0.6507
