Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median
original	0.9	0.8206	0.0502	0.0035	0.0	0.0	nan	0.8333
original	0.8	0.8206	0.0357	0.0025	0.0	0.0	nan	0.8148
original	0.7	0.8207	0.0259	0.0018	0.0	0.0	nan	0.8221
original	0.6	0.8251	0.02	0.0014	0.0	0.0	nan	0.8257
original	0.5	0.8233	0.0162	0.0011	0.0	0.0	nan	0.8235
original	0.45	0.8231	0.0149	0.0011	0.0	0.0	nan	0.8227
original	0.4	0.8244	0.0126	0.0009	0.0	0.0	nan	0.8257
original	0.35	0.822	0.0116	0.0008	0.0	0.0	nan	0.822
original	0.1	0.8218	0.006	0.0004	0.0	0.0	nan	0.8204
original	0.3	0.8226	0.0108	0.0008	0.0	0.0	nan	0.8215
original	0.25	0.822	0.0098	0.0007	0.0	0.0	nan	0.8211
original	0.2	0.8222	0.0081	0.0006	0.0	0.0	nan	0.8211
original	0.05	0.8147	0.0555	0.0039	0.004	0.0097	0.0056	0.8221

15perc_2repeat	0.2	0.823	0.008	0.0006	0.0	0.0	nan	0.8234
15perc_5repeat	0.2	0.8212	0.0085	0.0006	0.0	0.0	nan	0.8211
15perc_10repeat	0.2	0.8219	0.0079	0.0006	0.0	0.0	nan	0.8234
5perc_2repeat	0.5	0.819	0.0163	0.0012	0.0	0.0	nan	0.8199
5perc_5repeat	0.5	0.8204	0.0165	0.0012	0.0	0.0	nan	0.8199
5perc_10repeat	0.5	0.8216	0.0171	0.0012	0.0	0.0	nan	0.8235
15perc_2repeat	0.5	0.8223	0.0171	0.0012	0.0	0.0	nan	0.8235
15perc_5repeat	0.5	0.8232	0.0164	0.0012	0.0	0.0	nan	0.8235
15perc_10repeat	0.5	0.8206	0.0163	0.0012	0.0	0.0	nan	0.8199
15perc_2repeat	0.45	0.8213	0.0143	0.001	0.0	0.0	nan	0.8227
15perc_5repeat	0.45	0.8218	0.0156	0.0011	0.0	0.0	nan	0.8227
15perc_10repeat	0.45	0.8209	0.0143	0.001	0.0	0.0	nan	0.8194
5perc_2repeat	0.45	0.8238	0.0148	0.001	0.0	0.0	nan	0.8227
5perc_5repeat	0.45	0.8227	0.0167	0.0012	0.0	0.0	nan	0.8227
5perc_10repeat	0.45	0.8213	0.0146	0.001	0.0	0.0	nan	0.8194
5perc_2repeat	0.4	0.823	0.0129	0.0009	0.0	0.0	nan	0.8226
5perc_5repeat	0.4	0.8221	0.0135	0.001	0.0	0.0	nan	0.8226
5perc_10repeat	0.4	0.8213	0.0132	0.0009	0.0	0.0	nan	0.8226
15perc_2repeat	0.4	0.8222	0.0139	0.001	0.0	0.0	nan	0.8226
15perc_5repeat	0.4	0.8215	0.0128	0.0009	0.0	0.0	nan	0.8196
15perc_10repeat	0.4	0.8221	0.0133	0.0009	0.0	0.0	nan	0.8226
5perc_2repeat	0.35	0.8215	0.0128	0.0009	0.0	0.0	nan	0.822
5perc_5repeat	0.35	0.8219	0.0116	0.0008	0.0	0.0	nan	0.822
5perc_10repeat	0.35	0.8217	0.0122	0.0009	0.0	0.0	nan	0.822
15perc_2repeat	0.35	0.8215	0.0121	0.0009	0.0	0.0	nan	0.8192
15perc_5repeat	0.35	0.8223	0.0123	0.0009	0.0	0.0	nan	0.822
15perc_10repeat	0.35	0.8212	0.0118	0.0008	0.0	0.0	nan	0.822
5perc_2repeat	0.6	0.8214	0.0195	0.0014	0.0	0.0	nan	0.8211
5perc_5repeat	0.6	0.8219	0.0206	0.0015	0.0	0.0	nan	0.8257
5perc_10repeat	0.6	0.8225	0.0207	0.0015	0.0	0.0	nan	0.8257
5perc_2repeat	0.3	0.8235	0.0105	0.0007	0.0	0.0	nan	0.8241
5perc_5repeat	0.3	0.8221	0.0113	0.0008	0.0	0.0	nan	0.8215
5perc_10repeat	0.3	0.8212	0.0114	0.0008	0.0	0.0	nan	0.8215
15perc_2repeat	0.3	0.8211	0.0108	0.0008	0.0	0.0	nan	0.8215
15perc_5repeat	0.3	0.8213	0.0098	0.0007	0.0	0.0	nan	0.8215
15perc_10repeat	0.3	0.823	0.0105	0.0007	0.0	0.0	nan	0.8241
5perc_2repeat	0.25	0.821	0.0097	0.0007	0.0	0.0	nan	0.8211
5perc_5repeat	0.25	0.8223	0.0098	0.0007	0.0	0.0	nan	0.8211
5perc_10repeat	0.25	0.8225	0.0108	0.0008	0.0	0.0	nan	0.8235
15perc_2repeat	0.25	0.8217	0.0105	0.0007	0.0	0.0	nan	0.8211
15perc_5repeat	0.25	0.8217	0.0094	0.0007	0.0	0.0	nan	0.8211
15perc_10repeat	0.25	0.8231	0.01	0.0007	0.0	0.0	nan	0.8235
5perc_2repeat	0.2	0.8224	0.0082	0.0006	0.0	0.0	nan	0.8234
5perc_5repeat	0.2	0.8218	0.0082	0.0006	0.0	0.0	nan	0.8211
5perc_10repeat	0.2	0.8219	0.0076	0.0005	0.0	0.0	nan	0.8234
15perc_2repeat	0.1	0.8224	0.0055	0.0004	0.0	0.0	nan	0.8224
15perc_5repeat	0.1	0.8218	0.0055	0.0004	0.0	0.0	nan	0.8204
15perc_10repeat	0.1	0.8224	0.0056	0.0004	0.0	0.0	nan	0.8224
5perc_2repeat	0.1	0.8213	0.0052	0.0004	0.0	0.0	nan	0.8204
5perc_5repeat	0.1	0.8201	0.0265	0.0019	0.0007	0.0023	0.0011	0.8214
5perc_10repeat	0.1	0.8224	0.0057	0.0004	0.0	0.0	nan	0.8224
15perc_2repeat	0.05	0.8079	0.0856	0.0061	0.0058	0.0204	0.009	0.8221
15perc_5repeat	0.05	0.7974	0.111	0.0078	0.0096	0.0335	0.015	0.8221
15perc_10repeat	0.05	0.8152	0.0552	0.0039	0.0028	0.0093	0.0043	0.8221
5perc_2repeat	0.05	0.8103	0.071	0.005	0.0048	0.0164	0.0074	0.8221
5perc_5repeat	0.05	0.8151	0.0531	0.0038	0.0041	0.0095	0.0057	0.8221
5perc_10repeat	0.05	0.8041	0.0945	0.0067	0.0071	0.0258	0.0112	0.8201
15perc_2repeat	0.6	0.8224	0.019	0.0013	0.0	0.0	nan	0.8211
15perc_5repeat	0.6	0.822	0.021	0.0015	0.0	0.0	nan	0.8211
15perc_10repeat	0.6	0.8213	0.0191	0.0014	0.0	0.0	nan	0.8211
5perc_2repeat	0.9	0.827	0.0463	0.0033	0.0	0.0	nan	0.8333
5perc_5repeat	0.9	0.8229	0.0476	0.0034	0.0	0.0	nan	0.8148
5perc_10repeat	0.9	0.825	0.0489	0.0035	0.0	0.0	nan	0.8333
15perc_2repeat	0.9	0.8161	0.0501	0.0035	0.0	0.0	nan	0.8148
15perc_5repeat	0.9	0.8191	0.048	0.0034	0.0	0.0	nan	0.8148
15perc_10repeat	0.9	0.8168	0.0531	0.0038	0.0	0.0	nan	0.8148
5perc_2repeat	0.8	0.8191	0.0335	0.0024	0.0	0.0	nan	0.8148
5perc_5repeat	0.8	0.8214	0.0314	0.0022	0.0	0.0	nan	0.8241
5perc_10repeat	0.8	0.8207	0.0354	0.0025	0.0	0.0	nan	0.8241
15perc_2repeat	0.8	0.8234	0.0339	0.0024	0.0	0.0	nan	0.8241
15perc_5repeat	0.8	0.8221	0.0337	0.0024	0.0	0.0	nan	0.8241
15perc_10repeat	0.8	0.8192	0.0348	0.0025	0.0	0.0	nan	0.8241
5perc_2repeat	0.7	0.8229	0.0247	0.0017	0.0	0.0	nan	0.8221
5perc_5repeat	0.7	0.8219	0.0239	0.0017	0.0	0.0	nan	0.8221
5perc_10repeat	0.7	0.8198	0.0263	0.0019	0.0	0.0	nan	0.816
15perc_2repeat	0.7	0.8196	0.0229	0.0016	0.0	0.0	nan	0.8221
15perc_5repeat	0.7	0.82	0.0252	0.0018	0.0	0.0	nan	0.819
15perc_10repeat	0.7	0.8232	0.0251	0.0018	0.0	0.0	nan	0.8252
