Label	trainingSize	meanSquaredLoss	averageLearningBias	averageLearningVariance	averageTotalBias	averageTotalVariance	averageInferenceBias	averageInferenceVariance
original	0.9	0.2342	0.1939	0.2423	0.1464	0.086	-0.0475	-0.1563
100perc_2repeat	0.9	0.2041	0.147	0.2326	0.137	0.0664	-0.0099	-0.1663
original	0.8	0.2524	0.1951	0.2447	0.1568	0.0907	-0.0382	-0.154
original	0.7	0.2722	0.196	0.2456	0.1662	0.0966	-0.0299	-0.149
100perc_2repeat	0.8	0.2092	0.152	0.2362	0.1405	0.0675	-0.0115	-0.1687
100perc_2repeat	0.7	0.2163	0.148	0.2358	0.1461	0.0673	-0.0018	-0.1684
original	0.5	0.3071	0.1968	0.2462	0.1836	0.0993	-0.0132	-0.1469
60perc_10repeat	0.9	0.2354	0.2194	0.2452	0.2287	0.0061	0.0092	-0.2391
original	0.45	0.3245	0.1979	0.2462	0.191	0.0965	-0.0069	-0.1497
original	0.6	0.2921	0.1974	0.246	0.1762	0.1027	-0.0212	-0.1433
100perc_2repeat	0.45	0.2751	0.1512	0.2369	0.1809	0.0788	0.0297	-0.1581
60perc_10repeat	0.6	0.2451	0.2164	0.2481	0.2356	0.0085	0.0192	-0.2396
original	0.4	0.3378	0.2002	0.2467	0.1986	0.0969	-0.0017	-0.1498
original	0.35	0.3532	0.201	0.2468	0.2052	0.0923	0.0043	-0.1545
60perc_10repeat	0.7	0.241	0.2208	0.2479	0.2328	0.0074	0.012	-0.2404
100perc_2repeat	0.6	0.2298	0.1494	0.2365	0.155	0.0688	0.0055	-0.1678
100perc_2repeat	0.35	0.319	0.1529	0.2372	0.2024	0.0874	0.0495	-0.1499
60perc_10repeat	0.5	0.2502	0.2161	0.2483	0.2385	0.0106	0.0224	-0.2376
original	0.2	0.3981	0.2054	0.2473	0.2284	0.0684	0.023	-0.1788
100perc_2repeat	0.25	0.3753	0.1559	0.2375	0.2284	0.1108	0.0724	-0.1267
60perc_10repeat	0.45	0.2539	0.2144	0.2482	0.2388	0.0138	0.0244	-0.2344
original	0.25	0.383	0.2065	0.2474	0.2208	0.0783	0.0142	-0.1691
60perc_10repeat	0.4	0.2582	0.2185	0.2485	0.2413	0.0156	0.0228	-0.233
60perc_10repeat	0.3	0.264	0.2168	0.2485	0.2433	0.0189	0.0265	-0.2296
100perc_2repeat	0.2	0.3912	0.1591	0.2381	0.2347	0.1074	0.0756	-0.1307
100perc_2repeat	0.5	0.2578	0.1499	0.2366	0.1711	0.0752	0.0212	-0.1615
60perc_10repeat	0.35	0.2595	0.2172	0.2485	0.2415	0.0165	0.0243	-0.232
60perc_10repeat	0.8	0.2373	0.224	0.2476	0.2303	0.0062	0.0063	-0.2414
60perc_10repeat	0.2	0.2836	0.2177	0.2485	0.2456	0.0351	0.0279	-0.2134
100perc_2repeat	0.4	0.2951	0.1528	0.2374	0.191	0.0805	0.0381	-0.1569
original	0.3	0.3662	0.2019	0.2469	0.2125	0.0875	0.0107	-0.1594
100perc_2repeat	0.3	0.343	0.1539	0.2373	0.2149	0.0946	0.061	-0.1427
60perc_10repeat	0.25	0.2726	0.2188	0.2486	0.245	0.0254	0.0262	-0.2232
100perc_2repeat	0.1	0.4136	0.1742	0.2395	0.2468	0.1158	0.0726	-0.1237
original	0.1	0.4151	0.213	0.2479	0.2427	0.0436	0.0297	-0.2043
100perc_2repeat	0.05	0.4244	0.1958	0.2416	0.2476	0.1296	0.0518	-0.112
60perc_10repeat	0.1	0.3092	0.2223	0.2481	0.2487	0.0524	0.0264	-0.1957
original	0.05	0.4221	0.2176	0.2485	0.2469	0.0384	0.0293	-0.2101
60perc_10repeat	0.05	0.3381	0.2345	0.247	0.2502	0.0714	0.0157	-0.1756
