Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE

original	0.9	0.2459	0.6509	0.0641	0.0045	0.7719	0.3963	0.5237	0.6511	0.5277	0.0069	0.0005	0.6462	0.0007	0.0	0.5881	0.0006	0.0
original	0.8	0.2587	0.6339	0.0597	0.0042	0.7508	0.3537	0.4809	0.6351	0.5269	0.0101	0.0007	0.6469	0.001	0.0	0.5889	0.0009	0.0
original	0.35	0.3607	0.5418	0.0452	0.0032	0.5828	0.2017	0.2997	0.5333	0.5295	0.0269	0.0019	0.6455	0.003	0.0	0.5805	0.0033	0.0
original	0.7	0.2759	0.613	0.0531	0.0038	0.7531	0.2959	0.4249	0.6142	0.5269	0.0121	0.0009	0.6463	0.0014	0.0	0.5884	0.0014	0.0
original	0.6	0.2942	0.5953	0.0589	0.0042	0.7372	0.2609	0.3854	0.5889	0.5272	0.0159	0.0011	0.6465	0.0016	0.0	0.5876	0.0018	0.0
original	0.5	0.3216	0.5732	0.0562	0.004	0.7126	0.1906	0.3008	0.5631	0.5295	0.0187	0.0013	0.6463	0.0021	0.0	0.5832	0.0023	0.0
original	0.45	0.3295	0.5682	0.0561	0.004	0.6811	0.2086	0.3194	0.5557	0.5275	0.0213	0.0015	0.6465	0.0023	0.0	0.5854	0.0026	0.0
original	0.4	0.337	0.557	0.0561	0.004	0.6364	0.2581	0.3673	0.5473	0.5233	0.0255	0.0018	0.6376	0.0026	0.0	0.5868	0.003	0.0
original	0.3	0.3801	0.5322	0.0371	0.0026	0.5541	0.1763	0.2674	0.5265	0.5327	0.0296	0.0021	0.649	0.0033	0.0	0.5755	0.0039	0.0
original	0.25	0.3822	0.5264	0.0395	0.0028	0.5296	0.2607	0.3494	0.5263	0.5269	0.0335	0.0024	0.6398	0.0044	0.0	0.583	0.0042	0.0
original	0.2	0.3995	0.5167	0.0338	0.0024	0.4904	0.2658	0.3448	0.522	0.5279	0.0406	0.0029	0.6398	0.0052	0.0	0.5834	0.005	0.0
original	0.1	0.4193	0.5044	0.0278	0.002	0.3773	0.3559	0.3663	0.5214	0.5306	0.0561	0.004	0.6258	0.0092	0.0	0.571	0.0089	0.0
original	0.05	0.42	0.5007	0.0268	0.0019	0.3378	0.4233	0.3758	0.5178	0.5252	0.0885	0.0063	0.5747	0.0141	0.0	0.5387	0.0138	0.0



60perc_5repeat	0.05	0.3597	0.498	0.0267	0.0019	0.3882	0.512	0.4416	0.4855	0.4992	0.0314	0.0022	0.5036	0.0083	0.0	0.5155	0.0074	0.0
60perc_2repeat	0.05	0.3828	0.4986	0.0279	0.002	0.3774	0.521	0.4377	0.4867	0.5003	0.0455	0.0032	0.5048	0.0112	0.0	0.5287	0.0085	0.0
60perc_10repeat	0.05	0.3395	0.497	0.0278	0.002	0.4187	0.5444	0.4734	0.4823	0.4971	0.0269	0.0019	0.5068	0.0055	0.0	0.5214	0.0057	0.0
60perc_2repeat	0.1	0.3539	0.5095	0.0286	0.002	0.4484	0.3432	0.3888	0.523	0.5059	0.0307	0.0022	0.5475	0.0056	0.0	0.5337	0.0057	0.0
60perc_5repeat	0.1	0.3252	0.5005	0.0317	0.0022	0.4622	0.5148	0.4871	0.4886	0.4986	0.0224	0.0016	0.5223	0.0044	0.0	0.5258	0.0046	0.0
60perc_10repeat	0.1	0.3012	0.4961	0.0291	0.0021	0.4674	0.6081	0.5285	0.4823	0.4958	0.0182	0.0013	0.5024	0.0033	0.0	0.5165	0.003	0.0
60perc_2repeat	0.2	0.3113	0.5199	0.0392	0.0028	0.4863	0.3725	0.4219	0.5258	0.5068	0.0213	0.0015	0.5491	0.0028	0.0	0.5317	0.003	0.0
60perc_5repeat	0.2	0.2814	0.5124	0.0393	0.0028	0.5083	0.4803	0.4939	0.5195	0.5008	0.015	0.0011	0.5213	0.0021	0.0	0.5189	0.0022	0.0
60perc_10repeat	0.2	0.2718	0.5093	0.0384	0.0027	0.4909	0.548	0.5179	0.5149	0.4994	0.0138	0.001	0.5092	0.0016	0.0	0.5132	0.0017	0.0
60perc_2repeat	0.25	0.3013	0.5226	0.0438	0.0031	0.5248	0.4021	0.4553	0.521	0.5059	0.0204	0.0014	0.5488	0.0026	0.0	0.5328	0.0024	0.0
60perc_5repeat	0.25	0.2777	0.5174	0.045	0.0032	0.5146	0.5742	0.5427	0.5173	0.4982	0.0149	0.0011	0.5213	0.0018	0.0	0.5273	0.0018	0.0
60perc_10repeat	0.25	0.2678	0.5145	0.04	0.0028	0.517	0.5879	0.5502	0.5124	0.4971	0.012	0.0008	0.5107	0.0014	0.0	0.5189	0.0015	0.0
60perc_10repeat	0.3	0.26	0.5233	0.0431	0.0031	0.5262	0.5615	0.5433	0.5223	0.4985	0.0105	0.0007	0.5115	0.0012	0.0	0.5146	0.0013	0.0
60perc_2repeat	0.3	0.2925	0.5329	0.0484	0.0034	0.5512	0.4248	0.4798	0.5285	0.5066	0.0194	0.0014	0.5501	0.0023	0.0	0.5372	0.0021	0.0
60perc_5repeat	0.3	0.2719	0.5235	0.0501	0.0035	0.5344	0.5388	0.5366	0.5212	0.4994	0.0155	0.0011	0.5204	0.0017	0.0	0.5233	0.0016	0.0
60perc_2repeat	0.35	0.2778	0.543	0.051	0.0036	0.5548	0.3822	0.4526	0.535	0.506	0.0177	0.0013	0.5453	0.0018	0.0	0.5308	0.002	0.0
60perc_5repeat	0.35	0.2569	0.5444	0.0529	0.0037	0.5568	0.5313	0.5438	0.54	0.5002	0.0111	0.0008	0.5229	0.0013	0.0	0.523	0.0014	0.0
60perc_10repeat	0.35	0.2574	0.5258	0.046	0.0033	0.528	0.5527	0.5401	0.5281	0.4987	0.0105	0.0007	0.5131	0.0011	0.0	0.5153	0.0012	0.0
60perc_2repeat	0.4	0.2646	0.5614	0.0572	0.004	0.6085	0.3769	0.4655	0.5566	0.5058	0.0142	0.001	0.5518	0.0016	0.0	0.5368	0.0017	0.0
60perc_5repeat	0.4	0.2548	0.5469	0.0545	0.0039	0.5725	0.4995	0.5335	0.5397	0.501	0.0115	0.0008	0.5248	0.0012	0.0	0.5226	0.0014	0.0
60perc_10repeat	0.4	0.2528	0.5364	0.0518	0.0037	0.5389	0.6406	0.5854	0.5334	0.4979	0.0091	0.0006	0.5114	0.0009	0.0	0.5178	0.001	0.0
60perc_5repeat	0.45	0.2497	0.5549	0.0556	0.0039	0.5715	0.568	0.5698	0.5526	0.4995	0.0106	0.0007	0.5219	0.001	0.0	0.5237	0.0011	0.0
60perc_2repeat	0.45	0.2599	0.5664	0.057	0.004	0.6252	0.399	0.4872	0.5593	0.5046	0.0142	0.001	0.5493	0.0015	0.0	0.5355	0.0016	0.0
60perc_10repeat	0.45	0.2521	0.5381	0.0511	0.0036	0.552	0.5923	0.5714	0.5394	0.4979	0.0093	0.0007	0.5124	0.0009	0.0	0.5174	0.001	0.0
60perc_2repeat	0.5	0.2523	0.5808	0.0577	0.0041	0.6514	0.3962	0.4927	0.5772	0.5066	0.0132	0.0009	0.5501	0.0014	0.0	0.5355	0.0014	0.0
60perc_5repeat	0.5	0.2457	0.5664	0.06	0.0042	0.5885	0.5676	0.5779	0.5601	0.4996	0.0099	0.0007	0.5229	0.001	0.0	0.5232	0.0011	0.0
60perc_10repeat	0.5	0.2494	0.5438	0.0551	0.0039	0.5513	0.6343	0.5899	0.5425	0.4976	0.0084	0.0006	0.5113	0.0009	0.0	0.517	0.0008	0.0
60perc_5repeat	0.6	0.24	0.5855	0.0568	0.004	0.6229	0.5348	0.5755	0.5938	0.5008	0.0094	0.0007	0.5252	0.0009	0.0	0.5234	0.001	0.0
60perc_2repeat	0.6	0.2436	0.599	0.0616	0.0044	0.663	0.4262	0.5188	0.6047	0.5053	0.0127	0.0009	0.5494	0.0012	0.0	0.5351	0.0013	0.0
60perc_10repeat	0.6	0.2454	0.5552	0.058	0.0041	0.5519	0.6811	0.6098	0.5482	0.4971	0.0074	0.0005	0.5107	0.0007	0.0	0.5175	0.0008	0.0
60perc_2repeat	0.7	0.2359	0.6163	0.0608	0.0043	0.6755	0.4559	0.5444	0.6289	0.5053	0.0123	0.0009	0.5492	0.0011	0.0	0.5349	0.0012	0.0
60perc_5repeat	0.7	0.2358	0.6048	0.0606	0.0043	0.6279	0.5861	0.6063	0.6208	0.4994	0.0089	0.0006	0.5236	0.0008	0.0	0.5241	0.0008	0.0
60perc_2repeat	0.8	0.2232	0.6446	0.0551	0.0039	0.7042	0.5075	0.5899	0.6467	0.5038	0.0101	0.0007	0.5481	0.0009	0.0	0.5367	0.0009	0.0
60perc_5repeat	0.8	0.2317	0.6154	0.0591	0.0042	0.6302	0.6091	0.6195	0.626	0.4999	0.0085	0.0006	0.5228	0.0007	0.0	0.5238	0.0008	0.0
60perc_10repeat	0.8	0.2393	0.5879	0.0643	0.0045	0.5802	0.7183	0.6419	0.5953	0.4971	0.0063	0.0004	0.5112	0.0005	0.0	0.5184	0.0006	0.0
60perc_10repeat	0.7	0.241	0.5814	0.0593	0.0042	0.577	0.6921	0.6293	0.5918	0.4977	0.0064	0.0005	0.5112	0.0006	0.0	0.5178	0.0006	0.0
60perc_2repeat	0.9	0.2215	0.6465	0.063	0.0045	0.7063	0.4923	0.5802	0.6485	0.505	0.0104	0.0007	0.549	0.0008	0.0	0.5355	0.0009	0.0
60perc_5repeat	0.9	0.2269	0.6385	0.0679	0.0048	0.6647	0.6143	0.6385	0.6456	0.4999	0.0072	0.0005	0.5236	0.0006	0.0	0.5236	0.0006	0.0
60perc_10repeat	0.9	0.2361	0.6064	0.0726	0.0051	0.5931	0.731	0.6548	0.6193	0.4969	0.0064	0.0005	0.5108	0.0005	0.0	0.5188	0.0006	0.0


100perc_10repeat	0.05	0.4409	0.4969	0.0255	0.0018	0.4265	0.5793	0.4913	0.4813	0.474	0.0636	0.0045	0.5748	0.0195	0.0	0.602	0.0191	0.0
100perc_2repeat	0.05	0.405	0.4959	0.025	0.0018	0.4729	0.5925	0.526	0.4831	0.489	0.0268	0.0019	0.5899	0.0125	0.0	0.6089	0.013	0.0
100perc_5repeat	0.05	0.4332	0.4973	0.0267	0.0019	0.4516	0.5724	0.5049	0.4812	0.4861	0.0593	0.0042	0.6116	0.0162	0.0	0.6372	0.0154	0.0
100perc_2repeat	0.1	0.3873	0.4999	0.0285	0.002	0.5	0.5846	0.539	0.4839	0.4915	0.0196	0.0014	0.5998	0.0082	0.0	0.6126	0.0085	0.0
100perc_5repeat	0.1	0.4177	0.5013	0.0296	0.0021	0.5019	0.5832	0.5395	0.4839	0.4826	0.0409	0.0029	0.6018	0.0092	0.0	0.6345	0.0092	0.0
