Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_0given1_Mean	ProbabilityEstimate_0given1_SD	ProbabilityEstimate_0given1_SE

original	0.9	0.648	0.0699	0.0049	0.7623	0.3926	0.5182	0.6433	0.5274	0.0069	0.0005	0.6455	0.0007	0.0	0.4126	0.0007	0.0
original	0.8	0.6251	0.0509	0.0036	0.7686	0.3321	0.4638	0.6273	0.5291	0.0089	0.0006	0.6473	0.001	0.0	0.4142	0.001	0.0
original	0.7	0.6117	0.0532	0.0038	0.7566	0.2993	0.429	0.614	0.5279	0.0131	0.0009	0.6468	0.0013	0.0	0.4116	0.0014	0.0
original	0.6	0.5945	0.0613	0.0043	0.7458	0.2559	0.3811	0.5902	0.5282	0.0166	0.0012	0.6443	0.0017	0.0	0.4147	0.0018	0.0
original	0.5	0.5798	0.0619	0.0044	0.7049	0.2466	0.3654	0.5761	0.5269	0.0204	0.0014	0.6423	0.0023	0.0	0.4127	0.0021	0.0
original	0.45	0.5673	0.0592	0.0042	0.6711	0.2176	0.3286	0.5548	0.5287	0.0235	0.0017	0.644	0.0023	0.0	0.417	0.0029	0.0
original	0.4	0.554	0.052	0.0037	0.6395	0.2133	0.3199	0.5415	0.5285	0.0244	0.0017	0.6401	0.0029	0.0	0.4196	0.003	0.0
original	0.35	0.5422	0.0512	0.0036	0.5895	0.2346	0.3356	0.5326	0.5296	0.0293	0.0021	0.6474	0.0035	0.0	0.4139	0.0033	0.0
original	0.1	0.5051	0.0304	0.0021	0.4027	0.3762	0.389	0.5197	0.5199	0.0573	0.004	0.6193	0.0089	0.0	0.435	0.0092	0.0
original	0.3	0.5321	0.0471	0.0033	0.5543	0.2636	0.3573	0.525	0.5252	0.0303	0.0021	0.6391	0.0037	0.0	0.415	0.0036	0.0
original	0.25	0.5233	0.0354	0.0025	0.5513	0.2425	0.3368	0.5248	0.5262	0.0348	0.0025	0.6375	0.0044	0.0	0.4125	0.0041	0.0
original	0.2	0.514	0.035	0.0025	0.4741	0.3071	0.3728	0.5202	0.5231	0.0431	0.0031	0.6331	0.0054	0.0	0.4185	0.0051	0.0
original	0.05	0.5026	0.027	0.0019	0.3162	0.3826	0.3462	0.5178	0.535	0.0941	0.0067	0.5794	0.0132	0.0	0.4808	0.0143	0.0


15perc_2repeat	0.9	0.6274	0.0697	0.0049	0.7725	0.3188	0.4513	0.6325	0.5223	0.0084	0.0006	0.6035	0.0008	0.0	0.449	0.0008	0.0
15perc_5repeat	0.9	0.6274	0.0748	0.0053	0.7738	0.3122	0.4449	0.6311	0.5203	0.0074	0.0005	0.5908	0.0006	0.0	0.4573	0.0007	0.0
15perc_10repeat	0.9	0.6126	0.0823	0.0058	0.7728	0.2906	0.4224	0.622	0.5203	0.0072	0.0005	0.5868	0.0007	0.0	0.4626	0.0007	0.0
5perc_2repeat	0.9	0.6435	0.0647	0.0046	0.7693	0.3761	0.5052	0.6426	0.526	0.0078	0.0006	0.631	0.0008	0.0	0.4266	0.0008	0.0
5perc_5repeat	0.9	0.6458	0.0629	0.0044	0.7812	0.3739	0.5057	0.6561	0.5259	0.0064	0.0005	0.6269	0.0007	0.0	0.4303	0.0006	0.0
5perc_10repeat	0.9	0.6427	0.0663	0.0047	0.7566	0.3736	0.5002	0.6475	0.5245	0.007	0.0005	0.6251	0.0006	0.0	0.4298	0.0007	0.0
15perc_2repeat	0.8	0.6111	0.0652	0.0046	0.7611	0.2914	0.4214	0.6172	0.5224	0.011	0.0008	0.6036	0.001	0.0	0.4489	0.0011	0.0
15perc_5repeat	0.8	0.5983	0.0721	0.0051	0.7761	0.2595	0.3889	0.5966	0.5219	0.0104	0.0007	0.5937	0.001	0.0	0.4571	0.001	0.0
15perc_10repeat	0.8	0.6102	0.0648	0.0046	0.7684	0.2646	0.3936	0.6117	0.5192	0.0085	0.0006	0.586	0.0008	0.0	0.4616	0.0009	0.0
5perc_2repeat	0.8	0.6278	0.0605	0.0043	0.7562	0.334	0.4634	0.6257	0.5253	0.0099	0.0007	0.631	0.0011	0.0	0.4258	0.0011	0.0
5perc_5repeat	0.8	0.6287	0.0577	0.0041	0.7711	0.3272	0.4594	0.6285	0.5249	0.0097	0.0007	0.6261	0.0009	0.0	0.4298	0.0009	0.0
5perc_10repeat	0.8	0.6275	0.0608	0.0043	0.7631	0.3297	0.4605	0.6294	0.5245	0.0098	0.0007	0.6251	0.0009	0.0	0.4304	0.0011	0.0
5perc_2repeat	0.7	0.6045	0.0606	0.0043	0.744	0.2778	0.4046	0.6022	0.5261	0.0133	0.0009	0.6313	0.0013	0.0	0.4273	0.0014	0.0
5perc_5repeat	0.7	0.6083	0.0625	0.0044	0.7551	0.2796	0.4081	0.6131	0.5249	0.0125	0.0009	0.6261	0.0013	0.0	0.4306	0.0015	0.0
5perc_10repeat	0.7	0.6064	0.0651	0.0046	0.749	0.2861	0.414	0.6118	0.5251	0.0131	0.0009	0.6229	0.0013	0.0	0.4318	0.0014	0.0
15perc_2repeat	0.7	0.5957	0.0605	0.0043	0.7425	0.2485	0.3723	0.5943	0.5219	0.0129	0.0009	0.6032	0.0013	0.0	0.4501	0.0013	0.0
15perc_5repeat	0.7	0.598	0.0572	0.004	0.7461	0.2465	0.3706	0.6098	0.5197	0.0108	0.0008	0.5909	0.0011	0.0	0.4569	0.0011	0.0
15perc_10repeat	0.7	0.5992	0.0626	0.0044	0.7379	0.244	0.3668	0.5987	0.5187	0.0099	0.0007	0.5852	0.0011	0.0	0.4615	0.001	0.0
15perc_2repeat	0.6	0.5812	0.0651	0.0046	0.6831	0.245	0.3606	0.5755	0.5215	0.0173	0.0012	0.6027	0.0017	0.0	0.4499	0.0018	0.0
15perc_5repeat	0.6	0.5816	0.0631	0.0045	0.7054	0.2238	0.3398	0.5712	0.5205	0.0134	0.0009	0.5933	0.0015	0.0	0.4584	0.0016	0.0
15perc_10repeat	0.6	0.5726	0.0618	0.0044	0.7006	0.2052	0.3175	0.5613	0.5211	0.0133	0.0009	0.5873	0.0014	0.0	0.4625	0.0013	0.0
5perc_2repeat	0.6	0.5959	0.0574	0.0041	0.7186	0.2674	0.3897	0.5932	0.5242	0.0152	0.0011	0.6297	0.0017	0.0	0.4234	0.0018	0.0
5perc_5repeat	0.6	0.5879	0.0586	0.0041	0.7244	0.2409	0.3616	0.5878	0.5262	0.0151	0.0011	0.6263	0.0016	0.0	0.4299	0.0017	0.0
5perc_10repeat	0.6	0.5855	0.0589	0.0042	0.7124	0.2412	0.3604	0.5817	0.5258	0.0161	0.0011	0.6265	0.0016	0.0	0.431	0.0019	0.0
15perc_2repeat	0.5	0.5646	0.0557	0.0039	0.6453	0.2304	0.3396	0.5525	0.5238	0.0188	0.0013	0.6027	0.0021	0.0	0.4495	0.0022	0.0
15perc_5repeat	0.5	0.5726	0.059	0.0042	0.6674	0.2255	0.3371	0.5586	0.5193	0.0164	0.0012	0.5886	0.0016	0.0	0.4565	0.0017	0.0
15perc_10repeat	0.5	0.561	0.0533	0.0038	0.6312	0.2136	0.3192	0.5535	0.52	0.0162	0.0011	0.588	0.0016	0.0	0.4614	0.0019	0.0
5perc_2repeat	0.5	0.573	0.0555	0.0039	0.6982	0.2194	0.3338	0.5665	0.5257	0.0195	0.0014	0.6277	0.0021	0.0	0.4274	0.0021	0.0
5perc_5repeat	0.5	0.5727	0.0609	0.0043	0.6972	0.2468	0.3645	0.5545	0.5244	0.0192	0.0014	0.6227	0.002	0.0	0.4308	0.0022	0.0
5perc_10repeat	0.5	0.5693	0.0574	0.0041	0.6885	0.2306	0.3455	0.5539	0.524	0.0198	0.0014	0.6252	0.002	0.0	0.4297	0.0021	0.0
5perc_2repeat	0.45	0.5685	0.0571	0.004	0.6463	0.2455	0.3558	0.5548	0.5243	0.02	0.0014	0.627	0.0021	0.0	0.4264	0.0026	0.0
5perc_5repeat	0.45	0.5635	0.0592	0.0042	0.6568	0.2056	0.3132	0.5479	0.5266	0.0219	0.0016	0.6255	0.0024	0.0	0.4332	0.0024	0.0
5perc_10repeat	0.45	0.5618	0.0567	0.004	0.6564	0.2004	0.3071	0.5456	0.5268	0.0214	0.0015	0.6269	0.0022	0.0	0.433	0.0024	0.0
15perc_2repeat	0.45	0.562	0.0534	0.0038	0.6265	0.2268	0.333	0.5479	0.5214	0.0189	0.0013	0.6006	0.0022	0.0	0.4499	0.0021	0.0
15perc_5repeat	0.45	0.5532	0.0545	0.0039	0.6046	0.208	0.3095	0.5407	0.5213	0.0179	0.0013	0.5916	0.0018	0.0	0.4598	0.0023	0.0
15perc_10repeat	0.45	0.5581	0.0574	0.0041	0.5917	0.2398	0.3412	0.5466	0.5188	0.0181	0.0013	0.5842	0.002	0.0	0.4607	0.002	0.0
15perc_2repeat	0.05	0.5009	0.0274	0.0019	0.3025	0.4249	0.3534	0.5178	0.524	0.0793	0.0056	0.5596	0.0155	0.0	0.4821	0.0145	0.0
