Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE

5perc_2repeat	0.2	0.352	0.5083	0.0407	0.0029	0.4991	0.791	0.612	0.5016	0.5217	0.0387	0.0027	0.619	0.0048	0.0	0.5708	0.0043	0.0
30perc_5repeat	0.2	0.3042	0.5032	0.036	0.0025	0.4919	0.7451	0.5926	0.5037	0.5116	0.0256	0.0018	0.5481	0.003	0.0	0.516	0.003	0.0
5perc_5repeat	0.2	0.3493	0.5069	0.0392	0.0028	0.4982	0.7936	0.6121	0.4997	0.5213	0.0381	0.0027	0.6159	0.0047	0.0	0.5677	0.0043	0.0
15perc_5repeat	0.2	0.3297	0.5071	0.0382	0.0027	0.4974	0.7518	0.5987	0.506	0.5185	0.0323	0.0023	0.5868	0.004	0.0	0.5412	0.0038	0.0
40perc_2repeat	0.2	0.3151	0.5038	0.0384	0.0027	0.4931	0.7815	0.6047	0.4957	0.5105	0.0283	0.002	0.5548	0.0038	0.0	0.529	0.0031	0.0
30perc_2repeat	0.2	0.3268	0.5013	0.0375	0.0027	0.4918	0.7517	0.5946	0.4879	0.5119	0.0311	0.0022	0.5613	0.0037	0.0	0.5293	0.0039	0.0
5perc_10repeat	0.2	0.3498	0.5065	0.0391	0.0028	0.4981	0.787	0.61	0.5002	0.5206	0.038	0.0027	0.6136	0.0046	0.0	0.5662	0.0043	0.0
50perc_2repeat	0.2	0.3109	0.503	0.0365	0.0026	0.492	0.7848	0.6048	0.4992	0.5091	0.027	0.0019	0.5481	0.0034	0.0	0.5247	0.0032	0.0
15perc_10repeat	0.2	0.3253	0.5055	0.039	0.0028	0.4964	0.7742	0.6049	0.4974	0.5178	0.0308	0.0022	0.5819	0.0037	0.0	0.5393	0.0035	0.0
100perc_5repeat	0.1	0.4171	0.4835	0.0192	0.0014	0.4769	0.8953	0.6223	0.4768	0.4834	0.0395	0.0028	0.5961	0.009	0.0	0.626	0.0088	0.0
