Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE


100perc_25repeat	0.05	0.4359	0.4982	0.0269	0.0019	0.4307	0.5709	0.491	0.4841	0.4729	0.0756	0.0053	0.5558	0.0211	0.0	0.609	0.0206	0.0
80perc_25repeat	0.05	0.384	0.4969	0.0271	0.0019	0.3965	0.5708	0.468	0.4788	0.4859	0.0429	0.003	0.4939	0.0092	0.0	0.5322	0.0088	0.0
30perc_25repeat	0.1	0.3447	0.5034	0.0304	0.0021	0.3344	0.4017	0.365	0.5179	0.5123	0.029	0.0021	0.5359	0.0042	0.0	0.506	0.0044	0.0
40perc_25repeat	0.1	0.309	0.502	0.0293	0.0021	0.3686	0.3996	0.3835	0.5179	0.5058	0.0211	0.0015	0.5138	0.0032	0.0	0.4963	0.003	0.0
100perc_50repeat	0.05	0.4376	0.4984	0.0271	0.0019	0.4259	0.5714	0.4881	0.4856	0.4718	0.0787	0.0056	0.5484	0.0221	0.0	0.606	0.0213	0.0
5perc_50repeat	0.05	0.4291	0.5022	0.0266	0.0019	0.3204	0.4098	0.3596	0.5178	0.5275	0.0766	0.0054	0.5805	0.0198	0.0	0.5011	0.0207	0.0
90perc_25repeat	0.05	0.4136	0.4981	0.0269	0.0019	0.4142	0.5685	0.4792	0.4805	0.4797	0.0559	0.004	0.5146	0.0128	0.0	0.56	0.0126	0.0
70perc_25repeat	0.05	0.3612	0.4969	0.028	0.002	0.4054	0.5776	0.4764	0.4787	0.4919	0.0293	0.0021	0.4986	0.0062	0.0	0.5261	0.0064	0.0
15perc_25repeat	0.05	0.416	0.502	0.0274	0.0019	0.3022	0.4123	0.3488	0.5205	0.5219	0.0633	0.0045	0.5557	0.0142	0.0	0.4927	0.0147	0.0
5perc_25repeat	0.05	0.4299	0.5012	0.0267	0.0019	0.3202	0.4184	0.3628	0.5161	0.5271	0.0777	0.0055	0.5813	0.0194	0.0	0.5101	0.0203	0.0
50perc_50repeat	0.05	0.2875	0.5009	0.027	0.0019	0.4459	0.4387	0.4423	0.5095	0.5018	0.0128	0.0009	0.5006	0.0029	0.0	0.4921	0.0031	0.0
30perc_25repeat	0.05	0.3738	0.501	0.028	0.002	0.3293	0.4384	0.3761	0.5195	0.5122	0.0394	0.0028	0.5198	0.0075	0.0	0.4893	0.0088	0.0
50perc_25repeat	0.05	0.3086	0.5004	0.0275	0.0019	0.4326	0.4483	0.4403	0.5092	0.503	0.0174	0.0012	0.4984	0.0044	0.0	0.4976	0.004	0.0
50perc_25repeat	0.1	0.2733	0.5014	0.0307	0.0022	0.471	0.4798	0.4753	0.5025	0.5018	0.0127	0.0009	0.5028	0.0019	0.0	0.4996	0.002	0.0
