Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_0given1_Mean	ProbabilityEstimate_0given1_SD	ProbabilityEstimate_0given1_SE

original	0.9	0.648	0.0699	0.0049	0.7623	0.3926	0.5182	0.6433	0.5274	0.0069	0.0005	0.6455	0.0007	0.0	0.4126	0.0007	0.0
original	0.8	0.6251	0.0509	0.0036	0.7686	0.3321	0.4638	0.6273	0.5291	0.0089	0.0006	0.6473	0.001	0.0	0.4142	0.001	0.0
original	0.7	0.6117	0.0532	0.0038	0.7566	0.2993	0.429	0.614	0.5279	0.0131	0.0009	0.6468	0.0013	0.0	0.4116	0.0014	0.0
original	0.6	0.5945	0.0613	0.0043	0.7458	0.2559	0.3811	0.5902	0.5282	0.0166	0.0012	0.6443	0.0017	0.0	0.4147	0.0018	0.0
original	0.5	0.5798	0.0619	0.0044	0.7049	0.2466	0.3654	0.5761	0.5269	0.0204	0.0014	0.6423	0.0023	0.0	0.4127	0.0021	0.0
original	0.45	0.5673	0.0592	0.0042	0.6711	0.2176	0.3286	0.5548	0.5287	0.0235	0.0017	0.644	0.0023	0.0	0.417	0.0029	0.0
original	0.4	0.554	0.052	0.0037	0.6395	0.2133	0.3199	0.5415	0.5285	0.0244	0.0017	0.6401	0.0029	0.0	0.4196	0.003	0.0
original	0.35	0.5422	0.0512	0.0036	0.5895	0.2346	0.3356	0.5326	0.5296	0.0293	0.0021	0.6474	0.0035	0.0	0.4139	0.0033	0.0
original	0.1	0.5051	0.0304	0.0021	0.4027	0.3762	0.389	0.5197	0.5199	0.0573	0.004	0.6193	0.0089	0.0	0.435	0.0092	0.0
original	0.3	0.5321	0.0471	0.0033	0.5543	0.2636	0.3573	0.525	0.5252	0.0303	0.0021	0.6391	0.0037	0.0	0.415	0.0036	0.0
original	0.25	0.5233	0.0354	0.0025	0.5513	0.2425	0.3368	0.5248	0.5262	0.0348	0.0025	0.6375	0.0044	0.0	0.4125	0.0041	0.0
original	0.2	0.514	0.035	0.0025	0.4741	0.3071	0.3728	0.5202	0.5231	0.0431	0.0031	0.6331	0.0054	0.0	0.4185	0.0051	0.0
original	0.05	0.5026	0.027	0.0019	0.3162	0.3826	0.3462	0.5178	0.535	0.0941	0.0067	0.5794	0.0132	0.0	0.4808	0.0143	0.0
