Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE

original	0.9	0.2459	0.6509	0.0641	0.0045	0.7719	0.3963	0.5237	0.6511	0.5277	0.0069	0.0005	0.6462	0.0007	0.0	0.5881	0.0006	0.0
original	0.8	0.2587	0.6339	0.0597	0.0042	0.7508	0.3537	0.4809	0.6351	0.5269	0.0101	0.0007	0.6469	0.001	0.0	0.5889	0.0009	0.0
original	0.35	0.3607	0.5418	0.0452	0.0032	0.5828	0.2017	0.2997	0.5333	0.5295	0.0269	0.0019	0.6455	0.003	0.0	0.5805	0.0033	0.0
original	0.7	0.2759	0.613	0.0531	0.0038	0.7531	0.2959	0.4249	0.6142	0.5269	0.0121	0.0009	0.6463	0.0014	0.0	0.5884	0.0014	0.0
original	0.6	0.2942	0.5953	0.0589	0.0042	0.7372	0.2609	0.3854	0.5889	0.5272	0.0159	0.0011	0.6465	0.0016	0.0	0.5876	0.0018	0.0
original	0.5	0.3216	0.5732	0.0562	0.004	0.7126	0.1906	0.3008	0.5631	0.5295	0.0187	0.0013	0.6463	0.0021	0.0	0.5832	0.0023	0.0
original	0.45	0.3295	0.5682	0.0561	0.004	0.6811	0.2086	0.3194	0.5557	0.5275	0.0213	0.0015	0.6465	0.0023	0.0	0.5854	0.0026	0.0
original	0.4	0.337	0.557	0.0561	0.004	0.6364	0.2581	0.3673	0.5473	0.5233	0.0255	0.0018	0.6376	0.0026	0.0	0.5868	0.003	0.0
original	0.3	0.3801	0.5322	0.0371	0.0026	0.5541	0.1763	0.2674	0.5265	0.5327	0.0296	0.0021	0.649	0.0033	0.0	0.5755	0.0039	0.0
original	0.25	0.3822	0.5264	0.0395	0.0028	0.5296	0.2607	0.3494	0.5263	0.5269	0.0335	0.0024	0.6398	0.0044	0.0	0.583	0.0042	0.0
original	0.2	0.3995	0.5167	0.0338	0.0024	0.4904	0.2658	0.3448	0.522	0.5279	0.0406	0.0029	0.6398	0.0052	0.0	0.5834	0.005	0.0
original	0.1	0.4193	0.5044	0.0278	0.002	0.3773	0.3559	0.3663	0.5214	0.5306	0.0561	0.004	0.6258	0.0092	0.0	0.571	0.0089	0.0
original	0.05	0.42	0.5007	0.0268	0.0019	0.3378	0.4233	0.3758	0.5178	0.5252	0.0885	0.0063	0.5747	0.0141	0.0	0.5387	0.0138	0.0


05prec_2repeat	0.1	0.4198	0.5056	0.0291	0.0021	0.3999	0.3353	0.3647	0.5208	0.5217	0.0596	0.0042	0.6151	0.0096	0.0	0.5577	0.0101	0.0
15perc_5repeat	0.1	0.3923	0.5034	0.0287	0.002	0.3444	0.3816	0.3621	0.5215	0.5153	0.0483	0.0034	0.5679	0.0072	0.0	0.5286	0.0077	0.0
30perc_5repeat	0.1	0.3642	0.5023	0.029	0.002	0.3224	0.4084	0.3603	0.5179	0.5139	0.0381	0.0027	0.541	0.0058	0.0	0.5076	0.0058	0.0
30perc_2repeat	0.05	0.3935	0.4996	0.0271	0.0019	0.3104	0.4196	0.3569	0.5114	0.5172	0.0612	0.0043	0.5277	0.0122	0.0	0.4933	0.0128	0.0
15perc_2repeat	0.05	0.4068	0.4997	0.0266	0.0019	0.3498	0.444	0.3913	0.5109	0.5226	0.0788	0.0056	0.5153	0.0147	0.0	0.4922	0.014	0.0
80perc_2repeat	0.05	0.3839	0.4991	0.0263	0.0019	0.4319	0.4879	0.4582	0.4908	0.4985	0.035	0.0025	0.5394	0.0119	0.0	0.54	0.0118	0.0
70perc_2repeat	0.05	0.3786	0.5012	0.0275	0.0019	0.3816	0.4584	0.4165	0.504	0.5065	0.0402	0.0028	0.5399	0.0095	0.0	0.5254	0.0108	0.0
90perc_2repeat	0.05	0.3962	0.4992	0.0263	0.0019	0.4478	0.5155	0.4793	0.4882	0.4953	0.0321	0.0023	0.5745	0.012	0.0	0.5812	0.0121	0.0
70perc_5repeat	0.05	0.3539	0.4973	0.0274	0.0019	0.4356	0.5383	0.4815	0.482	0.4956	0.0344	0.0024	0.5159	0.0081	0.0	0.5229	0.0086	0.0
60perc_5repeat	0.05	0.3597	0.498	0.0267	0.0019	0.3882	0.512	0.4416	0.4855	0.4992	0.0314	0.0022	0.5036	0.0083	0.0	0.5155	0.0074	0.0
05prec_10repeat	0.1	0.4202	0.5048	0.0283	0.002	0.3731	0.3484	0.3603	0.5198	0.5251	0.0574	0.0041	0.6134	0.0086	0.0	0.5608	0.0093	0.0
80perc_5repeat	0.05	0.3777	0.4942	0.027	0.0019	0.4108	0.5901	0.4844	0.4788	0.4923	0.035	0.0025	0.5071	0.009	0.0	0.5245	0.0098	0.0
30perc_5repeat	0.05	0.3902	0.5011	0.0268	0.0019	0.3029	0.4189	0.3516	0.5195	0.5188	0.0524	0.0037	0.5228	0.0111	0.0	0.4894	0.011	0.0
40perc_5repeat	0.05	0.3709	0.4988	0.0266	0.0019	0.3327	0.4472	0.3815	0.5035	0.5126	0.0447	0.0032	0.5108	0.0091	0.0	0.4864	0.0094	0.0
90perc_10repeat	0.05	0.414	0.4987	0.0277	0.002	0.393	0.5419	0.4556	0.482	0.4858	0.0579	0.0041	0.5297	0.0126	0.0	0.5543	0.0124	0.0
100perc_10repeat	0.05	0.4409	0.4969	0.0255	0.0018	0.4265	0.5793	0.4913	0.4813	0.474	0.0636	0.0045	0.5748	0.0195	0.0	0.602	0.0191	0.0
15perc_10repeat	0.05	0.4144	0.5006	0.0275	0.0019	0.3179	0.4271	0.3645	0.5178	0.5159	0.076	0.0054	0.5416	0.0138	0.0	0.4793	0.0145	0.0
80perc_10repeat	0.05	0.3847	0.4928	0.0276	0.002	0.3849	0.636	0.4795	0.4771	0.4905	0.0415	0.0029	0.4937	0.0093	0.0	0.5425	0.0089	0.0
70perc_10repeat	0.05	0.3674	0.4927	0.0258	0.0018	0.4232	0.627	0.5053	0.4784	0.4908	0.0302	0.0021	0.5037	0.0068	0.0	0.5313	0.0076	0.0
30perc_10repeat	0.05	0.3869	0.4997	0.0275	0.0019	0.3193	0.4465	0.3723	0.5161	0.5147	0.049	0.0035	0.5126	0.01	0.0	0.492	0.0104	0.0
40perc_2repeat	0.1	0.3717	0.5032	0.028	0.002	0.3254	0.3786	0.35	0.5179	0.5167	0.0388	0.0027	0.5497	0.0063	0.0	0.5038	0.0065	0.0
40perc_5repeat	0.1	0.3442	0.5016	0.0291	0.0021	0.3683	0.4481	0.4043	0.5154	0.5101	0.0305	0.0022	0.5304	0.0046	0.0	0.5162	0.005	0.0
30perc_10repeat	0.1	0.3594	0.5056	0.0291	0.0021	0.3288	0.3522	0.3401	0.5201	0.5118	0.0332	0.0023	0.545	0.0051	0.0	0.4972	0.0052	0.0
05prec_10repeat	0.05	0.4409	0.5024	0.0267	0.0019	0.2892	0.3961	0.3343	0.5194	0.5296	0.0943	0.0067	0.5748	0.0185	0.0	0.4781	0.0205	0.0
50perc_2repeat	0.05	0.3846	0.5008	0.0269	0.0019	0.3573	0.4583	0.4016	0.5147	0.5101	0.0484	0.0034	0.5226	0.0101	0.0	0.5169	0.0105	0.0
15perc_2repeat	0.1	0.4004	0.5041	0.0292	0.0021	0.3218	0.3907	0.3529	0.5197	0.5236	0.0511	0.0036	0.5674	0.0082	0.0	0.5369	0.0089	0.0
30perc_2repeat	0.1	0.3861	0.5052	0.0288	0.002	0.3487	0.3691	0.3586	0.5206	0.5177	0.0476	0.0034	0.5741	0.0063	0.0	0.5245	0.0075	0.0
05prec_5repeat	0.1	0.4079	0.5066	0.0282	0.002	0.32	0.3195	0.3197	0.5215	0.5273	0.0571	0.004	0.6021	0.0087	0.0	0.5207	0.0107	0.0
60perc_2repeat	0.05	0.3828	0.4986	0.0279	0.002	0.3774	0.521	0.4377	0.4867	0.5003	0.0455	0.0032	0.5048	0.0112	0.0	0.5287	0.0085	0.0
90perc_5repeat	0.05	0.4052	0.4946	0.0259	0.0018	0.4461	0.6231	0.5199	0.4791	0.4833	0.0488	0.0034	0.5453	0.0116	0.0	0.5831	0.0116	0.0
40perc_2repeat	0.05	0.3966	0.5024	0.0267	0.0019	0.3227	0.4067	0.3598	0.5186	0.5163	0.0558	0.0039	0.5355	0.0124	0.0	0.4923	0.0119	0.0
05prec_2repeat	0.05	0.4281	0.5	0.027	0.0019	0.3021	0.4229	0.3524	0.5184	0.5255	0.0815	0.0058	0.5625	0.0177	0.0	0.507	0.0169	0.0
100perc_2repeat	0.05	0.405	0.4959	0.025	0.0018	0.4729	0.5925	0.526	0.4831	0.489	0.0268	0.0019	0.5899	0.0125	0.0	0.6089	0.013	0.0
100perc_5repeat	0.05	0.4332	0.4973	0.0267	0.0019	0.4516	0.5724	0.5049	0.4812	0.4861	0.0593	0.0042	0.6116	0.0162	0.0	0.6372	0.0154	0.0
15perc_10repeat	0.1	0.3968	0.5071	0.0277	0.002	0.3196	0.3318	0.3256	0.5197	0.5218	0.046	0.0033	0.5815	0.0073	0.0	0.5253	0.0072	0.0
15perc_5repeat	0.05	0.4145	0.5003	0.027	0.0019	0.3114	0.4347	0.3629	0.5144	0.5167	0.0692	0.0049	0.5291	0.015	0.0	0.4802	0.0154	0.0
05prec_5repeat	0.05	0.4306	0.4995	0.0268	0.0019	0.3299	0.4579	0.3835	0.5076	0.529	0.081	0.0057	0.5383	0.0192	0.0	0.504	0.0186	0.0
50perc_5repeat	0.05	0.3734	0.5001	0.0289	0.002	0.3589	0.4625	0.4042	0.5057	0.5084	0.0394	0.0028	0.5206	0.0091	0.0	0.5039	0.0089	0.0
60perc_10repeat	0.05	0.3395	0.497	0.0278	0.002	0.4187	0.5444	0.4734	0.4823	0.4971	0.0269	0.0019	0.5068	0.0055	0.0	0.5214	0.0057	0.0
50perc_10repeat	0.05	0.3235	0.5026	0.0279	0.002	0.3919	0.3983	0.3951	0.5187	0.5035	0.0264	0.0019	0.5014	0.0062	0.0	0.4771	0.0062	0.0
40perc_10repeat	0.05	0.3575	0.5012	0.0276	0.0019	0.3485	0.4281	0.3843	0.5172	0.5086	0.034	0.0024	0.5073	0.0078	0.0	0.4861	0.0077	0.0
05prec_2repeat	0.2	0.3921	0.5165	0.034	0.0024	0.4549	0.285	0.3505	0.5242	0.5191	0.0375	0.0027	0.6208	0.005	0.0	0.5701	0.0057	0.0
50perc_2repeat	0.1	0.3584	0.5061	0.0284	0.002	0.3462	0.3683	0.3569	0.521	0.5122	0.0346	0.0024	0.5479	0.0056	0.0	0.5113	0.006	0.0
50perc_5repeat	0.1	0.314	0.5049	0.0298	0.0021	0.3995	0.3867	0.393	0.5186	0.5074	0.0239	0.0017	0.5197	0.0039	0.0	0.4973	0.0044	0.0
