Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE

original	0.9	0.2459	0.6509	0.0641	0.0045	0.7719	0.3963	0.5237	0.6511	0.5277	0.0069	0.0005	0.6462	0.0007	0.0	0.5881	0.0006	0.0
original	0.8	0.2587	0.6339	0.0597	0.0042	0.7508	0.3537	0.4809	0.6351	0.5269	0.0101	0.0007	0.6469	0.001	0.0	0.5889	0.0009	0.0
original	0.35	0.3607	0.5418	0.0452	0.0032	0.5828	0.2017	0.2997	0.5333	0.5295	0.0269	0.0019	0.6455	0.003	0.0	0.5805	0.0033	0.0
original	0.7	0.2759	0.613	0.0531	0.0038	0.7531	0.2959	0.4249	0.6142	0.5269	0.0121	0.0009	0.6463	0.0014	0.0	0.5884	0.0014	0.0
original	0.6	0.2942	0.5953	0.0589	0.0042	0.7372	0.2609	0.3854	0.5889	0.5272	0.0159	0.0011	0.6465	0.0016	0.0	0.5876	0.0018	0.0
original	0.5	0.3216	0.5732	0.0562	0.004	0.7126	0.1906	0.3008	0.5631	0.5295	0.0187	0.0013	0.6463	0.0021	0.0	0.5832	0.0023	0.0
original	0.45	0.3295	0.5682	0.0561	0.004	0.6811	0.2086	0.3194	0.5557	0.5275	0.0213	0.0015	0.6465	0.0023	0.0	0.5854	0.0026	0.0
original	0.4	0.337	0.557	0.0561	0.004	0.6364	0.2581	0.3673	0.5473	0.5233	0.0255	0.0018	0.6376	0.0026	0.0	0.5868	0.003	0.0
original	0.3	0.3801	0.5322	0.0371	0.0026	0.5541	0.1763	0.2674	0.5265	0.5327	0.0296	0.0021	0.649	0.0033	0.0	0.5755	0.0039	0.0
original	0.25	0.3822	0.5264	0.0395	0.0028	0.5296	0.2607	0.3494	0.5263	0.5269	0.0335	0.0024	0.6398	0.0044	0.0	0.583	0.0042	0.0
original	0.2	0.3995	0.5167	0.0338	0.0024	0.4904	0.2658	0.3448	0.522	0.5279	0.0406	0.0029	0.6398	0.0052	0.0	0.5834	0.005	0.0
original	0.1	0.4193	0.5044	0.0278	0.002	0.3773	0.3559	0.3663	0.5214	0.5306	0.0561	0.004	0.6258	0.0092	0.0	0.571	0.0089	0.0
original	0.05	0.42	0.5007	0.0268	0.0019	0.3378	0.4233	0.3758	0.5178	0.5252	0.0885	0.0063	0.5747	0.0141	0.0	0.5387	0.0138	0.0


15perc_2repeat	0.1	0.431	0.5045	0.0279	0.002	0.3566	0.3551	0.3558	0.5197	0.5273	0.0624	0.0044	0.6303	0.009	0.0	0.5652	0.0106	0.0
05perc_5repeat	0.1	0.4237	0.5041	0.0297	0.0021	0.3601	0.3618	0.3609	0.5197	0.5235	0.0584	0.0041	0.6283	0.0088	0.0	0.5641	0.011	0.0
30perc_5repeat	0.1	0.4092	0.5061	0.0285	0.002	0.3486	0.3242	0.3359	0.5215	0.5274	0.0631	0.0045	0.6053	0.0093	0.0	0.5438	0.0098	0.0
15perc_5repeat	0.1	0.4194	0.5057	0.0281	0.002	0.3429	0.3439	0.3434	0.5197	0.5236	0.0627	0.0044	0.6151	0.0094	0.0	0.5548	0.01	0.0
100perc_2repeat	0.05	0.4026	0.5016	0.0278	0.002	0.2862	0.4334	0.3448	0.5187	0.5308	0.0915	0.0065	0.5179	0.0137	0.0	0.4777	0.0122	0.0
90perc_2repeat	0.05	0.4117	0.5036	0.0267	0.0019	0.2813	0.3774	0.3223	0.5213	0.5263	0.082	0.0058	0.5404	0.0136	0.0	0.4834	0.0144	0.0
70perc_2repeat	0.05	0.4173	0.5026	0.0273	0.0019	0.2998	0.3901	0.3391	0.5195	0.5256	0.0896	0.0063	0.5412	0.0148	0.0	0.4878	0.0145	0.0
30perc_2repeat	0.05	0.4308	0.4992	0.0269	0.0019	0.3081	0.4309	0.3593	0.5176	0.5339	0.0896	0.0063	0.5585	0.0165	0.0	0.5088	0.0167	0.0
30perc_10repeat	0.1	0.4091	0.5045	0.0278	0.002	0.3281	0.3664	0.3462	0.5197	0.5301	0.055	0.0039	0.5966	0.008	0.0	0.5352	0.0097	0.0
70perc_5repeat	0.05	0.4127	0.5016	0.0261	0.0018	0.2768	0.3981	0.3266	0.5195	0.5406	0.0805	0.0057	0.5347	0.0149	0.0	0.4705	0.015	0.0
15perc_2repeat	0.05	0.4272	0.5016	0.0263	0.0019	0.3321	0.4092	0.3666	0.5163	0.5279	0.0857	0.0061	0.5777	0.0179	0.0	0.4953	0.0194	0.0
15perc_10repeat	0.1	0.4139	0.5056	0.0287	0.002	0.3229	0.3445	0.3334	0.5197	0.5239	0.0608	0.0043	0.6017	0.0087	0.0	0.5423	0.011	0.0
30perc_5repeat	0.05	0.4345	0.5022	0.0269	0.0019	0.3109	0.4103	0.3538	0.5212	0.525	0.0875	0.0062	0.5481	0.0192	0.0	0.4984	0.018	0.0
100perc_5repeat	0.05	0.3988	0.502	0.0279	0.002	0.2786	0.4015	0.3289	0.5204	0.5245	0.0888	0.0063	0.5128	0.0114	0.0	0.4598	0.0131	0.0
90perc_5repeat	0.05	0.4138	0.4986	0.0276	0.0019	0.2726	0.4407	0.3369	0.5157	0.5223	0.0889	0.0063	0.5222	0.0143	0.0	0.4802	0.0141	0.0
80perc_2repeat	0.05	0.421	0.5038	0.0269	0.0019	0.2893	0.3892	0.3319	0.5213	0.5268	0.0752	0.0053	0.5511	0.0132	0.0	0.5017	0.0151	0.0
15perc_10repeat	0.05	0.4422	0.5042	0.0262	0.0019	0.2999	0.3762	0.3337	0.5212	0.5342	0.0861	0.0061	0.5995	0.0192	0.0	0.5088	0.0219	0.0
80perc_5repeat	0.05	0.4103	0.5035	0.0267	0.0019	0.3022	0.3712	0.3332	0.5195	0.5319	0.0914	0.0065	0.5485	0.0143	0.0	0.4713	0.0145	0.0
40perc_5repeat	0.05	0.4347	0.5053	0.0262	0.0018	0.302	0.3558	0.3267	0.5215	0.5315	0.0841	0.0059	0.5772	0.0164	0.0	0.4813	0.0197	0.0
40perc_10repeat	0.1	0.4133	0.5058	0.0278	0.002	0.304	0.3385	0.3203	0.5215	0.5275	0.0554	0.0039	0.5952	0.008	0.0	0.5243	0.0089	0.0
60perc_10repeat	0.05	0.4225	0.5002	0.0281	0.002	0.3199	0.4372	0.3695	0.5161	0.5174	0.0964	0.0068	0.5288	0.0163	0.0	0.4834	0.0157	0.0
70perc_10repeat	0.05	0.411	0.5049	0.0273	0.0019	0.2793	0.3594	0.3144	0.5229	0.526	0.079	0.0056	0.5435	0.0148	0.0	0.4567	0.0151	0.0
30perc_10repeat	0.05	0.425	0.5025	0.0266	0.0019	0.299	0.3894	0.3382	0.5178	0.5215	0.0867	0.0061	0.53	0.0183	0.0	0.4566	0.0195	0.0
80perc_10repeat	0.05	0.408	0.503	0.0274	0.0019	0.277	0.3779	0.3197	0.5212	0.5218	0.0845	0.006	0.5298	0.0133	0.0	0.4711	0.0129	0.0
50perc_2repeat	0.1	0.4041	0.5048	0.0283	0.002	0.3211	0.3501	0.335	0.5197	0.5239	0.0613	0.0043	0.5822	0.0087	0.0	0.5174	0.0097	0.0
50perc_5repeat	0.1	0.4061	0.506	0.0286	0.002	0.3227	0.3377	0.33	0.5197	0.5306	0.0617	0.0044	0.5919	0.0074	0.0	0.5232	0.0093	0.0
50perc_10repeat	0.1	0.3984	0.5037	0.0302	0.0021	0.3396	0.3742	0.3561	0.5197	0.5233	0.0604	0.0043	0.5804	0.0076	0.0	0.5275	0.0076	0.0
50perc_2repeat	0.05	0.4223	0.5007	0.0275	0.0019	0.3372	0.4368	0.3806	0.5172	0.5176	0.0874	0.0062	0.5311	0.0148	0.0	0.5098	0.0154	0.0
05perc_10repeat	0.05	0.4392	0.5026	0.0269	0.0019	0.3432	0.4003	0.3695	0.5195	0.5223	0.0849	0.006	0.5813	0.0197	0.0	0.5104	0.0219	0.0
05perc_2repeat	0.1	0.4277	0.5051	0.028	0.002	0.3516	0.329	0.34	0.5197	0.5306	0.0643	0.0045	0.6236	0.0105	0.0	0.5507	0.0124	0.0
30perc_2repeat	0.1	0.4112	0.5036	0.0288	0.002	0.3251	0.364	0.3434	0.5188	0.5276	0.0589	0.0042	0.6049	0.0086	0.0	0.5424	0.0098	0.0
40perc_2repeat	0.1	0.4145	0.5038	0.0294	0.0021	0.3493	0.3632	0.3561	0.5197	0.5262	0.06	0.0042	0.5915	0.0094	0.0	0.5483	0.0093	0.0
40perc_5repeat	0.1	0.4131	0.5071	0.0273	0.0019	0.3246	0.3094	0.3168	0.5215	0.5349	0.0545	0.0039	0.6064	0.0077	0.0	0.5303	0.0084	0.0
05perc_2repeat	0.05	0.4339	0.4985	0.0271	0.0019	0.3639	0.4622	0.4072	0.5016	0.515	0.0882	0.0062	0.5847	0.0169	0.0	0.5598	0.018	0.0
40perc_2repeat	0.05	0.4239	0.5019	0.0265	0.0019	0.3285	0.3988	0.3602	0.5187	0.5318	0.0957	0.0068	0.5572	0.0161	0.0	0.5031	0.0164	0.0
05perc_5repeat	0.05	0.4336	0.5002	0.0273	0.0019	0.3227	0.4313	0.3692	0.5149	0.5139	0.0856	0.0061	0.5409	0.021	0.0	0.5025	0.0205	0.0
60perc_2repeat	0.05	0.4308	0.5004	0.0277	0.002	0.3045	0.4464	0.362	0.5195	0.519	0.0778	0.0055	0.5465	0.0154	0.0	0.5267	0.0151	0.0
15perc_5repeat	0.05	0.4366	0.4998	0.0275	0.0019	0.3098	0.4341	0.3616	0.5158	0.5166	0.0941	0.0067	0.5814	0.0205	0.0	0.5378	0.0203	0.0
60perc_5repeat	0.05	0.4213	0.5023	0.0267	0.0019	0.2742	0.3905	0.3222	0.5195	0.5342	0.0953	0.0067	0.5601	0.0151	0.0	0.4546	0.0157	0.0
05perc_10repeat	0.1	0.4203	0.5048	0.0299	0.0021	0.3878	0.3562	0.3713	0.5215	0.5215	0.061	0.0043	0.6092	0.0103	0.0	0.555	0.0111	0.0
50perc_5repeat	0.05	0.4092	0.5005	0.0279	0.002	0.3136	0.4346	0.3643	0.5198	0.5258	0.0765	0.0054	0.5369	0.0141	0.0	0.4744	0.0152	0.0
40perc_10repeat	0.05	0.4221	0.5028	0.0256	0.0018	0.2946	0.3836	0.3333	0.5187	0.5421	0.0846	0.006	0.5268	0.0177	0.0	0.4567	0.0172	0.0
50perc_10repeat	0.05	0.427	0.5007	0.0271	0.0019	0.3296	0.4266	0.3719	0.5178	0.5323	0.087	0.0062	0.5438	0.0161	0.0	0.4841	0.0167	0.0
100perc_10repeat	0.05	0.3946	0.5025	0.0273	0.0019	0.2574	0.3899	0.3101	0.5212	0.5282	0.0811	0.0057	0.5203	0.0111	0.0	0.4423	0.0116	0.0
