Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE

0.9train_90perc_2repeat	0.9	0.2006	0.0235	0.0017	0.0	0.0	0.0	0.1984	0.4945	0.0061	0.0004	0.5834	0.0006	0.0	0.5955	0.0006	0.0
0.9train_90perc_2repeat	0.9	0.2031	0.0246	0.0017	0.0	0.0	0.0	0.203	0.4952	0.0058	0.0004	0.5845	0.0006	0.0	0.5964	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2029	0.0259	0.0018	0.0	0.0	0.0	0.2011	0.4947	0.006	0.0004	0.5841	0.0006	0.0	0.5967	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2043	0.0246	0.0017	0.0	0.0	0.0	0.2009	0.4945	0.0066	0.0005	0.5848	0.0006	0.0	0.597	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2025	0.0247	0.0017	0.0	0.0	0.0	0.2017	0.494	0.0063	0.0004	0.5839	0.0006	0.0	0.5964	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.203	0.0261	0.0018	0.0	0.0	0.0	0.1983	0.4945	0.0065	0.0005	0.5838	0.0006	0.0	0.5965	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2026	0.0258	0.0018	0.0	0.0	0.0	0.2003	0.4949	0.006	0.0004	0.5842	0.0006	0.0	0.596	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2043	0.0242	0.0017	0.0	0.0	0.0	0.201	0.4945	0.0058	0.0004	0.5853	0.0006	0.0	0.5973	0.0006	0.0
0.9train_90perc_2repeat	0.9	0.206	0.0233	0.0016	0.0	0.0	0.0	0.2051	0.494	0.0058	0.0004	0.5848	0.0006	0.0	0.5976	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2036	0.0248	0.0018	0.0	0.0	0.0	0.2013	0.4945	0.0067	0.0005	0.5842	0.0006	0.0	0.5969	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.204	0.0249	0.0018	0.0	0.0	0.0	0.2009	0.4941	0.0057	0.0004	0.5843	0.0006	0.0	0.5972	0.0006	0.0
0.9train_90perc_2repeat	0.9	0.2042	0.0243	0.0017	0.0	0.0	0.0	0.2045	0.4951	0.0063	0.0004	0.5844	0.0006	0.0	0.5961	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2024	0.0245	0.0017	0.0	0.0	0.0	0.2001	0.4947	0.006	0.0004	0.5847	0.0006	0.0	0.5966	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2028	0.0247	0.0017	0.0	0.0	0.0	0.1988	0.4943	0.0062	0.0004	0.5847	0.0006	0.0	0.5976	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2006	0.0266	0.0019	0.0	0.0	0.0	0.1977	0.4944	0.0062	0.0004	0.5841	0.0006	0.0	0.5966	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2037	0.0242	0.0017	0.0	0.0	0.0	0.2019	0.4943	0.0061	0.0004	0.5837	0.0006	0.0	0.5968	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2036	0.0251	0.0018	0.0	0.0	0.0	0.2042	0.4947	0.006	0.0004	0.5853	0.0006	0.0	0.5971	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2003	0.0274	0.0019	0.0	0.0	0.0	0.1994	0.4943	0.006	0.0004	0.5841	0.0006	0.0	0.5975	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2	0.023	0.0016	0.0	0.0	0.0	0.1995	0.4938	0.0067	0.0005	0.5827	0.0006	0.0	0.5969	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2013	0.0233	0.0016	0.0	0.0	0.0	0.1998	0.4952	0.0059	0.0004	0.5844	0.0006	0.0	0.5957	0.0006	0.0
0.9train_90perc_2repeat	0.9	0.2001	0.0232	0.0016	0.0	0.0	0.0	0.1994	0.4944	0.0063	0.0004	0.5834	0.0006	0.0	0.5961	0.0006	0.0
0.9train_90perc_2repeat	0.9	0.2009	0.021	0.0015	0.0	0.0	0.0	0.2015	0.4941	0.0062	0.0004	0.5833	0.0006	0.0	0.596	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2028	0.0235	0.0017	0.0	0.0	0.0	0.2017	0.4945	0.0063	0.0004	0.5842	0.0006	0.0	0.5959	0.0006	0.0
0.9train_90perc_2repeat	0.9	0.2013	0.022	0.0016	0.0	0.0	0.0	0.1987	0.4943	0.0062	0.0004	0.5847	0.0005	0.0	0.5976	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2005	0.0246	0.0017	0.0	0.0	0.0	0.1989	0.4944	0.0066	0.0005	0.5834	0.0006	0.0	0.596	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.1988	0.0215	0.0015	0.0	0.0	0.0	0.1994	0.4946	0.0064	0.0005	0.5832	0.0006	0.0	0.5961	0.0006	0.0
0.9train_90perc_2repeat	0.9	0.204	0.0242	0.0017	0.0	0.0	0.0	0.202	0.4949	0.0061	0.0004	0.5843	0.0006	0.0	0.5963	0.0006	0.0
0.9train_90perc_2repeat	0.9	0.2038	0.0216	0.0015	0.0	0.0	0.0	0.2044	0.4943	0.0063	0.0004	0.5847	0.0006	0.0	0.5967	0.0006	0.0
0.9train_90perc_2repeat	0.9	0.1998	0.0221	0.0016	0.0	0.0	0.0	0.199	0.4954	0.0064	0.0005	0.5839	0.0006	0.0	0.5952	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2033	0.0239	0.0017	0.0	0.0	0.0	0.2015	0.4948	0.0065	0.0005	0.5845	0.0006	0.0	0.597	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2004	0.023	0.0016	0.0	0.0	0.0	0.1996	0.4943	0.0063	0.0004	0.5833	0.0006	0.0	0.5959	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2029	0.0281	0.002	0.0	0.0	0.0	0.2001	0.4944	0.0063	0.0004	0.584	0.0006	0.0	0.5971	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2013	0.0252	0.0018	0.0	0.0	0.0	0.1987	0.4946	0.006	0.0004	0.584	0.0006	0.0	0.5965	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2003	0.024	0.0017	0.0	0.0	0.0	0.1994	0.4946	0.0067	0.0005	0.584	0.0006	0.0	0.5956	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2028	0.0278	0.002	0.0	0.0	0.0	0.2022	0.4947	0.0061	0.0004	0.5844	0.0006	0.0	0.5961	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2033	0.0244	0.0017	0.0	0.0	0.0	0.2028	0.4943	0.0064	0.0005	0.584	0.0006	0.0	0.5973	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2044	0.024	0.0017	0.0	0.0	0.0	0.2022	0.495	0.0063	0.0004	0.5847	0.0006	0.0	0.5963	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2023	0.025	0.0018	0.0	0.0	0.0	0.2005	0.4944	0.0063	0.0004	0.5847	0.0006	0.0	0.5968	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.1998	0.0233	0.0016	0.0	0.0	0.0	0.1992	0.4942	0.006	0.0004	0.5839	0.0006	0.0	0.5968	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2014	0.0262	0.0019	0.0	0.0	0.0	0.2004	0.4941	0.0056	0.0004	0.5832	0.0006	0.0	0.5961	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2039	0.0241	0.0017	0.0	0.0	0.0	0.2035	0.4942	0.0066	0.0005	0.5845	0.0006	0.0	0.5972	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2014	0.0249	0.0018	0.0	0.0	0.0	0.1985	0.4943	0.0066	0.0005	0.5836	0.0007	0.0	0.5959	0.0007	0.0
0.9train_90perc_2repeat	0.9	0.2053	0.0253	0.0018	0.0	0.0	0.0	0.2049	0.4939	0.0065	0.0005	0.5839	0.0006	0.0	0.5979	0.0007	0.0
