Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_0given1_Mean	ProbabilityEstimate_0given1_SD	ProbabilityEstimate_0given1_SE


original	0.9	0.2403	0.0416	0.0029	0.7748	0.4117	0.5377	0.2364	0.5277	0.0063	0.0004	0.6458	0.0006	0.0	0.4129	0.0007	0.0
original	0.8	0.2568	0.0479	0.0034	0.7611	0.3559	0.485	0.2499	0.5269	0.0103	0.0007	0.6453	0.0011	0.0	0.4128	0.001	0.0
original	0.7	0.2774	0.0535	0.0038	0.7494	0.3037	0.4323	0.2735	0.5273	0.0137	0.001	0.6474	0.0013	0.0	0.4125	0.0015	0.0
original	0.6	0.2914	0.0525	0.0037	0.7494	0.2718	0.3989	0.2878	0.527	0.0153	0.0011	0.6449	0.0017	0.0	0.4093	0.0017	0.0
original	0.5	0.3143	0.0697	0.0049	0.7058	0.2396	0.3577	0.3173	0.5278	0.0215	0.0015	0.6472	0.0021	0.0	0.411	0.0023	0.0
original	0.45	0.332	0.0685	0.0048	0.6687	0.2325	0.345	0.3376	0.5286	0.0222	0.0016	0.6436	0.0026	0.0	0.4154	0.0028	0.0
original	0.4	0.3455	0.0627	0.0044	0.6504	0.2259	0.3353	0.3569	0.5267	0.0244	0.0017	0.6425	0.0027	0.0	0.4142	0.0028	0.0
original	0.1	0.4209	0.0641	0.0045	0.314	0.2969	0.3052	0.4364	0.5322	0.0604	0.0043	0.618	0.0108	0.0	0.4534	0.0105	0.0
original	0.35	0.3527	0.0672	0.0047	0.607	0.2761	0.3795	0.366	0.5218	0.0295	0.0021	0.6396	0.0029	0.0	0.4078	0.0032	0.0
original	0.3	0.3751	0.0636	0.0045	0.5453	0.278	0.3682	0.3845	0.5269	0.0316	0.0022	0.6344	0.0038	0.0	0.4205	0.0038	0.0
original	0.25	0.3915	0.0605	0.0043	0.5205	0.2552	0.3425	0.4022	0.5286	0.0346	0.0024	0.6422	0.0043	0.0	0.4183	0.0042	0.0
original	0.2	0.3961	0.0599	0.0042	0.4416	0.21	0.2846	0.4128	0.5328	0.0384	0.0027	0.6348	0.0053	0.0	0.4326	0.0057	0.0
original	0.05	0.4211	0.0713	0.005	0.3422	0.4001	0.3689	0.4472	0.5271	0.0816	0.0058	0.581	0.014	0.0	0.4738	0.0142	0.0



15perc_2repeat	0.9	0.2396	0.0433	0.0031	0.7844	0.3366	0.471	0.2362	0.5225	0.008	0.0006	0.6028	0.0008	0.0	0.4487	0.0008	0.0
15perc_5repeat	0.9	0.2416	0.0408	0.0029	0.7717	0.3164	0.4488	0.2378	0.5201	0.0075	0.0005	0.5925	0.0007	0.0	0.4568	0.0007	0.0
5perc_2repeat	0.9	0.2443	0.0472	0.0033	0.7487	0.3773	0.5017	0.2411	0.5253	0.0077	0.0005	0.6317	0.0008	0.0	0.4252	0.0008	0.0
