Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_0given1_Mean	ProbabilityEstimate_0given1_SD	ProbabilityEstimate_0given1_SE


original	0.9	0.2437	0.0432	0.0031	0.7674	0.4052	0.5303	0.2384	0.5277	0.0065	0.0005	0.6456	0.0007	0.0	0.4129	0.0007	0.0
original	0.8	0.2578	0.0416	0.0029	0.7623	0.3541	0.4836	0.2564	0.5273	0.0098	0.0007	0.6458	0.001	0.0	0.4128	0.001	0.0
original	0.7	0.2747	0.051	0.0036	0.7546	0.3008	0.4302	0.2729	0.5276	0.0124	0.0009	0.6444	0.0014	0.0	0.4136	0.0012	0.0
original	0.6	0.2894	0.062	0.0044	0.7253	0.2817	0.4058	0.2845	0.5256	0.0162	0.0011	0.6427	0.0019	0.0	0.4131	0.0017	0.0
original	0.5	0.3198	0.0682	0.0048	0.711	0.2239	0.3405	0.3203	0.528	0.0206	0.0015	0.6476	0.0022	0.0	0.4142	0.0023	0.0
original	0.45	0.3267	0.0694	0.0049	0.6701	0.2362	0.3493	0.3269	0.5268	0.0227	0.0016	0.6457	0.0024	0.0	0.411	0.0027	0.0
original	0.4	0.3441	0.0623	0.0044	0.6228	0.2493	0.3561	0.3426	0.5269	0.0243	0.0017	0.6422	0.0027	0.0	0.4102	0.003	0.0
original	0.1	0.4265	0.0659	0.0047	0.3753	0.369	0.3721	0.4431	0.5283	0.0593	0.0042	0.6192	0.0093	0.0	0.4269	0.0099	0.0
original	0.35	0.3573	0.0639	0.0045	0.6027	0.2329	0.336	0.368	0.5304	0.0271	0.0019	0.6366	0.0034	0.0	0.4179	0.0031	0.0
original	0.3	0.3681	0.0659	0.0047	0.5752	0.2773	0.3742	0.3803	0.5249	0.0308	0.0022	0.6376	0.0038	0.0	0.4162	0.0037	0.0
original	0.25	0.391	0.0589	0.0042	0.4859	0.2735	0.35	0.401	0.5271	0.0371	0.0026	0.6362	0.0039	0.0	0.4193	0.0046	0.0
original	0.2	0.4057	0.0593	0.0042	0.457	0.2983	0.361	0.4178	0.5271	0.0392	0.0028	0.6383	0.005	0.0	0.4185	0.005	0.0
original	0.05	0.4279	0.0767	0.0054	0.3476	0.4594	0.3958	0.4531	0.5189	0.0901	0.0064	0.5854	0.0126	0.0	0.4533	0.014	0.0


15perc_2repeat	0.9	0.2419	0.0437	0.0031	0.7714	0.3348	0.4669	0.2333	0.5223	0.0084	0.0006	0.6032	0.0008	0.0	0.4493	0.0008	0.0
15perc_5repeat	0.9	0.2411	0.0407	0.0029	0.7591	0.3159	0.4462	0.2359	0.5206	0.0079	0.0006	0.5916	0.0007	0.0	0.4567	0.0008	0.0
5perc_2repeat	0.9	0.2392	0.0458	0.0032	0.7602	0.3923	0.5175	0.2336	0.5248	0.0078	0.0006	0.6294	0.0008	0.0	0.4246	0.0007	0.0
