Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE

original	0.9	0.3144	0.6704	0.0555	0.0039	0.0	0.0	0.0	0.6557	0.671	0.0061	0.0004	0.7302	0.0005	0.0	0.3964	0.0009	0.0
original	0.8	0.3109	0.6731	0.0389	0.0028	0.0	0.0	0.0	0.6707	0.6704	0.0096	0.0007	0.729	0.0009	0.0	0.395	0.0012	0.0
original	0.7	0.3148	0.6697	0.0285	0.002	0.0	0.0	0.0	0.672	0.6715	0.0122	0.0009	0.7281	0.0011	0.0	0.3937	0.0018	0.0
original	0.6	0.3141	0.6714	0.0218	0.0015	0.0	0.0	0.0	0.6714	0.6707	0.0145	0.001	0.729	0.0014	0.0	0.3975	0.0021	0.0
original	0.5	0.3179	0.6684	0.0177	0.0012	0.0	0.0	0.0	0.6677	0.6736	0.0177	0.0012	0.7322	0.0018	0.0	0.3907	0.0028	0.0
original	0.45	0.3156	0.6703	0.0192	0.0014	0.0	0.0	0.0	0.6701	0.6717	0.0235	0.0017	0.7326	0.0022	0.0	0.3962	0.0032	0.0
original	0.4	0.3134	0.6721	0.0156	0.0011	0.0	0.0	0.0	0.672	0.6693	0.0234	0.0017	0.7237	0.0022	0.0	0.3957	0.0034	0.0
original	0.1	0.3114	0.6595	0.0584	0.0041	0.0375	0.0305	0.0336	0.672	0.6645	0.0545	0.0039	0.6983	0.0079	0.0	0.4078	0.01	0.0
original	0.35	0.3145	0.6717	0.0132	0.0009	0.0	0.0	0.0	0.67	0.6697	0.0245	0.0017	0.7286	0.0026	0.0	0.3956	0.0038	0.0
original	0.3	0.315	0.6712	0.0123	0.0009	0.0002	0.0	0.0	0.6705	0.6705	0.0287	0.002	0.7241	0.0029	0.0	0.3801	0.0044	0.0
original	0.25	0.3136	0.6717	0.0106	0.0007	0.0002	0.0	0.0	0.671	0.6688	0.0317	0.0022	0.7201	0.0033	0.0	0.3972	0.005	0.0
original	0.2	0.315	0.6701	0.0097	0.0007	0.004	0.0001	0.0002	0.6704	0.6745	0.0389	0.0027	0.7237	0.0043	0.0	0.3888	0.0067	0.0
original	0.05	0.3142	0.6357	0.0905	0.0064	0.0809	0.0924	0.0863	0.6689	0.6721	0.0822	0.0058	0.635	0.0122	0.0	0.3916	0.0121	0.0
