Label	trainingSize	Accuracy_Mean	Accuracy_SD
Original 	0.01	0.5099	0.0274
Original 	0.05	0.5071	0.0261
Original 	0.10	0.4994	0.0292
Original 	0.40	0.5371	0.0338
Original 	0.50	0.5789	0.0652
Original 	0.60	0.6052	0.0540
Original 	0.70	0.6106	0.0481
Original 	0.80	0.6295	0.0599

5perc_2flips	0.01	0.5013	0.0272
5perc_5flips	0.01	0.5	0.0271
5perc_10flips	0.01	0.5011	0.0265

5perc_2flips	0.05	0.5039	0.0253
5perc_5flips	0.05	0.4976	0.0261
5perc_10flips	0.05	0.5106	0.0244

5perc_2flips	0.1	0.4933	0.0256
5perc_5flips	0.1	0.5083	0.0274
5perc_10flips	0.1	0.5055	0.0274

5perc_2flips	0.2	0.5219	0.0302
5perc_5flips	0.2	0.5227	0.0225
5perc_10flips	0.2	0.5289	0.031

5perc_2flips	0.4	0.5641	0.0414
5perc_5flips	0.4	0.5326	0.0388
5perc_10flips	0.4	0.5605	0.0448

5perc_2flips	0.5	0.572	0.0604
5perc_5flips	0.5	0.5533	0.0466
5perc_10flips	0.5	0.5756	0.0529

5perc_2flips	0.6	0.5894	0.055
5perc_5flips	0.6	0.5861	0.0578
5perc_10flips	0.6	0.5817	0.056

5perc_2flips	0.7	0.6137	0.0634
5perc_5flips	0.7	0.6048	0.0655
5perc_10flips	0.7	0.6094	0.0581

5perc_2flips	0.8	0.6289	0.0781
5perc_5flips	0.8	0.6569	0.0479
5perc_10flips	0.8	0.6394	0.053


15perc_2flips	0.01	0.5111	0.0247
15perc_5flips	0.01	0.5018	0.0244
15perc_10flips	0.01	0.4985	0.0269

15perc_2flips	0.05	0.5011	0.0266
15perc_5flips	0.05	0.5014	0.0255
15perc_10flips	0.05	0.5015	0.026

15perc_2flips	0.1	0.5027	0.0288
15perc_5flips	0.1	0.5063	0.0296
15perc_10flips	0.1	0.5036	0.0283

15perc_2flips	0.2	0.5121	0.0305
15perc_5flips	0.2	0.51	0.034
15perc_10flips	0.2	0.5138	0.0332

15perc_2flips	0.4	0.547	0.0421
15perc_5flips	0.4	0.5616	0.0532
15perc_10flips	0.4	0.5533	0.043

15perc_2flips	0.5	0.5713	0.0595
15perc_5flips	0.5	0.5717	0.0598
15perc_10flips	0.5	0.5817	0.0661

15perc_2flips	0.6	0.6133	0.0632
15perc_5flips	0.6	0.5743	0.0592
15perc_10flips	0.6	0.5777	0.0474

15perc_2flips	0.7	0.5727	0.0728
15perc_5flips	0.7	0.5954	0.0634
15perc_10flips	0.7	0.6108	0.057

15perc_2flips	0.8	0.591	0.0613
15perc_5flips	0.8	0.6087	0.0616
15perc_10flips	0.8	0.6188	0.0629


30perc_2flips	0.01	0.4932	0.0239
30perc_5flips	0.01	0.5063	0.024
30perc_10flips	0.01	0.5019	0.0227

30perc_2flips	0.05	0.5022	0.0288
30perc_5flips 	0.05	0.5015	0.0279
30perc_10flips	0.05	0.5004	0.028

30perc_2flips	0.2	0.5249	0.0283
30perc_5flips	0.2	0.5069	0.0294
30perc_10flips	0.2	0.5073	0.0294

30perc_2flips	0.1	0.5076	0.0306
30perc_5flips	0.1	0.5139	0.0238
30perc_10flips	0.1	0.5123	0.0292

30perc_2flips	0.4	0.5413	0.0508
30perc_5flips	0.4	0.5586	0.0514
30perc_10flips	0.4	0.5133	0.0308

30perc_2flips	0.5	0.5475	0.0595
30perc_5flips	0.5	0.564	0.0582
30perc_10flips	0.5	0.5342	0.0485

30perc_2flips	0.6	0.5669	0.0509
30perc_5flips	0.6	0.5511	0.067
30perc_10flips	0.6	0.5482	0.0643

30perc_2flips	0.7	0.576	0.0542
30perc_5flips	0.7	0.5743	0.0589
30perc_10flips	0.7	0.5702	0.0547

30perc_2flips	0.8	0.5919	0.055
30perc_5flips	0.8	0.5872	0.0735
30perc_10flips	0.8	0.5631	0.0598





