Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1
5perc_2repeat	0.05	0.5002	0.026	0.0052	0.2432	0.4116	0.3058
5perc_5repeat	0.05	0.5044	0.0259	0.0052	0.2546	0.3147	0.2815
5perc_10repeat	0.05	0.5068	0.0259	0.0052	0.2465	0.3225	0.2794
10perc_2repeat	0.05	0.4976	0.0272	0.0054	0.3155	0.4752	0.3792
10perc_5repeat	0.05	0.5007	0.0274	0.0055	0.2946	0.4204	0.3464
10perc_10repeat	0.05	0.4971	0.0275	0.0055	0.3189	0.5108	0.3927
15perc_2repeat	0.05	0.503	0.0275	0.0055	0.3016	0.3546	0.3259
15perc_5repeat	0.05	0.4982	0.027	0.0054	0.3113	0.4749	0.3761
15perc_10repeat	0.05	0.5009	0.0278	0.0056	0.2903	0.3884	0.3322
20perc_2repeat	0.05	0.4969	0.0258	0.0052	0.3201	0.485	0.3857
20perc_5repeat	0.05	0.5032	0.026	0.0052	0.2517	0.3227	0.2828
20perc_10repeat	0.05	0.5003	0.0279	0.0056	0.3128	0.4146	0.3566
25perc_2repeat	0.05	0.5025	0.028	0.0056	0.2798	0.3868	0.3247
25perc_5repeat	0.05	0.4999	0.0267	0.0053	0.3307	0.4551	0.3831
25perc_10repeat	0.05	0.5076	0.0243	0.0049	0.2822	0.3338	0.3059
30perc_2repeat	0.05	0.5038	0.0275	0.0055	0.3145	0.3726	0.3411
30perc_5repeat	0.05	0.5053	0.0259	0.0052	0.3441	0.3529	0.3484
30perc_10repeat	0.05	0.503	0.0289	0.0058	0.3762	0.4294	0.4011
5perc_2repeat	0.1	0.5107	0.0254	0.0051	0.2881	0.2375	0.2604
5perc_5repeat	0.1	0.4989	0.0297	0.0059	0.4474	0.4438	0.4456
5perc_10repeat	0.1	0.5076	0.0291	0.0058	0.4614	0.3116	0.372
10perc_2repeat	0.1	0.4999	0.0273	0.0055	0.307	0.3953	0.3456
10perc_5repeat	0.1	0.5153	0.0217	0.0043	0.2963	0.1628	0.2101
10perc_10repeat	0.1	0.5108	0.0284	0.0057	0.463	0.3072	0.3693
15perc_2repeat	0.1	0.5109	0.0291	0.0058	0.4498	0.2912	0.3536
15perc_5repeat	0.1	0.5123	0.0256	0.0051	0.3987	0.16	0.2283
15perc_10repeat	0.1	0.503	0.0317	0.0063	0.3912	0.4112	0.401
20perc_2repeat	0.1	0.5035	0.0308	0.0062	0.4352	0.3517	0.389
20perc_5repeat	0.1	0.4981	0.0294	0.0059	0.3626	0.4659	0.4078
20perc_10repeat	0.1	0.508	0.0259	0.0052	0.3543	0.3005	0.3252
25perc_2repeat	0.1	0.5072	0.0288	0.0058	0.3919	0.285	0.33
25perc_5repeat	0.1	0.499	0.0306	0.0061	0.3981	0.4297	0.4133
25perc_10repeat	0.1	0.5116	0.0308	0.0062	0.3862	0.3041	0.3403
30perc_2repeat	0.1	0.5134	0.0235	0.0047	0.2813	0.2024	0.2354
30perc_5repeat	0.1	0.5127	0.0216	0.0043	0.3051	0.1683	0.217
30perc_10repeat	0.1	0.5039	0.0282	0.0056	0.3309	0.36	0.3449
5perc_2repeat	0.2	0.5174	0.028	0.0056	0.5178	0.16	0.2445
5perc_5repeat	0.2	0.5249	0.0357	0.0071	0.5048	0.2617	0.3447
5perc_10repeat	0.2	0.506	0.0293	0.0059	0.4208	0.3273	0.3682
10perc_2repeat	0.2	0.5166	0.0374	0.0075	0.4447	0.272	0.3375
10perc_5repeat	0.2	0.523	0.0239	0.0048	0.4109	0.1385	0.2071
10perc_10repeat	0.2	0.5138	0.0278	0.0056	0.4312	0.2747	0.3356
15perc_2repeat	0.2	0.5068	0.0362	0.0072	0.4684	0.3202	0.3804
15perc_5repeat	0.2	0.511	0.0327	0.0065	0.4587	0.3509	0.3976
15perc_10repeat	0.2	0.5154	0.0317	0.0063	0.5381	0.2959	0.3818
20perc_2repeat	0.2	0.5193	0.0311	0.0062	0.4249	0.2326	0.3007
20perc_5repeat	0.2	0.5099	0.0263	0.0053	0.4565	0.3197	0.3761
20perc_10repeat	0.2	0.5161	0.0277	0.0055	0.479	0.2475	0.3264
25perc_2repeat	0.2	0.5124	0.0281	0.0056	0.5095	0.3139	0.3885
25perc_5repeat	0.2	0.5139	0.0377	0.0075	0.454	0.3059	0.3655
25perc_10repeat	0.2	0.5223	0.0319	0.0064	0.498	0.187	0.2718
30perc_2repeat	0.2	0.5116	0.0419	0.0084	0.461	0.4071	0.4324
30perc_5repeat	0.2	0.5159	0.0281	0.0056	0.4669	0.211	0.2906
30perc_10repeat	0.2	0.509	0.0335	0.0067	0.54	0.2898	0.3772
5perc_2repeat	0.25	0.5239	0.0319	0.0064	0.5269	0.1563	0.2411
5perc_5repeat	0.25	0.5146	0.0406	0.0081	0.5637	0.4186	0.4804
5perc_10repeat	0.25	0.5236	0.0355	0.0071	0.5658	0.2719	0.3673
10perc_2repeat	0.25	0.5224	0.0235	0.0047	0.4818	0.2081	0.2906
10perc_5repeat	0.25	0.5273	0.0401	0.008	0.4645	0.1664	0.2451
10perc_10repeat	0.25	0.5138	0.034	0.0068	0.4296	0.2609	0.3247
15perc_2repeat	0.25	0.5205	0.0337	0.0067	0.5529	0.2719	0.3645
15perc_5repeat	0.25	0.5265	0.0344	0.0069	0.4255	0.2061	0.2777
15perc_10repeat	0.25	0.522	0.0323	0.0065	0.4709	0.1455	0.2223
20perc_2repeat	0.25	0.517	0.0384	0.0077	0.4549	0.4044	0.4281
20perc_5repeat	0.25	0.5312	0.0402	0.008	0.5162	0.3193	0.3945
20perc_10repeat	0.25	0.5187	0.0276	0.0055	0.5066	0.1758	0.261
25perc_2repeat	0.25	0.5319	0.0361	0.0072	0.5759	0.2171	0.3153
25perc_5repeat	0.25	0.5166	0.0283	0.0057	0.4806	0.2464	0.3258
25perc_10repeat	0.25	0.5274	0.0386	0.0077	0.5165	0.2173	0.3059
30perc_2repeat	0.25	0.5346	0.0295	0.0059	0.6208	0.1736	0.2714
30perc_5repeat	0.25	0.5263	0.039	0.0078	0.5517	0.3138	0.4001
30perc_10repeat	0.25	0.5181	0.0381	0.0076	0.5603	0.3793	0.4524
5perc_2repeat	0.3	0.523	0.0519	0.0104	0.5627	0.2512	0.3474
5perc_5repeat	0.3	0.5196	0.0365	0.0073	0.5908	0.2671	0.3679
5perc_10repeat	0.3	0.5299	0.0404	0.0081	0.4986	0.247	0.3303
