Label	trainingSize	Accuracy_Mean	Accuracy_SD
Original 	0.01	0.5099	0.0274
Original 	0.05	0.5071	0.0261
Original 	0.10	0.4994	0.0292
Original 	0.40	0.5371	0.0338
Original 	0.70	0.6106	0.0481
0.05perc_2flips_0.2trainSize	0.2	0.5219	0.0302
0.05perc_5flips_0.2trainSize	0.2	0.5227	0.0225
0.05perc_10flips_0.2trainSize	0.2	0.5289	0.031
0.05perc_2flips_0.05trainSize	0.05	0.5039	0.0253
0.05perc_5flips_0.05trainSize	0.05	0.4976	0.0261
0.05perc_10flips_0.05trainSize	0.05	0.5106	0.0244
0.15perc_2flips_0.05trainSize	0.05	0.5011	0.0266
0.15perc_5flips_0.05trainSize	0.05	0.5014	0.0255
0.15perc_10flips_0.05trainSize	0.05	0.5015	0.026
0.3perc_2flips_0.05trainSize	0.05	0.5022	0.0288
0.3perc_5flips_0.05trainSize	0.05	0.5015	0.0279
0.3perc_10flips_0.05trainSize	0.05	0.5004	0.028
0.05perc_2flips_0.01trainSize	0.01	0.5013	0.0272
0.05perc_5flips_0.01trainSize	0.01	0.5	0.0271
0.05perc_10flips_0.01trainSize	0.01	0.5011	0.0265
0.15perc_2flips_0.01trainSize	0.01	0.5111	0.0247
0.15perc_5flips_0.01trainSize	0.01	0.5018	0.0244
0.15perc_10flips_0.01trainSize	0.01	0.4985	0.0269
0.3perc_2flips_0.01trainSize	0.01	0.4932	0.0239
0.3perc_5flips_0.01trainSize	0.01	0.5063	0.024
0.3perc_10flips_0.01trainSize	0.01	0.5019	0.0227
