Label	trainingSize	Accuracy_Mean	Accuracy_SD
0.05perc_2flips_0.01trainSize_Baseline_0	0.01	0.5269	0.0033
0.05perc_2flips_0.01trainSize_Baseline_1	0.01	0.4731	0.0033
0.05perc_2flips_0.01trainSize	0.01	0.4731	0.0033
0.05perc_5flips_0.01trainSize_Baseline_0	0.01	0.5277	0.0041
0.05perc_5flips_0.01trainSize_Baseline_1	0.01	0.4723	0.0041
0.05perc_5flips_0.01trainSize	0.01	0.4723	0.0041
0.05perc_10flips_0.01trainSize_Baseline_0	0.01	0.5277	0.0041
0.05perc_10flips_0.01trainSize_Baseline_1	0.01	0.4723	0.0041
0.05perc_10flips_0.01trainSize	0.01	0.4723	0.0041
0.15perc_2flips_0.01trainSize_Baseline_0	0.01	0.5269	0.0033
0.15perc_2flips_0.01trainSize_Baseline_1	0.01	0.4731	0.0033
0.15perc_2flips_0.01trainSize	0.01	0.4731	0.0033
0.15perc_5flips_0.01trainSize_Baseline_0	0.01	0.5269	0.0033
0.15perc_5flips_0.01trainSize_Baseline_1	0.01	0.4731	0.0033
0.15perc_5flips_0.01trainSize	0.01	0.4731	0.0033
0.15perc_10flips_0.01trainSize_Baseline_0	0.01	0.5277	0.0041
0.15perc_10flips_0.01trainSize_Baseline_1	0.01	0.4723	0.0041
0.15perc_10flips_0.01trainSize	0.01	0.4723	0.0041
0.3perc_2flips_0.01trainSize_Baseline_0	0.01	0.5285	0.0033
0.3perc_2flips_0.01trainSize_Baseline_1	0.01	0.4715	0.0033
0.3perc_2flips_0.01trainSize	0.01	0.4715	0.0033
0.3perc_5flips_0.01trainSize_Baseline_0	0.01	0.5277	0.0041
0.3perc_5flips_0.01trainSize_Baseline_1	0.01	0.4723	0.0041
0.3perc_5flips_0.01trainSize	0.01	0.4723	0.0041
