Label	trainingSize	Label1	Error
original	0.9	meanSquaredLoss	0.2342
original	0.9	averageLearningBias	0.1939
original	0.9	averageLearningVariance	0.2423
original	0.9	averageTotalBias	0.1464
original	0.9	averageTotalVariance	0.086
original	0.9	averageInferenceBias	0.0475
original	0.9	averageInferenceVariance	0.1563
100perc_2repeat	0.9	meanSquaredLoss	0.2041
100perc_2repeat	0.9	averageLearningBias	0.147
100perc_2repeat	0.9	averageLearningVariance	0.2326
100perc_2repeat	0.9	averageTotalBias	0.137
100perc_2repeat	0.9	averageTotalVariance	0.0664
100perc_2repeat	0.9	averageInferenceBias	0.0099
100perc_2repeat	0.9	averageInferenceVariance	0.1663
original	0.8	meanSquaredLoss	0.2524
original	0.8	averageLearningBias	0.1951
original	0.8	averageLearningVariance	0.2447
original	0.8	averageTotalBias	0.1568
original	0.8	averageTotalVariance	0.0907
original	0.8	averageInferenceBias	0.0382
original	0.8	averageInferenceVariance	0.154
original	0.7	meanSquaredLoss	0.2722
original	0.7	averageLearningBias	0.196
original	0.7	averageLearningVariance	0.2456
original	0.7	averageTotalBias	0.1662
original	0.7	averageTotalVariance	0.0966
original	0.7	averageInferenceBias	0.0299
original	0.7	averageInferenceVariance	0.149
100perc_2repeat	0.8	meanSquaredLoss	0.2092
100perc_2repeat	0.8	averageLearningBias	0.152
100perc_2repeat	0.8	averageLearningVariance	0.2362
100perc_2repeat	0.8	averageTotalBias	0.1405
100perc_2repeat	0.8	averageTotalVariance	0.0675
100perc_2repeat	0.8	averageInferenceBias	0.0115
100perc_2repeat	0.8	averageInferenceVariance	0.1687
100perc_2repeat	0.7	meanSquaredLoss	0.2163
100perc_2repeat	0.7	averageLearningBias	0.148
100perc_2repeat	0.7	averageLearningVariance	0.2358
100perc_2repeat	0.7	averageTotalBias	0.1461
100perc_2repeat	0.7	averageTotalVariance	0.0673
100perc_2repeat	0.7	averageInferenceBias	0.0018
100perc_2repeat	0.7	averageInferenceVariance	0.1684
original	0.5	meanSquaredLoss	0.3071
original	0.5	averageLearningBias	0.1968
original	0.5	averageLearningVariance	0.2462
original	0.5	averageTotalBias	0.1836
original	0.5	averageTotalVariance	0.0993
original	0.5	averageInferenceBias	0.0132
original	0.5	averageInferenceVariance	0.1469
60perc_10repeat	0.9	meanSquaredLoss	0.2354
60perc_10repeat	0.9	averageLearningBias	0.2194
60perc_10repeat	0.9	averageLearningVariance	0.2452
60perc_10repeat	0.9	averageTotalBias	0.2287
60perc_10repeat	0.9	averageTotalVariance	0.0061
60perc_10repeat	0.9	averageInferenceBias	0.0092
60perc_10repeat	0.9	averageInferenceVariance	0.2391
original	0.45	meanSquaredLoss	0.3245
original	0.45	averageLearningBias	0.1979
original	0.45	averageLearningVariance	0.2462
original	0.45	averageTotalBias	0.191
original	0.45	averageTotalVariance	0.0965
original	0.45	averageInferenceBias	0.0069
original	0.45	averageInferenceVariance	0.1497
original	0.6	meanSquaredLoss	0.2921
original	0.6	averageLearningBias	0.1974
original	0.6	averageLearningVariance	0.246
original	0.6	averageTotalBias	0.1762
original	0.6	averageTotalVariance	0.1027
original	0.6	averageInferenceBias	0.0212
original	0.6	averageInferenceVariance	0.1433
100perc_2repeat	0.45	meanSquaredLoss	0.2751
100perc_2repeat	0.45	averageLearningBias	0.1512
100perc_2repeat	0.45	averageLearningVariance	0.2369
100perc_2repeat	0.45	averageTotalBias	0.1809
100perc_2repeat	0.45	averageTotalVariance	0.0788
100perc_2repeat	0.45	averageInferenceBias	0.0297
100perc_2repeat	0.45	averageInferenceVariance	0.1581
60perc_10repeat	0.6	meanSquaredLoss	0.2451
60perc_10repeat	0.6	averageLearningBias	0.2164
60perc_10repeat	0.6	averageLearningVariance	0.2481
60perc_10repeat	0.6	averageTotalBias	0.2356
60perc_10repeat	0.6	averageTotalVariance	0.0085
60perc_10repeat	0.6	averageInferenceBias	0.0192
